onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	foil	n/a	1	0	new	3
7.7	2.5	foil	n/a	1	0	new	4
12.2	2.5	foil	n/a	1	0	new	3
16.7	2.5	repeat	n/a	1	4	new	4
21.2	2.5	foil	n/a	1	0	new	3
25.7	2.5	foil	n/a	1	0	new	4
30.2	2.5	foil	n/a	1	0	new	5
34.7	2.5	repeat	n/a	2	4	old	5
39.2	2.5	lure	high	1	40	new	4
43.7	2.5	repeat	n/a	1	40	new	3
48.2	2.5	repeat	n/a	1	12	new	2
52.7	2.5	repeat	n/a	1	40	new	2
57.2	2.5	lure	low	1	4	new	2
61.7	2.5	foil	n/a	1	0	new	5
66.2	2.5	lure	low	1	40	new	6
70.7	2.5	foil	n/a	1	0	new	4
75.2	2.5	lure	low	2	4	similar	6
79.7	2.5	foil	n/a	1	0	new	4
84.2	2.5	repeat	n/a	1	40	new	5
88.7	2.5	foil	n/a	1	0	new	1
93.2	2.5	lure	low	1	4	new	3
97.7	2.5	foil	n/a	1	0	new	1
102.2	2.5	repeat	n/a	2	12	old	4
106.7	2.5	foil	n/a	1	0	new	3
111.2	2.5	lure	low	2	4	similar	4
115.7	2.5	repeat	n/a	1	12	new	6
120.2	2.5	lure	low	1	40	new	4
124.7	2.5	foil	n/a	1	0	new	5
129.2	2.5	repeat	n/a	1	4	new	4
133.7	2.5	lure	high	1	12	new	4
138.2	2.5	lure	low	1	12	new	5
142.7	2.5	lure	high	1	40	new	6
147.2	2.5	repeat	n/a	2	4	old	3
151.7	2.5	lure	high	1	12	new	3
156.2	2.5	repeat	n/a	1	4	new	4
160.7	2.5	foil	n/a	1	0	new	3
165.2	2.5	foil	n/a	1	0	new	2
169.7	2.5	repeat	n/a	2	12	old	6
174.2	2.5	repeat	n/a	2	4	old	6
178.7	2.5	lure	low	1	40	new	2
183.2	2.5	repeat	n/a	1	12	new	5
187.7	2.5	lure	high	2	12	similar	7
192.2	2.5	lure	low	2	12	similar	6
196.7	2.5	foil	n/a	1	0	new	5
201.2	2.5	repeat	n/a	1	12	new	5
205.7	2.5	lure	high	2	12	similar	4
210.2	2.5	foil	n/a	1	0	new	4
214.7	2.5	repeat	n/a	1	40	new	3
219.2	2.5	lure	high	2	40	similar	4
223.7	2.5	repeat	n/a	2	40	old	5
228.2	2.5	foil	n/a	1	0	new	3
232.7	2.5	repeat	n/a	2	40	new	3
237.2	2.5	repeat	n/a	2	12	old	4
241.7	2.5	lure	high	1	40	new	7
246.2	2.5	lure	low	2	40	similar	7
250.7	2.5	repeat	n/a	1	4	new	6
255.2	2.5	repeat	n/a	2	12	old	4
259.7	2.5	foil	n/a	1	0	new	4
264.2	2.5	repeat	n/a	2	40	old	4
268.7	2.5	repeat	n/a	2	4	old	5
273.2	2.5	foil	n/a	1	0	new	4
277.7	2.5	repeat	n/a	1	12	new	3
282.2	2.5	foil	n/a	1	0	new	3
286.7	2.5	repeat	n/a	1	4	new	3
291.2	2.5	foil	n/a	1	0	similar	3
295.7	2.5	foil	n/a	1	0	new	4
300.2	2.5	lure	low	2	40	similar	4
304.7	2.5	repeat	n/a	2	4	old	4
309.2	2.5	lure	low	1	12	new	2
313.7	2.5	foil	n/a	1	0	new	5
318.2	2.5	repeat	n/a	1	40	new	6
322.7	2.5	lure	high	2	40	similar	5
327.2	2.5	foil	n/a	1	0	new	4
331.7	2.5	repeat	n/a	2	12	old	6
336.2	2.5	repeat	n/a	1	40	new	5
340.7	2.5	foil	n/a	1	0	new	4
345.2	2.5	foil	n/a	1	0	new	4
349.7	2.5	foil	n/a	1	0	new	3
354.2	2.5	foil	n/a	1	0	new	3
358.7	2.5	lure	low	2	40	similar	1
363.2	2.5	lure	low	2	12	similar	4
367.7	2.5	foil	n/a	1	0	new	4
372.2	2.5	lure	low	1	4	new	4
376.7	2.5	foil	n/a	1	0	new	4
381.2	2.5	repeat	n/a	1	12	new	3
385.7	2.5	lure	high	1	4	new	6
390.2	2.5	lure	low	2	4	similar	3
394.7	2.5	repeat	n/a	2	40	old	6
399.2	2.5	foil	n/a	1	0	new	7
403.7	2.5	lure	high	2	4	old	6
408.2	2.5	repeat	n/a	1	4	new	4
412.7	2.5	foil	n/a	1	0	new	5
417.2	2.5	foil	n/a	1	0	new	2
421.7	2.5	lure	high	2	40	old	7
426.2	2.5	repeat	n/a	2	4	old	3
430.7	2.5	lure	high	1	12	new	4
435.2	2.5	repeat	n/a	2	12	old	3
439.7	2.5	lure	low	1	12	new	5
444.2	2.5	foil	n/a	1	0	new	3
448.7	2.5	foil	n/a	1	0	new	3
453.2	2.5	lure	high	1	4	new	4
457.7	2.5	foil	n/a	1	0	new	3
462.2	2.5	foil	n/a	1	0	new	5
466.7	2.5	foil	n/a	1	0	new	2
471.2	2.5	lure	high	2	4	old	3
475.7	2.5	foil	n/a	1	0	new	3
480.2	2.5	foil	n/a	1	0	new	2
484.7	2.5	lure	high	2	12	similar	5
489.2	2.5	foil	n/a	1	0	new	6
493.7	2.5	lure	low	2	12	similar	4
498.2	2.5	repeat	n/a	2	40	old	4
502.7	2.5	lure	high	1	4	old	5
507.2	2.5	foil	n/a	1	0	new	3
511.7	2.5	foil	n/a	1	0	new	4
516.2	2.5	repeat	n/a	2	40	old	2
520.7	2.5	lure	high	2	4	similar	4
