onset	duration
4.937	1
11.154	1
16.355	1
22.322	1
28.756	1
35.273	1
40.006	1
46.79	1
51.574	1
58.108	1
62.675	1
69.008	1
75.625	1
80.976	1
85.809	1
89.676	1
95.127	1
99.81	1
105.761	1
113.078	1
118.062	1
122.178	1
127.879	1
133.396	1
140.28	1
146.414	1
151.014	1
156.448	1
160.398	1
167.732	1
173.965	1
177.599	1
184.733	1
190.083	1
195.267	1
200.701	1
208.001	1
214.185	1
218.635	1
223.002	1
227.569	1
232.953	1
239.236	1
242.92	1
248.687	1
255.071	1
261.321	1
268.088	1
274.972	1
281.523	1
288.056	1
294.874	1
301.407	1
306.491	1
312.508	1
317.875	1
323.342	1
328.126	1
333.926	1
372.695	1
378.396	1
383.43	1
388.797	1
393.98	1
398.397	1
403.448	1
408.198	1
414.482	1
420.715	1
426.466	1
433.083	1
438.517	1
443.334	1
448.367	1
453.068	1
458.268	1
463.752	1
470.269	1
476.536	1
481.436	1
485.87	1
491.42	1
498.121	1
504.854	1
510.905	1
517.105	1
524.272	1
529.923	1
534.207	1
540.34	1
546.624	1
551.858	1
556.308	1
561.325	1
568.109	1
575.109	1
581.176	1
587.777	1
592.86	1
597.927	1
603.628	1
608.411	1
613.712	1
618.512	1
624.679	1
631.546	1
637.28	1
643.231	1
647.081	1
652.715	1
657.815	1
661.832	1
667.266	1
673.666	1
679.199	1
682.917	1
689.984	1
694.067	1
699.668	1
