onset	duration
6.423	1
10.606	1
14.923	1
20.724	1
27.907	1
32.191	1
36.875	1
41.625	1
47.592	1
52.625	1
57.826	1
64.027	1
68.11	1
74.077	1
80.861	1
86.895	1
91.895	1
95.995	1
100.079	1
106.046	1
113.047	1
117.514	1
124.431	1
131.364	1
137.981	1
142.265	1
147.049	1
151.132	1
156.066	1
160.7	1
166.333	1
172.351	1
177.884	1
184.601	1
189.235	1
195.102	1
201.419	1
207.37	1
211.553	1
215.653	1
221.954	1
228.121	1
235.088	1
239.722	1
245.172	1
251.006	1
255.606	1
260.123	1
264.74	1
270.374	1
274.757	1
280.008	1
285.625	1
291.492	1
295.759	1
300.643	1
307.526	1
313.927	1
320.027	1
359.447	1
365.914	1
369.981	1
375.814	1
380.615	1
387.348	1
392.349	1
398.966	1
404.466	1
410.033	1
416.584	1
422.101	1
427.368	1
431.135	1
435.235	1
440.702	1
448.186	1
453.686	1
460.003	1
465.937	1
471.671	1
477.371	1
481.805	1
487.405	1
493.156	1
498.756	1
504.89	1
510.524	1
514.624	1
519.774	1
525.941	1
531.291	1
538.092	1
542.792	1
548.843	1
555.293	1
560.56	1
566.361	1
572.211	1
577.895	1
583.645	1
589.829	1
596.279	1
603.263	1
610.13	1
614.831	1
619.131	1
623.981	1
628.398	1
633.198	1
640.166	1
645.983	1
650.95	1
656.4	1
663.434	1
668.768	1
673.651	1
680.102	1
686.885	1
693.219	1
