onset	duration	trial_type	response_time	int_rating	unp_rating	level	perspective
4.54989637130802	1.01708800000051	warning_cue	n/a	n/a	n/a	n/a	neut
8.13282835443079	12.9095504472571	heat	n/a	0.16796875	0.24609375	46.5	neut
30.3166471561181	5.34789171308057	int_rating	4.84789171308057	0.16796875	n/a	46.5	neut
27.0504052658234	3.24786619409224	unp_rating	2.74786619409224	n/a	0.24609375	46.5	neut
41.5974008438825	1.01703129113866	warning_cue	n/a	n/a	n/a	n/a	neut
45.1804962025317	12.9062664641351	heat	n/a	0	0	47	neut
65.8963975021097	0.516314869198141	int_rating	0.0163148691981405	0	n/a	47	neut
64.0967226329112	1.78282221097106	unp_rating	1.28282221097106	n/a	0	47	neut
76.6453851814349	1.01671777215142	warning_cue	n/a	n/a	n/a	n/a	neut
78.228591527426	11.0408047257388	press	n/a	0	0.080078125	5	neut
91.2782393248945	5.51608020253207	int_rating	5.01608020253207	0	n/a	5	neut
96.811292624473	1.91625491983086	unp_rating	1.41625491983086	n/a	0.080078125	5	neut
103.843747375528	1.01670805063259	warning_cue	n/a	n/a	n/a	n/a	neut
105.427029063291	11.0443079831221	press	n/a	0	0.017578125	3	neut
123.576464742616	1.13302913080224	int_rating	0.633029130802242	0	n/a	3	neut
118.476717907173	5.08273809282673	unp_rating	4.58273809282673	n/a	0.017578125	3	neut
133.025472540085	1.01667510548486	warning_cue	n/a	n/a	n/a	n/a	neut
136.608576000001	12.9057485232061	heat	n/a	0.509765625	0.99609375	47.5	neut
160.05892914768	3.38159378902947	int_rating	2.88159378902947	0.509765625	n/a	47.5	neut
155.524990919831	4.5156921518992	unp_rating	4.0156921518992	n/a	0.99609375	47.5	neut
168.073431763713	1.01673370464141	warning_cue	n/a	n/a	n/a	n/a	neut
169.656656202532	12.9056515780594	heat	n/a	0.431640625	0.353515625	47.5	neut
184.572859679325	4.76626727426174	int_rating	4.26626727426174	0.431640625	n/a	47.5	neut
189.355815966245	2.1997692489449	unp_rating	1.6997692489449	n/a	0.353515625	47.5	neut
197.12174285232	1.01672965400849	warning_cue	n/a	n/a	n/a	n/a	neut
198.704999696202	11.0402260253168	press	n/a	0	0	4	neut
211.754619679326	2.46629306329032	int_rating	1.96629306329032	0	n/a	4	neut
214.237727054852	0.84979483544339	unp_rating	0.34979483544339	n/a	0	4	neut
226.320086413502	1.01669400843912	warning_cue	n/a	n/a	n/a	n/a	neut
229.903214447258	11.1101196962027	press	n/a	0	0.009765625	3	neut
248.185765805907	0.849812388186365	int_rating	0.349812388186365	0	n/a	3	neut
247.019479493671	1.14951682700394	unp_rating	0.649516827003936	n/a	0.009765625	3	neut
