onset	duration	trial_type	response_time	int_rating	unp_rating	level	perspective
4.7842249451478	1.01588658227865	warning_cue	n/a	n/a	n/a	n/a	neut
8.36618072573856	11.0758337890293	press	n/a	0.0546875	0.095703125	4	neut
30.9834828691983	5.51437920675107	int_rating	5.01437920675107	0.0546875	n/a	4	neut
25.4499891308014	5.51486339240546	unp_rating	5.01486339240546	n/a	0.095703125	4	neut
40.080936236287	1.01687007594956	warning_cue	n/a	n/a	n/a	n/a	neut
43.6640753417723	12.9120367257383	heat	n/a	0.9375	0.861328125	46.5	neut
62.5804505654005	5.51559223628738	int_rating	5.01559223628738	0.9375	n/a	46.5	neut
68.1131906160335	3.31605562869208	unp_rating	2.81605562869208	n/a	0.861328125	46.5	neut
77.1291274261603	1.01803125738388	warning_cue	n/a	n/a	n/a	n/a	neut
80.7118382447252	12.9071251983123	heat	n/a	0.67578125	0.748046875	47.5	neut
104.161532219409	2.56563996624482	int_rating	2.06563996624482	0.67578125	n/a	47.5	neut
99.6287611139242	4.51537377215209	unp_rating	4.01537377215209	n/a	0.748046875	47.5	neut
112.176669974683	1.01737073417735	warning_cue	n/a	n/a	n/a	n/a	neut
113.759934109705	11.0431508523207	press	n/a	0.20703125	0.7265625	4	neut
126.809623223628	5.51604347679313	int_rating	5.01604347679313	0.20703125	n/a	4	neut
132.342644118144	3.83284455696139	unp_rating	3.33284455696139	n/a	0.7265625	4	neut
139.358429974684	1.01697566244729	warning_cue	n/a	n/a	n/a	n/a	neut
140.941685738397	11.0392284894515	press	n/a	0.619140625	0.705078125	5	neut
153.992010801688	5.51546936708837	int_rating	5.01546936708837	0.619140625	n/a	5	neut
159.525664675105	2.79845873417798	unp_rating	2.29845873417798	n/a	0.705078125	5	neut
166.540233451477	1.01671507172978	warning_cue	n/a	n/a	n/a	n/a	neut
168.123497046414	12.9071108860753	heat	n/a	0.24609375	0.13671875	46.5	neut
185.189486177215	1.89970214345976	int_rating	1.39970214345976	0.24609375	n/a	46.5	neut
183.03975885232	2.13290248101293	unp_rating	1.63290248101293	n/a	0.13671875	46.5	neut
195.605217215189	1.01669589873472	warning_cue	n/a	n/a	n/a	n/a	neut
197.188474059071	12.9064460421941	heat	n/a	0.099609375	0.0703125	46.5	neut
214.487739409283	1.26652259915591	int_rating	0.766522599155905	0.099609375	n/a	46.5	neut
212.104640540084	2.36630940084433	unp_rating	1.86630940084433	n/a	0.0703125	46.5	neut
226.653467544304	1.01671507172978	warning_cue	n/a	n/a	n/a	n/a	neut
230.236671189873	11.0390305485234	press	n/a	0.052734375	0.103515625	5	neut
252.818903223629	1.78307145991585	int_rating	1.28307145991585	0.052734375	n/a	5	neut
247.286270379746	5.51577559493671	unp_rating	5.01577559493671	n/a	0.103515625	5	neut
