onset	duration	trial	value	instruction
55819	5	1	1	rest
60760	2	1	2	ready
62763	6	1	3	task
68767	3	1	4	interval
71325	4	2	1	rest
75761	2	2	2	ready
77763	6	2	3	task
83762	3	2	4	interval
86253	5	3	1	rest
90763	2	3	2	ready
92760	6	3	3	task
98762	3	3	4	interval
101549	4	4	1	rest
105761	2	4	2	ready
107757	6	4	3	task
113764	3	4	4	interval
116259	5	5	1	rest
120767	2	5	2	ready
122761	6	5	3	task
128759	3	5	4	interval
131224	5	6	1	rest
135772	2	6	2	ready
137759	6	6	3	task
143770	3	6	4	interval
146309	5	7	1	rest
150772	2	7	2	ready
152762	6	7	3	task
158762	3	7	4	interval
161251	5	8	1	rest
165771	2	8	2	ready
167757	6	8	3	task
173763	3	8	4	interval
176295	5	9	1	rest
180766	2	9	2	ready
182761	6	9	3	task
188762	3	9	4	interval
191320	4	10	1	rest
195756	2	10	2	ready
197763	6	10	3	task
203766	3	10	4	interval
