onset	duration	sample	trial_type	response_time	stim_file	value
1029.7874861767	1.0000000000	514893.7431	n/a	n/a	n/a	ParTOO_WT1
1030.0474861767	1.0000000000	515023.7431	n/a	n/a	n/a	ExpTOO_WT1
1030.1574861767	1.0000000000	515078.7431	n/a	n/a	n/a	ParHSO_WT1
1030.5294861767	1.0000000000	515264.7431	n/a	n/a	n/a	ExpHSO_WT1
1030.5947578465	1.0000000000	515297.3789	n/a	n/a	n/a	standard3
1030.9694861767	1.0000000000	515484.7431	n/a	n/a	n/a	ParTOO_WT1
1031.2447649906	1.0000000000	515622.3825	n/a	n/a	n/a	standard3
1031.3334861767	1.0000000000	515666.7431	n/a	n/a	n/a	ParHSO_WT1
1031.4114861767	1.0000000000	515705.7431	n/a	n/a	n/a	ExpTOO_WT1
1031.8894861767	1.0000000000	515944.7431	n/a	n/a	n/a	ExpHSO_WT1
1032.0147664506	1.0000000000	516007.3832	n/a	n/a	n/a	standard3
1032.1294861767	1.0000000000	516064.7431	n/a	n/a	n/a	ParTOO_WT1
1032.5094861767	1.0000000000	516254.7431	n/a	n/a	n/a	ParHSO_WT1
1032.7774861767	1.0000000000	516388.7431	n/a	n/a	n/a	ExpTOO_WT1
1033.1647857400	1.0000000000	516582.3929	n/a	n/a	n/a	standard3
1033.2314861767	1.0000000000	516615.7431	n/a	n/a	n/a	ExpHSO_WT1
1033.3214861767	1.0000000000	516660.7431	n/a	n/a	n/a	ParTOO_WT1
1033.7034861767	1.0000000000	516851.7431	n/a	n/a	n/a	ParHSO_WT1
1034.0647931436	1.0000000000	517032.3966	n/a	n/a	n/a	standard3
1034.1144861767	1.0000000000	517057.2431	n/a	n/a	n/a	ExpTOO_WT1
1034.5364861767	1.0000000000	517268.2431	n/a	n/a	n/a	ParTOO_WT1
1034.5854861767	1.0000000000	517292.7431	n/a	n/a	n/a	ExpHSO_WT1
1034.9254861767	1.0000000000	517462.7431	n/a	n/a	n/a	ParHSO_WT1
1035.0848080993	1.0000000000	517542.404	n/a	n/a	n/a	standard3
1035.4704861767	1.0000000000	517735.2431	n/a	n/a	n/a	ExpTOO_WT1
1035.7424861767	1.0000000000	517871.2431	n/a	n/a	n/a	ParTOO_WT1
1035.9314861767	1.0000000000	517965.7431	n/a	n/a	n/a	ExpHSO_WT1
1036.1194861767	1.0000000000	518059.7431	n/a	n/a	n/a	ParHSO_WT1
1036.3548148235	1.0000000000	518177.4074	n/a	n/a	n/a	deviant3
1036.8234861767	1.0000000000	518411.7431	n/a	n/a	n/a	ExpTOO_WT1
1036.9384861767	1.0000000000	518469.2431	n/a	n/a	n/a	ParTOO_WT1
1037.2814861767	1.0000000000	518640.7431	n/a	n/a	n/a	ExpHSO_WT1
1037.3254861767	1.0000000000	518662.7431	n/a	n/a	n/a	ParHSO_WT1
1037.8748405964	1.0000000000	518937.4203	n/a	n/a	n/a	standard3
1038.1174861767	1.0000000000	519058.7431	n/a	n/a	n/a	ParTOO_WT1
1038.1484861767	1.0000000000	519074.2431	n/a	n/a	n/a	ExpTOO_WT1
1038.5034861767	1.0000000000	519251.7431	n/a	n/a	n/a	ParHSO_WT1
1038.5954861767	1.0000000000	519297.7431	n/a	n/a	n/a	ExpHSO_WT1
1039.0248448327	1.0000000000	519512.4224	n/a	n/a	n/a	standard3
1039.3114861767	1.0000000000	519655.7431	n/a	n/a	n/a	ParTOO_WT1
1039.4344861767	1.0000000000	519717.2431	n/a	n/a	n/a	ExpTOO_WT1
1039.6994861767	1.0000000000	519849.7431	n/a	n/a	n/a	ParHSO_WT1
1039.8754861767	1.0000000000	519937.7431	n/a	n/a	n/a	ExpHSO_WT1
1040.2948627229	1.0000000000	520147.4314	n/a	n/a	n/a	standard3
1040.5004861767	1.0000000000	520250.2431	n/a	n/a	n/a	ParTOO_WT1
1040.7034861767	1.0000000000	520351.7431	n/a	n/a	n/a	ExpTOO_WT1
1040.8148658194	1.0000000000	520407.4329	n/a	n/a	n/a	standard3
1040.8894861767	1.0000000000	520444.7431	n/a	n/a	n/a	ParHSO_WT1
1041.1494861767	1.0000000000	520574.7431	n/a	n/a	n/a	ExpHSO_WT1
1041.6764861767	1.0000000000	520838.2431	n/a	n/a	n/a	ParTOO_WT1
1042.0464861767	1.0000000000	521023.2431	n/a	n/a	n/a	ExpTOO_WT1
1042.0634861767	1.0000000000	521031.7431	n/a	n/a	n/a	ParHSO_WT1
1042.2148878374	1.0000000000	521107.4439	n/a	n/a	n/a	deviant3
1042.5094861767	1.0000000000	521254.7431	n/a	n/a	n/a	ExpHSO_WT1
1042.8794861767	1.0000000000	521439.7431	n/a	n/a	n/a	ParTOO_WT1
1043.2654861767	1.0000000000	521632.7431	n/a	n/a	n/a	ParHSO_WT1
1043.3704861767	1.0000000000	521685.2431	n/a	n/a	n/a	ExpTOO_WT1
1043.7348997721	1.0000000000	521867.4499	n/a	n/a	n/a	standard3
1043.8454861767	1.0000000000	521922.7431	n/a	n/a	n/a	ExpHSO_WT1
1044.0904861767	1.0000000000	522045.2431	n/a	n/a	n/a	ParTOO_WT1
1044.4794861767	1.0000000000	522239.7431	n/a	n/a	n/a	ParHSO_WT1
1044.7194861767	1.0000000000	522359.7431	n/a	n/a	n/a	ExpTOO_WT1
1044.8849087844	1.0000000000	522442.4544	n/a	n/a	n/a	standard3
1045.1814861767	1.0000000000	522590.7431	n/a	n/a	n/a	ExpHSO_WT1
1045.2964861767	1.0000000000	522648.2431	n/a	n/a	n/a	ParTOO_WT1
1045.6814861767	1.0000000000	522840.7431	n/a	n/a	n/a	ParHSO_WT1
1046.0724861767	1.0000000000	523036.2431	n/a	n/a	n/a	ExpTOO_WT1
1046.1549248367	1.0000000000	523077.4624	n/a	n/a	n/a	deviant3
1046.4784861767	1.0000000000	523239.2431	n/a	n/a	n/a	ParTOO_WT1
1046.5274861767	1.0000000000	523263.7431	n/a	n/a	n/a	ExpHSO_WT1
1046.8614861767	1.0000000000	523430.7431	n/a	n/a	n/a	ParHSO_WT1
1047.4124861767	1.0000000000	523706.2431	n/a	n/a	n/a	ExpTOO_WT1
1047.4249339399	1.0000000000	523712.467	n/a	n/a	n/a	standard3
1047.6914861767	1.0000000000	523845.7431	n/a	n/a	n/a	ParTOO_WT1
1047.8774861767	1.0000000000	523938.7431	n/a	n/a	n/a	ExpHSO_WT1
1048.0654861767	1.0000000000	524032.7431	n/a	n/a	n/a	ParHSO_WT1
1048.7524861767	1.0000000000	524376.2431	n/a	n/a	n/a	ExpTOO_WT1
1048.8774861767	1.0000000000	524438.7431	n/a	n/a	n/a	ParTOO_WT1
1048.9449558038	1.0000000000	524472.4779	n/a	n/a	n/a	standard3
1049.2094861767	1.0000000000	524604.7431	n/a	n/a	n/a	ExpHSO_WT1
1049.2634861767	1.0000000000	524631.7431	n/a	n/a	n/a	ParHSO_WT1
1050.0744861767	1.0000000000	525037.2431	n/a	n/a	n/a	ParTOO_WT1
1050.0934861767	1.0000000000	525046.7431	n/a	n/a	n/a	ExpTOO_WT1
1050.3449724237	1.0000000000	525172.4862	n/a	n/a	n/a	standard3
1050.4554861767	1.0000000000	525227.7431	n/a	n/a	n/a	ParHSO_WT1
1050.5254861767	1.0000000000	525262.7431	n/a	n/a	n/a	ExpHSO_WT1
1050.8649786642	1.0000000000	525432.4893	n/a	n/a	n/a	standard3
1051.2614861767	1.0000000000	525630.7431	n/a	n/a	n/a	ParTOO_WT1
1051.4214861767	1.0000000000	525710.7431	n/a	n/a	n/a	ExpTOO_WT1
1051.5149888093	1.0000000000	525757.4944	n/a	n/a	n/a	deviant3
1051.6534861767	1.0000000000	525826.7431	n/a	n/a	n/a	ParHSO_WT1
1051.8634861767	1.0000000000	525931.7431	n/a	n/a	n/a	ExpHSO_WT1
1052.4614861767	1.0000000000	526230.7431	n/a	n/a	n/a	ParTOO_WT1
1052.7024861767	1.0000000000	526351.2431	n/a	n/a	n/a	ExpTOO_WT1
1052.7849974865	1.0000000000	526392.4987	n/a	n/a	n/a	standard3
1052.8354861767	1.0000000000	526417.7431	n/a	n/a	n/a	ParHSO_WT1
1053.1374861767	1.0000000000	526568.7431	n/a	n/a	n/a	ExpHSO_WT1
