onset	duration	condition
0	16	Horizontal
16	16	Gray
32	16	Vertical
48	16	Gray
64	16	Horizontal
80	16	Gray
96	16	Vertical
112	16	Gray
128	16	Horizontal
144	16	Gray
160	16	Vertical
176	16	Gray
192	16	Horizontal
208	16	Gray
224	16	Vertical
240	16	Gray
