onset	duration	bodypart
14500	1000	2
24800	1000	18
35000	1000	2
45300	1000	17
55600	1000	18
65800	1000	16
76100	1000	13
86400	1000	14
96600	1000	16
111100	1000	3
121400	1000	18
131600	1000	17
141900	1000	14
152200	1000	15
162400	1000	13
172700	1000	17
183000	1000	2
193200	1000	3
207700	1000	1
218000	1000	18
228200	1000	16
238500	1000	1
248800	1000	14
259000	1000	1
269300	1000	3
279600	1000	17
289800	1000	15
304300	1000	16
314600	1000	15
324800	1000	13
335100	1000	2
345400	1000	1
355600	1000	14
365900	1000	1
376200	1000	13
386400	1000	18
400900	1000	17
411200	1000	13
421400	1000	15
431700	1000	16
442000	1000	2
452200	1000	3
462500	1000	15
472800	1000	3
483000	1000	14
