onset	duration	bodypart
14500	1000	5
24800	1000	7
35000	1000	12
45300	1000	10
55600	1000	9
65800	1000	12
76100	1000	10
86400	1000	5
96600	1000	11
111100	1000	4
121400	1000	11
131600	1000	4
141900	1000	7
152200	1000	4
162400	1000	6
172700	1000	9
183000	1000	4
193200	1000	8
207700	1000	7
218000	1000	12
228200	1000	8
238500	1000	11
248800	1000	5
259000	1000	11
269300	1000	6
279600	1000	9
289800	1000	10
304300	1000	8
314600	1000	6
324800	1000	8
335100	1000	10
345400	1000	9
355600	1000	12
365900	1000	6
376200	1000	7
386400	1000	5
