onset	duration	bodypart
14500	1000	13
24800	1000	18
35000	1000	16
45300	1000	1
55600	1000	17
65800	1000	16
76100	1000	1
86400	1000	13
96600	1000	2
111100	1000	15
121400	1000	2
131600	1000	15
141900	1000	18
152200	1000	15
162400	1000	3
172700	1000	17
183000	1000	15
193200	1000	14
207700	1000	18
218000	1000	16
228200	1000	14
238500	1000	2
248800	1000	13
259000	1000	2
269300	1000	3
279600	1000	17
289800	1000	1
304300	1000	14
314600	1000	3
324800	1000	14
335100	1000	1
345400	1000	17
355600	1000	16
365900	1000	3
376200	1000	18
386400	1000	13
