onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.024	3	foil new	foil	sure new	0.975	n/a	331	37	2
14.021	3	foil new	foil	sure new	0.865	n/a	332	38	2
26.019	3	foil new	foil	sure new	1.036	n/a	333	39	2
38.033	3	target old	target	sure old	0.756	1	111	40	2
50.031	3	foil new	foil	sure new	1.350	n/a	307	41	2
62.028	3	target new	target	sure new	1.384	7	175	42	2
74.026	3	foil new	foil	sure new	1.330	n/a	311	43	2
86.040	3	lure new	lure	unsure new	1.796	1	213	44	2
98.021	3	foil new	foil	sure new	1.270	n/a	314	45	2
110.019	3	foil new	foil	unsure new	1.993	n/a	327	46	2
122.016	3	lure old	lure	unsure old	1.474	6	264	47	2
134.030	3	foil new	foil	sure new	1.043	n/a	316	48	2
146.028	3	lure new	lure	sure new	1.909	5	251	49	2
158.026	3	target old	target	unsure old	2.104	6	163	50	2
170.023	3	target old	target	sure old	1.345	8	183	51	2
182.021	3	foil new	foil	unsure new	1.627	n/a	304	52	2
194.018	3	lure old	lure	unsure old	2.141	5	253	53	2
206.016	3	foil new	foil	sure new	1.400	n/a	319	54	2
218.030	3	lure new	lure	unsure new	1.833	4	241	55	2
230.028	3	lure old	lure	sure old	0.954	9	291	56	2
242.026	3	target new	target	unsure new	1.957	2	121	57	2
254.040	3	target old	target	sure old	1.558	5	153	58	2
266.021	3	target old	target	sure old	0.928	7	171	59	2
278.018	3	foil new	foil	sure new	0.946	n/a	323	60	2
290.016	3	target old	target	sure old	1.396	9	195	61	2
302.030	3	target old	target	sure old	0.726	8	181	62	2
314.028	3	target old	target	unsure old	1.904	3	137	63	2
326.025	3	lure old	lure	unsure old	1.778	6	263	64	2
338.023	3	target new	target	unsure new	1.748	4	141	65	2
350.037	3	lure old	lure	sure old	1.581	3	231	66	2
362.018	3	lure old	lure	sure old	1.184	7	273	67	2
374.032	3	lure new	lure	unsure new	1.850	8	281	68	2
386.030	3	lure new	lure	unsure new	1.731	2	222	69	2
398.028	3	lure old	lure	sure old	2.621	7	271	70	2
410.025	3	foil new	foil	sure new	1.807	n/a	303	71	2
422.040	3	target old	target	sure old	1.000	3	131	72	2
