onset	duration	parametric_modulation	regressor	description
12.334	1	1	1	HV Go
27.335	1	1	1	HV Go
57.34	1	1	1	HV Go
60.34	1	1	1	HV Go
102.35	1	1	1	HV Go
112.34	1	1	1	HV Go
177.1	1	1	1	HV Go
194.1	1	1	1	HV Go
200.1	1	1	1	HV Go
204.1	1	1	1	HV Go
241.11	1	1	1	HV Go
12.334	1	-0.075758	2	HV Go - by choice
27.335	1	0.090909	2	HV Go - by choice
57.34	1	0.0075758	2	HV Go - by choice
60.34	1	0.090909	2	HV Go - by choice
102.35	1	0.17424	2	HV Go - by choice
112.34	1	-0.24242	2	HV Go - by choice
177.1	1	0.0075758	2	HV Go - by choice
194.1	1	-0.075758	2	HV Go - by choice
200.1	1	0.090909	2	HV Go - by choice
204.1	1	0.17424	2	HV Go - by choice
241.11	1	-0.24242	2	HV Go - by choice
12.334	1	-0.011818	3	HV Go - by value
27.335	1	0.018182	3	HV Go - by value
57.34	1	0.058182	3	HV Go - by value
60.34	1	-0.0018182	3	HV Go - by value
102.35	1	-0.061818	3	HV Go - by value
112.34	1	-0.0018182	3	HV Go - by value
177.1	1	0.058182	3	HV Go - by value
194.1	1	-0.011818	3	HV Go - by value
200.1	1	0.018182	3	HV Go - by value
204.1	1	-0.061818	3	HV Go - by value
241.11	1	-0.0018182	3	HV Go - by value
12.334	1	-0.11389	4	HV Go - by GSD
27.335	1	-0.098907	4	HV Go - by GSD
57.34	1	-0.06889	4	HV Go - by GSD
60.34	1	-0.06589	4	HV Go - by GSD
102.35	1	-0.023889	4	HV Go - by GSD
112.34	1	-0.013892	4	HV Go - by GSD
177.1	1	0.050872	4	HV Go - by GSD
194.1	1	0.067872	4	HV Go - by GSD
200.1	1	0.073873	4	HV Go - by GSD
204.1	1	0.077874	4	HV Go - by GSD
241.11	1	0.11487	4	HV Go - by GSD
32.335	1	1	5	LV Go
55.339	1	1	5	LV Go
64.341	1	1	5	LV Go
84.344	1	1	5	LV Go
94.346	1	1	5	LV Go
110.34	1	1	5	LV Go
131.1	1	1	5	LV Go
146.11	1	1	5	LV Go
175.1	1	1	5	LV Go
182.1	1	1	5	LV Go
227.1	1	1	5	LV Go
234.1	1	1	5	LV Go
32.335	1	0.027778	6	LV Go - by choice
55.339	1	0.027778	6	LV Go - by choice
64.341	1	0.027778	6	LV Go - by choice
84.344	1	-0.13889	6	LV Go - by choice
94.346	1	0.027778	6	LV Go - by choice
110.34	1	0.027778	6	LV Go - by choice
131.1	1	0.027778	6	LV Go - by choice
146.11	1	0.027778	6	LV Go - by choice
175.1	1	0.027778	6	LV Go - by choice
182.1	1	0.027778	6	LV Go - by choice
227.1	1	0.027778	6	LV Go - by choice
234.1	1	-0.13889	6	LV Go - by choice
32.335	1	0.031667	7	LV Go - by value
55.339	1	0.011667	7	LV Go - by value
64.341	1	0.031667	7	LV Go - by value
84.344	1	-0.0083333	7	LV Go - by value
94.346	1	-0.048333	7	LV Go - by value
110.34	1	-0.018333	7	LV Go - by value
131.1	1	-0.048333	7	LV Go - by value
146.11	1	0.031667	7	LV Go - by value
175.1	1	-0.018333	7	LV Go - by value
182.1	1	0.031667	7	LV Go - by value
227.1	1	0.011667	7	LV Go - by value
234.1	1	-0.0083333	7	LV Go - by value
32.335	1	0.015277	8	LV Go - by GSD
55.339	1	0.015277	8	LV Go - by GSD
64.341	1	0.015277	8	LV Go - by GSD
84.344	1	0.015277	8	LV Go - by GSD
94.346	1	0.015277	8	LV Go - by GSD
110.34	1	0.015277	8	LV Go - by GSD
131.1	1	-0.034722	8	LV Go - by GSD
146.11	1	-0.034722	8	LV Go - by GSD
175.1	1	-0.034722	8	LV Go - by GSD
182.1	1	-0.018052	8	LV Go - by GSD
227.1	1	0.015277	8	LV Go - by GSD
234.1	1	0.015277	8	LV Go - by GSD
16.334	1	1	9	HV NoGo
34.336	1	1	9	HV NoGo
