onset	duration	parametric_modulation	regressor	description
2.0223	0.95604	1	1	HV Go
5.0149	0.95604	1	1	HV Go
8.0224	0.95604	1	1	HV Go
13.016	0.95604	1	1	HV Go
46.023	0.95604	1	1	HV Go
50.008	0.95604	1	1	HV Go
54.007	0.95604	1	1	HV Go
80.011	0.95604	1	1	HV Go
87.013	0.95604	1	1	HV Go
106.02	0.95604	1	1	HV Go
113.02	0.95604	1	1	HV Go
116.02	0.95604	1	1	HV Go
140.02	0.95604	1	1	HV Go
160.02	0.95604	1	1	HV Go
178.01	0.95604	1	1	HV Go
188.02	0.95604	1	1	HV Go
2.0223	0.95604	0.057292	2	HV Go - by choice
5.0149	0.95604	-0.27604	2	HV Go - by choice
8.0224	0.95604	0.057292	2	HV Go - by choice
13.016	0.95604	-0.026042	2	HV Go - by choice
46.023	0.95604	-0.10938	2	HV Go - by choice
50.008	0.95604	0.14062	2	HV Go - by choice
54.007	0.95604	0.14062	2	HV Go - by choice
80.011	0.95604	0.14062	2	HV Go - by choice
87.013	0.95604	0.057292	2	HV Go - by choice
106.02	0.95604	-0.10938	2	HV Go - by choice
113.02	0.95604	-0.10938	2	HV Go - by choice
116.02	0.95604	-0.10938	2	HV Go - by choice
140.02	0.95604	-0.026042	2	HV Go - by choice
160.02	0.95604	-0.026042	2	HV Go - by choice
178.01	0.95604	0.14062	2	HV Go - by choice
188.02	0.95604	0.057292	2	HV Go - by choice
2.0223	0.95604	0.04	3	HV Go - by value diff
5.0149	0.95604	0	3	HV Go - by value diff
8.0224	0.95604	-0.04	3	HV Go - by value diff
13.016	0.95604	0.06	3	HV Go - by value diff
46.023	0.95604	0.01	3	HV Go - by value diff
50.008	0.95604	-0.06	3	HV Go - by value diff
54.007	0.95604	-0.08	3	HV Go - by value diff
80.011	0.95604	-0.02	3	HV Go - by value diff
87.013	0.95604	0.03	3	HV Go - by value diff
106.02	0.95604	-0.01	3	HV Go - by value diff
113.02	0.95604	0.03	3	HV Go - by value diff
116.02	0.95604	0	3	HV Go - by value diff
140.02	0.95604	0.07	3	HV Go - by value diff
