onset	duration	parametric_modulation	regressor	description
69.019	0.95604	-0.0027411	7	HV - by RT
88.023	0.95604	-0.28502	7	HV - by RT
113.02	0.95604	-0.12275	7	HV - by RT
118.02	0.95604	-0.033651	7	HV - by RT
126.02	0.95604	0.030919	7	HV - by RT
143.02	0.95604	-0.11315	7	HV - by RT
147.02	0.95604	-0.065691	7	HV - by RT
151.02	0.95604	-0.012371	7	HV - by RT
154.02	0.95604	0.025239	7	HV - by RT
157.02	0.95604	0.044569	7	HV - by RT
169.02	0.95604	0.19948	7	HV - by RT
172.02	0.95604	0.41017	7	HV - by RT
182.02	0.95604	0.10822	7	HV - by RT
2.0139	0.95604	1	8	LV Go
46.018	0.95604	1	8	LV Go
49.016	0.95604	1	8	LV Go
59.018	0.95604	1	8	LV Go
77.021	0.95604	1	8	LV Go
84.022	0.95604	1	8	LV Go
91.015	0.95604	1	8	LV Go
96.015	0.95604	1	8	LV Go
107.02	0.95604	1	8	LV Go
123.02	0.95604	1	8	LV Go
140.02	0.95604	1	8	LV Go
163.02	0.95604	1	8	LV Go
175.02	0.95604	1	8	LV Go
179.02	0.95604	1	8	LV Go
185.02	0.95604	1	8	LV Go
188.02	0.95604	1	8	LV Go
2.0139	0.95604	0.010417	9	LV Go - by choice
46.018	0.95604	0.010417	9	LV Go - by choice
49.016	0.95604	0.010417	9	LV Go - by choice
59.018	0.95604	0.010417	9	LV Go - by choice
77.021	0.95604	0.010417	9	LV Go - by choice
84.022	0.95604	0.010417	9	LV Go - by choice
91.015	0.95604	0.010417	9	LV Go - by choice
96.015	0.95604	0.010417	9	LV Go - by choice
107.02	0.95604	0.010417	9	LV Go - by choice
123.02	0.95604	-0.15625	9	LV Go - by choice
140.02	0.95604	0.010417	9	LV Go - by choice
163.02	0.95604	0.010417	9	LV Go - by choice
175.02	0.95604	0.010417	9	LV Go - by choice
179.02	0.95604	0.010417	9	LV Go - by choice
185.02	0.95604	0.010417	9	LV Go - by choice
188.02	0.95604	0.010417	9	LV Go - by choice
2.0139	0.95604	0.02	10	LV Go - by value diff
46.018	0.95604	-0.04	10	LV Go - by value diff
49.016	0.95604	-0.03	10	LV Go - by value diff
59.018	0.95604	0.06	10	LV Go - by value diff
77.021	0.95604	0.02	10	LV Go - by value diff
84.022	0.95604	0.03	10	LV Go - by value diff
91.015	0.95604	-0.06	10	LV Go - by value diff
96.015	0.95604	0	10	LV Go - by value diff
107.02	0.95604	0.02	10	LV Go - by value diff
123.02	0.95604	-0.02	10	LV Go - by value diff
140.02	0.95604	0.04	10	LV Go - by value diff
163.02	0.95604	0	10	LV Go - by value diff
175.02	0.95604	-0.06	10	LV Go - by value diff
179.02	0.95604	-0.09	10	LV Go - by value diff
185.02	0.95604	0.02	10	LV Go - by value diff
188.02	0.95604	0.11	10	LV Go - by value diff
31.014	0.95604	1	11	LV NoGo
99.015	0.95604	1	11	LV NoGo
31.014	0.95604	0	12	LV NoGo - by choice
99.015	0.95604	0	12	LV NoGo - by choice
31.014	0.95604	0.02	13	LV NoGo - by value diff
99.015	0.95604	-0.07	13	LV NoGo - by value diff
2.0139	0.95604	-0.062965	14	LV - by RT
31.014	0.95604	0.29567	14	LV - by RT
46.018	0.95604	-0.002725	14	LV - by RT
49.016	0.95604	-0.22889	14	LV - by RT
59.018	0.95604	0.14826	14	LV - by RT
77.021	0.95604	-0.11488	14	LV - by RT
84.022	0.95604	-0.19302	14	LV - by RT
91.015	0.95604	0.024865	14	LV - by RT
96.015	0.95604	-0.11632	14	LV - by RT
99.015	0.95604	-0.023245	14	LV - by RT
107.02	0.95604	-0.20743	14	LV - by RT
123.02	0.95604	0.57846	14	LV - by RT
140.02	0.95604	0.098115	14	LV - by RT
163.02	0.95604	0.009885	14	LV - by RT
175.02	0.95604	0.018755	14	LV - by RT
179.02	0.95604	-0.1824	14	LV - by RT
185.02	0.95604	-0.062455	14	LV - by RT
188.02	0.95604	0.020365	14	LV - by RT
6.0139	0.95604	1	15	Sanity
13.014	0.95604	1	15	Sanity
0	0	0	16	Missed trials
