onset	duration	parametric_modulation	regressor	description
27.028	2	1	1	HV Go
59.018	2	1	1	HV Go
68.018	2	1	1	HV Go
72.019	2	1	1	HV Go
127.02	2	1	1	HV Go
137.02	2	1	1	HV Go
45.018	2	1	2	HV NoGo
104.02	2	1	2	HV NoGo
119.03	2	1	2	HV NoGo
122.03	2	1	2	HV NoGo
134.02	2	1	2	HV NoGo
142.02	2	1	2	HV NoGo
19.026	2	1	3	LV Go
22.027	2	1	3	LV Go
56.018	2	1	3	LV Go
81.02	2	1	3	LV Go
86.022	2	1	3	LV Go
115.03	2	1	3	LV Go
10.025	2	1	4	LV NoGo
40.018	2	1	4	LV NoGo
52.018	2	1	4	LV NoGo
77.02	2	1	4	LV NoGo
130.02	2	1	4	LV NoGo
150.02	2	1	4	LV NoGo
7.024	2	1	5	HV Neutral
30.028	2	1	5	HV Neutral
33.018	2	1	5	HV Neutral
37.018	2	1	5	HV Neutral
107.02	2	1	5	HV Neutral
161.02	2	1	5	HV Neutral
16.026	2	1	6	LV Neutral
62.018	2	1	6	LV Neutral
65.018	2	1	6	LV Neutral
92.022	2	1	6	LV Neutral
101.02	2	1	6	LV Neutral
154.02	2	1	6	LV Neutral
2.1232	2	1	7	HV Sanity
145.02	2	1	7	HV Sanity
97.023	2	1	8	LV Sanity
157.02	2	1	8	LV Sanity
27.028	2	-0.25	9	HV Go - by choice
59.018	2	0.083333	9	HV Go - by choice
68.018	2	0.083333	9	HV Go - by choice
72.019	2	-0.083333	9	HV Go - by choice
127.02	2	0.16667	9	HV Go - by choice
137.02	2	2.2204e-16	9	HV Go - by choice
45.018	2	-0.083333	10	HV NoGo - by choice
104.02	2	-0.16667	10	HV NoGo - by choice
119.03	2	0.41667	10	HV NoGo - by choice
122.03	2	-0.16667	10	HV NoGo - by choice
134.02	2	-0.16667	10	HV NoGo - by choice
142.02	2	0.16667	10	HV NoGo - by choice
19.026	2	0.027778	11	LV Go - by choice
22.027	2	-0.13889	11	LV Go - by choice
56.018	2	0.027778	11	LV Go - by choice
81.02	2	0.027778	11	LV Go - by choice
86.022	2	0.027778	11	LV Go - by choice
115.03	2	0.027778	11	LV Go - by choice
10.025	2	-0.027778	12	LV NoGo - by choice
40.018	2	0.055556	12	LV NoGo - by choice
52.018	2	-0.027778	12	LV NoGo - by choice
77.02	2	-0.027778	12	LV NoGo - by choice
130.02	2	-0.027778	12	LV NoGo - by choice
150.02	2	0.055556	12	LV NoGo - by choice
2.1232	2	0.32735	13	All - by value
7.024	2	0.16011	13	All - by value
10.025	2	-0.22048	13	All - by value
16.026	2	-0.1967	13	All - by value
19.026	2	-0.25613	13	All - by value
22.027	2	-0.24249	13	All - by value
27.028	2	0.24005	13	All - by value
30.028	2	0.35281	13	All - by value
33.018	2	0.1342	13	All - by value
37.018	2	0.32949	13	All - by value
40.018	2	-0.31016	13	All - by value
45.018	2	0.27788	13	All - by value
52.018	2	-0.24293	13	All - by value
56.018	2	-0.20408	13	All - by value
59.018	2	0.24164	13	All - by value
62.018	2	-0.12928	13	All - by value
65.018	2	-0.38762	13	All - by value
68.018	2	0.254	13	All - by value
72.019	2	0.22677	13	All - by value
77.02	2	-0.19711	13	All - by value
81.02	2	-0.2049	13	All - by value
86.022	2	-0.22454	13	All - by value
92.022	2	-0.098641	13	All - by value
97.023	2	-0.32471	13	All - by value
101.02	2	-0.18664	13	All - by value
104.02	2	0.23185	13	All - by value
107.02	2	0.15074	13	All - by value
115.03	2	-0.28675	13	All - by value
119.03	2	0.26262	13	All - by value
122.03	2	0.20093	13	All - by value
127.02	2	0.18101	13	All - by value
130.02	2	-0.225	13	All - by value
134.02	2	0.24284	13	All - by value
137.02	2	0.29504	13	All - by value
142.02	2	0.218	13	All - by value
145.02	2	0.32947	13	All - by value
150.02	2	-0.22652	13	All - by value
154.02	2	-0.33323	13	All - by value
157.02	2	-0.32991	13	All - by value
161.02	2	0.17102	13	All - by value
