onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	1	1	3.02	2.98	6.01	12	18.03	3.69	21.78	2.64	1	0	1	2	5	Imagine that your car will break down when you're already running late
36.57	33.5	1	2	36.57	2.43	39.01	12	51.02	3.17	54.26	2.94	0	1	0	7	5	Imagine that you will win an award
70.12	33.5	1	3	70.12	1.88	72	12	84.02	3.17	87.26	2.27	1	1	0	7	7	Imagine that you will start exercising regularly to promote health and vitality
103.67	33.5	1	4	103.67	1.33	105	12	117.02	3.7	120.79	3.54	0	0	1	1	6	Imagine that you will have an argument with your parents
137.22	33.5	1	5	137.22	0.78	138.02	12	150.03	2.42	152.52	2.7	1	1	0	6	5	Imagine that you will make dinner for a potluck and everyone loves it
170.76	33.5	1	6	170.76	0.23	171.01	12	183.03	1.94	185.03	2.37	0	0	0	1	7	Imagine that you will put others in jeopardy because of your carelessness
204.31	33.5	1	7	204.31	2.68	207	12	219.02	2.15	221.24	2.74	1	0	0	1	5	Imagine that you will lose your current home to a fire
237.86	33.5	1	8	237.86	2.13	240.01	12	252.03	3.24	255.34	2.45	0	0	1	1	2	Imagine that you will not be able to realize your full potential at work
271.41	33.5	1	9	271.41	1.59	273.01	12	285.03	2.14	287.23	2.09	0	1	0	6	3	Imagine that you will get your research published in a journal
304.96	33.5	1	10	304.96	1.04	306.01	12	318.03	2.8	320.9	2.82	0	1	1	4	2	Imagine that you will learn a lot about the world around you
338.51	33.5	1	11	338.51	0.49	339.01	12	351.02	3.04	354.13	3.14	1	0	1	2	7	Imagine that you will get locked out of your house
372.05	33.5	1	12	372.05	2.94	375.01	12	387.03	2.55	389.65	1.84	1	1	1	7	7	Imagine that you will win the lottery
405.6	33.5	1	13	405.6	2.39	408.01	12	420.02	2.87	422.96	2.29	0	1	1	5	5	Imagine that you will make new friends
439.15	33.5	1	14	439.15	1.84	441	12	453.02	3.84	456.93	2.57	0	0	0	1	5	Imagine that your place of employment will go out of business, and you have to find a new job
472.7	33.5	1	15	472.7	1.29	474	12	486.02	3.3	489.39	4.29	1	0	0	2	6	Imagine that you will get stuck at a friend's house with screaming kids
506.25	33.5	1	16	506.25	0.74	507	12	519.02	3.71	522.79	5.01	1	1	1	5	2	Imagine that you will successfully complete a difficult project you've been working on
