onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	3	1	3.02	1.96	4.99	12	17.01	1.87	18.94	1.84	0	0	0	1	2	Imagine that you will not be able to realize your full potential at work
36.57	33.5	3	2	36.57	2.43	39.01	12	51.02	2.6	53.7	1.87	1	0	1	1	5	Imagine that you will lose your current home to a fire
70.12	33.5	3	3	70.12	1.88	72	12	84.02	3.64	87.73	2.19	0	1	1	6	5	Imagine that you will get your research published in a journal
103.67	33.5	3	4	103.67	1.33	105	12	117.02	1.74	118.82	3.49	0	1	0	7	6	Imagine that you will make new friends
137.22	33.5	3	5	137.22	0.78	138	12	150.02	2.09	152.17	2.29	0	0	1	1	6	Imagine that you will put others in jeopardy because of your carelessness
170.76	33.5	3	6	170.76	0.23	171.01	12	183.03	1.38	184.48	1.7	0	0	1	1	5	Imagine that your place of employment will go out of business, and you have to find a new job
204.31	33.5	3	7	204.31	2.68	207	12	219.02	1.92	221	3.25	1	1	0	5	5	Imagine that you will successfully complete a difficult project you've been working on
237.86	33.5	3	8	237.86	2.13	240	12	252.02	5.86	257.94	3.29	0	1	1	7	6	Imagine that you will win an award
271.41	33.5	3	9	271.41	1.59	273.01	12	285.03	2.15	287.25	2.07	1	1	0	7	7	Imagine that you will win the lottery
304.96	33.5	3	10	304.96	1.04	306.01	12	318.03	2.84	320.93	1.92	1	0	0	1	5	Imagine that your car will break down when you're already running late
338.51	33.5	3	11	338.51	0.49	339.01	12	351.03	2.97	354.06	1.4	1	1	1	7	7	Imagine that you will start exercising regularly to promote health and vitality
372.06	33.5	3	12	372.06	2.94	375.01	12	387.03	1.94	389.03	1.29	1	1	1	7	6	Imagine that you will make dinner for a potluck and everyone loves it
405.6	33.5	3	13	405.6	2.39	408.01	12	420.02	2.15	422.24	3.09	1	0	1	1	7	Imagine that you will get stuck at a friend's house with screaming kids
439.15	33.5	3	14	439.15	1.84	441.01	12	453.02	7.09	460.18	3.34	1	0	0	1	4	Imagine that you will get locked out of your house
472.7	33.5	3	15	472.7	1.29	474	12	486.02	3.04	489.12	1.7	0	1	0	4	2	Imagine that you will learn a lot about the world around you
506.25	33.5	3	16	506.25	0.74	507	12	519.02	1.94	521.02	2.29	0	0	0	1	7	Imagine that you will have an argument with your parents
