onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	2	1	3.02	2.49	5.52	12	17.54	2.32	19.93	2.72	1	1	0	7	5	Imagine that you will see your favorite band in concert
36.57	33.5	2	2	36.57	2.43	39.01	12	51.02	2.49	53.58	2.34	1	1	1	7	6	Imagine that you will find your dream job that pays well with good hours
70.12	33.5	2	3	70.12	1.88	72	12	84.02	3.25	87.34	2.1	0	0	0	1	6	Imagine that you will be diagnosed with a rare disease
103.67	33.5	2	4	103.67	1.33	105	12	117.02	3.72	120.81	2.7	1	1	1	7	5	Imagine that you will buy a car
137.21	33.5	2	5	137.21	0.78	138.02	12	150.03	2.99	153.09	1.97	0	0	0	2	5	Imagine that you will catch one of your good friends stealing
170.76	33.5	2	6	170.76	0.23	171.01	12	183.03	1.65	184.75	1.63	1	0	1	1	5	Imagine that there will be an infestation of bugs in your home
204.31	33.5	2	7	204.31	2.68	207	12	219.02	2.1	221.19	3.52	1	1	0	3	6	Imagine that you will go on a romantic getaway with your significant other
237.86	33.5	2	8	237.86	2.14	240.01	12	252.03	3.32	255.42	3.54	0	1	0	4	2	Imagine that you will get good medical coverage at work
271.41	33.5	2	9	271.41	1.59	273.01	12	285.03	3.14	288.23	1.62	0	1	0	7	6	Imagine that you will cultivate lasting friendships at work
304.96	33.5	2	10	304.96	1.04	306.01	12	318.03	2.4	320.5	1.89	0	1	1	5	4	Imagine that you will fulfill a promise to your friend
338.51	33.5	2	11	338.51	0.49	339.01	12	351.02	2.9	354	1.67	1	0	1	1	7	Imagine that you will encounter a crawling insect in your bedroom
372.05	33.5	2	12	372.05	2.94	375.01	12	387.03	2.17	389.26	1.49	0	1	1	7	5	Imagine that you will achieve a strong sense of self-worth
405.6	33.5	2	13	405.6	2.39	408.01	12	420.02	2.44	422.53	2.2	0	0	1	1	6	Imagine that you will file for bankruptcy
439.15	33.5	2	14	439.15	1.84	441	12	453.02	2.22	455.31	2.57	1	0	0	1	7	Imagine that you will get food poisoning
472.7	33.5	2	15	472.7	1.29	474	12	486.02	2.69	488.77	2.77	1	0	0	1	6	Imagine that there will be a natural disaster where you live
506.25	33.5	2	16	506.25	0.74	507	12	519.02	2.44	521.52	1.9	0	0	1	1	5	Imagine that you will get blamed for a hazardous accident
