onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response
17.231	4.012	Img9185_Image	Image	1	4	5
27.253	4.012	Img9185_RatingScreens	Rating	1	4	5
46.799	4.012	Img9302_Image	Image	2	4	2
56.821	4.012	Img9302_RatingScreens	Rating	2	4	2
72.321	4.012	Img5833_Image	Image	3	8	1
82.343	4.012	Img5833_RatingScreens	Rating	3	8	1
98.708	4.012	Img2340_Image	Image	4	5	3
108.73	4.012	Img2340_RatingScreens	Rating	4	5	3
123.798	4.011	Img2525_Image	Image	5	5	2
133.82	4.011	Img2525_RatingScreens	Rating	5	5	2
148.936	4.012	Img3195_Image	Image	6	4	3
158.959	4.012	Img3195_RatingScreens	Rating	6	4	3
175.157	4.013	Img6220_Image	Image	7	4	6
185.18	4.013	Img6220_RatingScreens	Rating	7	4	6
200.846	4.012	Img2035_Image	Image	8	6	3
210.868	4.012	Img2035_RatingScreens	Rating	8	6	3
226.717	4.013	Img2730_Image	Image	9	2	7
236.74	4.013	Img2730_RatingScreens	Rating	9	2	7
254.154	4.012	Img9220_Image	Image	10	5	8
264.176	4.012	Img9220_RatingScreens	Rating	10	5	8
296.474	4.012	Img1750_Image	Image	11	6	1
306.496	4.012	Img1750_RatingScreens	Rating	11	6	1
321.663	4.012	Img4007_Image	Image	12	5	1
331.685	4.012	Img4007_RatingScreens	Rating	12	5	1
347.018	4.012	Img5825_Image	Image	13	7	1
357.04	4.012	Img5825_RatingScreens	Rating	13	7	1
371.974	4.012	Img9075_Image	Image	14	5	4
381.996	4.012	Img9075_RatingScreens	Rating	14	5	4
396.63	4.012	Img1710_Image	Image	15	5	1
406.653	4.012	Img1710_RatingScreens	Rating	15	5	1
423.084	4.013	Img3185_Image	Image	16	5	2
433.107	4.013	Img3185_RatingScreens	Rating	16	5	2
447.524	4.012	Img9183_Image	Image	17	4	3
457.546	4.012	Img9183_RatingScreens	Rating	17	4	3
474.977	4.013	Img3001_Image	Image	18	2	8
485	4.013	Img3001_RatingScreens	Rating	18	2	8
501.581	4.013	Img1460_Image	Image	19	5	1
511.604	4.013	Img1460_RatingScreens	Rating	19	5	1
528.702	4.012	Img4505_Image	Image	20	5	1
538.724	4.012	Img4505_RatingScreens	Rating	20	5	1
570.855	4.012	Img7043_Image	Image	21	6	1
580.877	4.012	Img7043_RatingScreens	Rating	21	6	1
596.727	4.012	Img7054_Image	Image	22	5	2
606.749	4.012	Img7054_RatingScreens	Rating	22	5	2
621.266	4.012	Img9561_Image	Image	23	4	3
631.289	4.012	Img9561_RatingScreens	Rating	23	4	3
646.455	4.012	Img5829_Image	Image	24	8	4
656.477	4.012	Img5829_RatingScreens	Rating	24	8	4
670.362	4.012	Img5725_Image	Image	25	6	1
680.385	4.012	Img5725_RatingScreens	Rating	25	6	1
694.819	4.012	Img5621_Image	Image	26	6	3
704.841	4.012	Img5621_RatingScreens	Rating	26	6	3
720.69	4.012	Img1947_Image	Image	27	7	3
730.712	4.012	Img1947_RatingScreens	Rating	27	7	3
745.246	4.013	Img9043_Image	Image	28	4	2
755.269	4.013	Img9043_RatingScreens	Rating	28	4	2
770.069	4.012	Img3530_Image	Image	29	3	7
780.091	4.012	Img3530_RatingScreens	Rating	29	3	7
796.041	4.012	Img3110_Image	Image	30	2	7
806.063	4.012	Img3110_RatingScreens	Rating	30	2	7
837.928	4.012	Img1630_Image	Image	31	6	2
847.95	4.012	Img1630_RatingScreens	Rating	31	6	2
861.885	4.012	Img8190_Image	Image	32	9	5
871.907	4.012	Img8190_RatingScreens	Rating	32	9	5
887.74	4.012	Img2392_Image	Image	33	5	2
897.762	4.012	Img2392_RatingScreens	Rating	33	5	2
912.712	4.012	Img9560_Image	Image	34	4	6
922.734	4.012	Img9560_RatingScreens	Rating	34	4	6
935.62	4.012	Img4612_Image	Image	35	7	5
945.642	4.012	Img4612_RatingScreens	Rating	35	7	5
960.809	4.012	Img4085_Image	Image	36	4	3
970.831	4.012	Img4085_RatingScreens	Rating	36	4	3
985.532	4.012	Img9940_Image	Image	37	3	8
995.554	4.012	Img9940_RatingScreens	Rating	37	3	8
1010.471	4.012	Img4002_Image	Image	38	4	2
1020.493	4.012	Img4002_RatingScreens	Rating	38	4	2
1036.975	4.013	Img3064_Image	Image	39	2	8
1046.998	4.013	Img3064_RatingScreens	Rating	39	2	8
1062.847	4.012	Img7279_Image	Image	40	7	1
1072.869	4.012	Img7279_RatingScreens	Rating	40	7	1
