onset	duration	stim_type	identity	orientation	reaction_time	response
15.09	5	face	id2	a1	n/a	n/a
20.08	5	face	id2	a1	2.26	same
25.05	5	fixation	n/a	n/a	n/a	n/a
30.08	5	face	id1	a1	2.18	different
35.1	5	face	id3	a2	2.47	different
40.09	5	face	id1	a5	2.46	different
45.09	5	face	id2	a4	2.29	different
50.09	5	face	id2	a5	2.62	same
55.09	5	face	id3	a4	2.32	different
60.09	5	face	id2	a2	2.37	different
65.1	5	face	id4	a5	2.34	different
70.1	5	face	id1	a4	2.27	different
75.1	5	face	id4	a3	2.4	different
80.1	5	face	id1	a2	2.2	different
85.1	5	face	id3	a5	2.19	different
90.1	5	face	id3	a3	2.53	same
95.1	5	face	id2	a3	2.21	different
100.11	5	face	id1	a3	2.16	different
105.11	5	face	id4	a1	2.27	different
110.11	5	face	id3	a1	2.17	different
115.11	5	face	id4	a2	3.36	different
120.11	5	face	id4	a4	2.52	same
125.1	5	face	id4	a4	2.22	same
130.08	5	fixation	n/a	n/a	n/a	n/a
135.12	5	face	id2	a3	2.1	different
140.12	5	face	id3	a2	2.09	different
145.12	5	face	id4	a2	2.03	different
150.11	5	face	id3	a3	2.27	different
155.11	5	face	id2	a1	2.21	different
160.13	5	face	id1	a4	2.18	different
165.13	5	face	id1	a1	2.11	same
170.13	5	face	id1	a2	2.07	same
175.12	5	face	id2	a2	2.19	different
180.12	5	face	id4	a3	2.48	different
185.12	5	face	id4	a1	2.19	same
190.12	5	face	id3	a5	2.31	different
195.12	5	face	id2	a4	2.21	different
200.13	5	face	id3	a1	1.97	different
205.13	5	face	id4	a5	2.16	different
210.13	5	face	id1	a3	2.6	different
215.13	5	face	id3	a4	2.13	different
220.13	5	face	id2	a5	2.19	different
225.14	5	face	id1	a5	2.26	different
230.14	5	face	id1	a5	2.19	same
235.11	5	fixation	n/a	n/a	n/a	n/a
240.14	5	face	id1	a2	2.05	same
245.14	5	face	id3	a2	2.43	different
250.14	5	face	id2	a2	2.24	different
255.14	5	face	id4	a2	2.18	different
260.15	5	face	id4	a1	2.16	same
265.15	5	face	id3	a3	2.32	different
270.15	5	face	id2	a4	3.77	different
275.15	5	face	id2	a1	2.8	same
280.15	5	face	id4	a4	2.12	different
285.14	5	face	id2	a3	2.92	different
290.16	5	face	id1	a1	2.28	different
295.16	5	face	id3	a5	2.18	different
300.16	5	face	id1	a3	1.98	different
305.16	5	face	id3	a1	2.55	different
310.16	5	face	id1	a4	2.07	different
315.15	5	face	id2	a5	2.26	different
320.15	5	face	id4	a5	3.45	different
325.17	5	face	id4	a3	2.4	same
330.17	5	face	id3	a4	2.1	different
