onset	duration	stim_type	identity	orientation	reaction_time	response
15.05	5	fixation	n/a	n/a	n/a	n/a
20.05	5	fixation	n/a	n/a	n/a	n/a
25.1	5	face	id2	a5	n/a	n/a
30.1	5	face	id1	a1	2.15	different
35.1	5	face	id4	a4	2.21	different
40.09	5	face	id1	a2	2.99	different
45.09	5	face	id3	a1	2.83	different
50.09	5	face	id1	a4	2.12	different
55.09	5	face	id1	a3	2.66	same
60.11	5	face	id4	a5	2.16	different
65.1	5	face	id4	a3	2.12	same
70.1	5	face	id2	a2	2.2	different
75.1	5	face	id2	a3	2.55	same
80.1	5	face	id4	a2	2.74	different
85.1	5	face	id2	a1	2.44	different
90.11	5	face	id1	a5	3.01	different
95.11	5	face	id3	a2	2.07	different
100.11	5	face	id4	a1	2.11	different
105.11	5	face	id3	a5	2.8	different
110.11	5	face	id3	a4	2.13	same
115.11	5	face	id2	a4	2.22	different
120.12	5	face	id3	a3	2.12	different
125.12	5	face	id3	a3	2.27	same
130.12	5	face	id3	a1	2.37	same
135.12	5	face	id4	a4	2.17	different
140.12	5	face	id2	a2	2.12	different
145.12	5	face	id1	a3	2.77	different
150.11	5	face	id1	a4	3.34	same
155.13	5	face	id4	a2	3.03	different
160.13	5	face	id3	a5	4.55	different
165.13	5	face	id4	a1	2.58	different
170.13	5	face	id4	a5	2.12	same
175.12	5	face	id3	a4	2.33	different
180.12	5	face	id1	a5	2.09	different
185.1	5	fixation	n/a	n/a	n/a	n/a
190.14	5	face	id4	a3	2.26	different
195.14	5	face	id1	a1	2.21	different
200.13	5	face	id3	a2	2.18	different
205.13	5	face	id2	a4	2.34	different
210.13	5	face	id2	a3	2.13	same
215.13	5	face	id1	a2	2.36	different
220.15	5	face	id2	a1	2.83	different
225.14	5	face	id2	a5	2.54	same
230.14	5	face	id2	a5	2.16	same
235.11	5	fixation	n/a	n/a	n/a	n/a
240.14	5	face	id4	a5	2.14	different
245.14	5	face	id1	a5	3.07	different
250.15	5	face	id4	a4	2.96	different
255.15	5	face	id1	a3	2.65	different
260.15	5	face	id3	a1	1.81	different
265.15	5	face	id3	a4	2.53	same
270.15	5	face	id1	a1	2.22	different
275.15	5	face	id3	a3	2.19	different
280.16	5	face	id4	a2	2.13	different
285.16	5	face	id4	a3	2.23	same
290.16	5	face	id2	a4	2.84	different
295.16	5	face	id3	a2	2.86	different
300.16	5	face	id1	a2	3.72	different
305.16	5	face	id4	a1	2.59	different
310.15	5	face	id1	a4	2.27	different
315.17	5	face	id3	a5	2.49	different
320.17	5	face	id2	a1	2.84	different
325.17	5	face	id2	a3	2.2	same
330.17	5	face	id2	a2	2.15	same
