onset	duration	stim_type	identity	orientation	reaction_time	response
15.08	5	face	id3	a3	n/a	n/a
20.08	5	face	id3	a3	2.09	same
25.08	5	face	id2	a5	2.12	different
30.1	5	face	id4	a1	2.21	different
35.1	5	face	id1	a1	2.4	different
40.1	5	face	id4	a2	2.14	different
45.09	5	face	id4	a3	2.37	different
50.09	5	face	id2	a1	2.35	different
55.09	5	face	id2	a3	2.19	same
60.09	5	face	id2	a2	2.2	same
65.07	5	fixation	n/a	n/a	n/a	n/a
70.1	5	face	id4	a4	2.14	different
75.1	5	face	id3	a1	2.12	different
80.1	5	face	id1	a3	2.3	different
85.1	5	face	id3	a5	2.14	different
90.11	5	face	id3	a4	3.51	different
95.11	5	face	id4	a5	2.6	different
100.11	5	face	id1	a2	2.26	different
105.11	5	face	id2	a4	2.2	different
110.11	5	face	id1	a5	2.21	different
115.11	5	face	id1	a4	2.63	same
120.11	5	face	id3	a2	2.29	different
125.12	5	face	id3	a2	2.15	same
130.12	5	face	id1	a3	2.35	different
135.12	5	face	id2	a5	2.19	different
140.12	5	face	id1	a1	2.18	different
145.12	5	face	id2	a4	2.11	different
150.11	5	face	id3	a4	2.19	different
155.13	5	face	id2	a1	2.05	different
160.13	5	face	id1	a2	3.05	different
165.13	5	face	id3	a3	2.58	different
170.13	5	face	id1	a4	2.36	different
175.12	5	face	id3	a1	2.11	different
180.12	5	face	id2	a3	2.49	different
185.14	5	face	id4	a2	2.22	different
190.14	5	face	id3	a5	2.1	different
195.1	5	fixation	n/a	n/a	n/a	n/a
200.13	5	face	id4	a1	2.04	different
205.13	5	face	id4	a3	2.13	same
210.15	5	face	id4	a4	2.27	same
215.15	5	face	id1	a5	2.17	different
220.15	5	face	id4	a5	2.12	different
225.14	5	face	id2	a2	2.14	different
230.14	5	face	id2	a2	2.91	same
235.14	5	face	id2	a5	2.33	same
240.16	5	face	id3	a2	2.64	different
245.15	5	face	id1	a2	2.19	different
250.15	5	face	id4	a3	2.31	different
255.15	5	face	id1	a3	2.51	different
260.15	5	face	id4	a2	2.26	different
265.15	5	face	id1	a5	2.16	different
270.15	5	face	id2	a1	2.35	different
275.16	5	face	id3	a5	2.39	different
280.16	5	face	id1	a4	2.28	different
285.16	5	face	id4	a4	1.94	different
290.16	5	face	id3	a4	2.24	different
295.16	5	face	id1	a1	2.0	different
300.16	5	face	id4	a1	2.26	different
305.17	5	face	id4	a5	2.21	same
310.17	5	face	id2	a3	2.86	different
315.17	5	face	id3	a1	2.23	different
320.17	5	face	id2	a4	2.27	different
325.17	5	face	id3	a3	2.1	different
330.14	5	fixation	n/a	n/a	n/a	n/a
