onset	duration	trial_type	rewards
17	0	options_solo	  -20
20.452	0	decision_safe_solo	  -20
31.494797	0	outcome_safe_solo	  -20
41.068752	0	options_social	  -10
43.699752	0	decision_safe_social	  -10
49.742029	0	outcome_safe_social	  -10
52.277249	0	happiness_rating	   42
60.583698	0	options_solo	   15
64.083698	0	decision_safe_solo	   15
72.142495	0	outcome_safe_solo	   15
81.716451	0	options_partner	  n/a
84.716451	0	decision_risky_partner	-13.5
88.488238	0	outcome_other_neg_partner	    0
91.02354	0	happiness_rating	   51
100.781026	0	options_solo	    0
103.860026	0	decision_safe_solo	    0
110.905373	0	outcome_safe_solo	    0
118.477878	0	options_social	  -25
121.075878	0	decision_safe_social	  -25
129.11928	0	outcome_safe_social	  -25
131.654553	0	happiness_rating	   36
139.810898	0	options_social	    0
142.619898	0	decision_safe_social	    0
150.669117	0	outcome_safe_social	    0
157.240828	0	options_partner	  -30
160.240828	0	decision_safe_partner	  -30
163.962587	0	outcome_safe_partner	  -30
166.49787	0	happiness_rating	   36
172.886112	0	options_social	  n/a
175.884112	0	decision_risky_social	   10
185.912703	0	outcome_other_neg_social	    0
193.485167	0	options_social	  -15
196.651167	0	decision_safe_social	  -15
203.709628	0	outcome_safe_social	  -15
206.244862	0	happiness_rating	   48
215.218434	0	options_solo	  n/a
220.819434	0	decision_risky_solo	    2
230.88044	0	outcome_self_pos_solo	    0
242.455889	0	options_social	  n/a
246.362889	0	decision_risky_social	    0
257.400391	0	outcome_other_neg_social	    0
259.935866	0	happiness_rating	    1
268.942787	0	options_social	  n/a
271.467787	0	decision_risky_social	   25
278.516839	0	outcome_other_pos_social	    0
285.088477	0	options_solo	  n/a
288.195477	0	decision_risky_solo	   63
295.246254	0	outcome_self_neg_solo	    0
297.781474	0	happiness_rating	   51
308.723271	0	options_social	  -20
311.291271	0	decision_safe_social	  -20
321.332821	0	outcome_safe_social	  -20
326.903702	0	options_partner	  -20
329.903702	0	decision_safe_partner	  -20
333.842338	0	outcome_safe_partner	  -20
336.377588	0	happiness_rating	   46
346.418659	0	options_partner	   30
349.418659	0	decision_safe_partner	   30
353.040389	0	outcome_safe_partner	   30
359.612076	0	options_partner	  n/a
362.612076	0	decision_risky_partner	    8
366.650703	0	outcome_other_pos_partner	    0
369.185985	0	happiness_rating	   36
376.608349	0	options_partner	  n/a
379.608349	0	decision_risky_partner	   16
382.996541	0	outcome_other_pos_partner	    0
389.568327	0	options_partner	  n/a
392.568327	0	decision_risky_partner	   28
395.989788	0	outcome_other_neg_partner	    0
398.525064	0	happiness_rating	   18
406.16426	0	options_social	  n/a
408.84326	0	decision_risky_social	    2
415.888384	0	outcome_other_pos_social	    0
423.460772	0	options_social	    0
427.506772	0	decision_safe_social	    0
434.552671	0	outcome_safe_social	    0
437.087888	0	happiness_rating	   40
443.709633	0	options_partner	  n/a
446.709633	0	decision_risky_partner	   13
450.281243	0	outcome_other_neg_partner	    0
458.854517	0	options_social	  n/a
463.322517	0	decision_risky_social	   10
473.382263	0	outcome_other_pos_social	    0
475.917558	0	happiness_rating	   44
483.556698	0	options_partner	    0
486.556698	0	decision_safe_partner	    0
491.045758	0	outcome_safe_partner	    0
497.617414	0	options_partner	  n/a
500.617414	0	decision_risky_partner	   -9
504.022296	0	outcome_other_neg_partner	    0
506.557622	0	happiness_rating	   51
516.782106	0	options_partner	  n/a
519.782106	0	decision_risky_partner	   28
523.270381	0	outcome_other_pos_partner	    0
531.843607	0	options_partner	  n/a
534.843607	0	decision_risky_partner	  -17
538.081699	0	outcome_other_pos_partner	    0
540.616902	0	happiness_rating	   44
548.222827	0	options_partner	  n/a
551.222827	0	decision_risky_partner	  -21
554.777779	0	outcome_other_pos_partner	    0
563.351025	0	options_partner	  n/a
566.351025	0	decision_risky_partner	 31.5
570.322967	0	outcome_other_pos_partner	    0
572.858242	0	happiness_rating	   40
581.598277	0	options_social	  -10
586.770277	0	decision_safe_social	  -10
594.825043	0	outcome_safe_social	  -10
601.396688	0	options_solo	  -10
607.449688	0	decision_safe_solo	  -10
614.506779	0	outcome_safe_solo	  -10
617.041963	0	happiness_rating	   30
626.215669	0	options_solo	  n/a
630.009669	0	decision_risky_solo	 37.5
644.045987	0	outcome_self_pos_solo	    0
650.617619	0	options_social	  -10
653.729619	0	decision_safe_social	  -10
662.776938	0	outcome_safe_social	  -10
665.312169	0	happiness_rating	   24
669.331919	0	options_social	   20
672.361919	0	decision_safe_social	   20
680.407108	0	outcome_safe_social	   20
690.981817	0	options_solo	  n/a
693.449817	0	decision_risky_solo	 62.5
700.505796	0	outcome_self_pos_solo	    0
703.041009	0	happiness_rating	    1
713.415695	0	options_social	  n/a
716.497695	0	decision_risky_social	  6.5
724.557526	0	outcome_other_neg_social	    0
735.132205	0	options_partner	  n/a
738.132205	0	decision_risky_partner	   18
741.570421	0	outcome_other_pos_partner	    0
744.105687	0	happiness_rating	   14
