onset	duration	trial_type	rewards
15	0	options_solo	  n/a
24.579	0	decision_risky_solo	-31.5
31.599187	0	outcome_self_neg_solo	    0
38.135981	0	options_solo	  n/a
42.587981	0	decision_risky_solo	    3
49.603982	0	outcome_self_neg_solo	    0
52.115055	0	happiness_rating	   26
72.460691	0	options_social	  n/a
78.426691	0	decision_risky_social	  -20
85.442965	0	outcome_other_pos_social	    0
97.979694	0	options_social	  n/a
102.234694	0	decision_risky_social	   63
111.251144	0	outcome_other_neg_social	    0
113.760989	0	happiness_rating	   22
121.683585	0	options_partner	  n/a
124.683585	0	decision_risky_partner	 31.5
130.55216	0	outcome_other_pos_partner	    0
138.095943	0	options_partner	  n/a
141.095943	0	decision_risky_partner	    6
145.519884	0	outcome_other_pos_partner	    0
148.031498	0	happiness_rating	   20
154.542775	0	options_social	  n/a
158.210775	0	decision_risky_social	 -1.5
166.226958	0	outcome_other_neg_social	    0
177.757742	0	options_solo	  n/a
181.578742	0	decision_risky_solo	  3.5
195.594777	0	outcome_self_pos_solo	    0
198.107575	0	happiness_rating	   18
208.114549	0	options_partner	  -10
211.114549	0	decision_safe_partner	  -10
215.430914	0	outcome_safe_partner	  -10
220.960123	0	options_partner	   30
223.960123	0	decision_safe_partner	   30
228.142595	0	outcome_safe_partner	   30
230.661812	0	happiness_rating	   32
243.57158	0	options_social	  n/a
247.63458	0	decision_risky_social	 -2.5
257.651457	0	outcome_other_pos_social	    0
264.192654	0	options_solo	   30
268.170654	0	decision_safe_solo	   30
275.187185	0	outcome_safe_solo	   30
277.696715	0	happiness_rating	   34
284.157667	0	options_solo	  n/a
288.874667	0	decision_risky_solo	   25
299.890962	0	outcome_self_pos_solo	    0
305.424922	0	options_social	  n/a
308.426922	0	decision_risky_social	    0
318.442316	0	outcome_other_neg_social	    0
320.953579	0	happiness_rating	   14
329.625984	0	options_solo	  n/a
332.305984	0	decision_risky_solo	    6
339.322051	0	outcome_self_neg_solo	    0
346.855714	0	options_solo	  n/a
349.362714	0	decision_risky_solo	    0
358.37888	0	outcome_self_neg_solo	    0
360.894624	0	happiness_rating	   49
369.622952	0	options_social	   25
373.729952	0	decision_safe_social	   25
385.746177	0	outcome_safe_social	   25
393.273381	0	options_solo	  n/a
395.314381	0	decision_risky_solo	  8.5
407.330401	0	outcome_self_neg_solo	    0
409.848377	0	happiness_rating	   51
423.592972	0	options_social	  n/a
427.113972	0	decision_risky_social	   27
434.130035	0	outcome_other_neg_social	    0
440.660041	0	options_partner	    0
443.660041	0	decision_safe_partner	    0
447.990209	0	outcome_safe_partner	    0
450.502408	0	happiness_rating	   42
459.107284	0	options_social	   20
462.834284	0	decision_safe_social	   20
470.849535	0	outcome_safe_social	   20
478.389947	0	options_partner	  -30
481.389947	0	decision_safe_partner	  -30
485.334402	0	outcome_safe_partner	  -30
487.846349	0	happiness_rating	   51
493.784365	0	options_social	  n/a
496.577365	0	decision_risky_social	 31.5
507.593992	0	outcome_other_neg_social	    0
514.133344	0	options_social	  n/a
518.105344	0	decision_risky_social	   63
529.121886	0	outcome_other_pos_social	    0
531.631781	0	happiness_rating	   40
538.784377	0	options_solo	  n/a
543.977377	0	decision_risky_solo	  -21
549.994439	0	outcome_self_pos_solo	    0
560.532663	0	options_partner	    0
563.532663	0	decision_safe_partner	    0
567.469997	0	outcome_safe_partner	    0
569.987462	0	happiness_rating	   16
580.448499	0	options_social	   10
583.745499	0	decision_safe_social	   10
590.762068	0	outcome_safe_social	   10
598.296278	0	options_partner	  -10
601.296278	0	decision_safe_partner	  -10
605.70242	0	outcome_safe_partner	  -10
608.216862	0	happiness_rating	   51
615.543856	0	options_partner	  -20
618.543856	0	decision_safe_partner	  -20
622.373847	0	outcome_safe_partner	  -20
630.904202	0	options_partner	    0
633.904202	0	decision_safe_partner	    0
637.76508	0	outcome_safe_partner	    0
640.27704	0	happiness_rating	   26
644.999	0	options_solo	  -15
648.873	0	decision_safe_solo	  -15
656.889438	0	outcome_safe_solo	  -15
664.43159	0	options_social	  n/a
667.20159	0	decision_risky_social	    4
674.217552	0	outcome_other_pos_social	    0
676.735852	0	happiness_rating	   18
684.779004	0	options_social	  -25
688.825004	0	decision_safe_social	  -25
699.842633	0	outcome_safe_social	  -25
710.380972	0	options_solo	  n/a
714.880972	0	decision_risky_solo	 12.5
722.897405	0	outcome_self_pos_solo	    0
725.410176	0	happiness_rating	   22
730.582574	0	options_partner	  n/a
733.582574	0	decision_risky_partner	  1.5
737.717976	0	outcome_other_pos_partner	    0
744.258873	0	options_partner	  n/a
747.258873	0	decision_risky_partner	-12.5
751.005394	0	outcome_other_pos_partner	    0
753.517246	0	happiness_rating	   28
760.786806	0	options_partner	  n/a
763.786806	0	decision_risky_partner	 24.5
767.388956	0	outcome_other_neg_partner	    0
772.931983	0	options_solo	  -10
776.936983	0	decision_safe_solo	  -10
784.952394	0	outcome_safe_solo	  -10
787.470409	0	happiness_rating	   50
798.131579	0	options_partner	  n/a
801.131579	0	decision_risky_partner	    3
804.925759	0	outcome_other_neg_partner	    0
811.460865	0	options_partner	   10
814.460865	0	decision_safe_partner	   10
818.14136	0	outcome_safe_partner	   10
820.651085	0	happiness_rating	   51
830.673623	0	options_social	   20
834.321623	0	decision_safe_social	   20
842.337085	0	outcome_safe_social	   20
853.874909	0	options_solo	  n/a
857.680909	0	decision_risky_solo	  -21
864.697061	0	outcome_self_pos_solo	    0
867.214389	0	happiness_rating	   28
875.307381	0	options_partner	  -25
878.307381	0	decision_safe_partner	  -25
882.021446	0	outcome_safe_partner	  -25
892.553369	0	options_solo	  -25
896.680369	0	decision_safe_solo	  -25
903.697017	0	outcome_safe_solo	  -25
906.211137	0	happiness_rating	   36
914.904146	0	options_social	  n/a
918.089146	0	decision_risky_social	   28
927.104575	0	outcome_other_neg_social	    0
933.637105	0	options_partner	  -25
936.637105	0	decision_safe_partner	  -25
940.35669	0	outcome_safe_partner	  -25
942.872454	0	happiness_rating	   51
948.548461	0	options_partner	  n/a
951.548461	0	decision_risky_partner	   50
955.349424	0	outcome_other_neg_partner	    0
965.892753	0	options_solo	  -20
968.832753	0	decision_safe_solo	  -20
977.84855	0	outcome_safe_solo	  -20
980.367782	0	happiness_rating	   50
988.229062	0	options_solo	  n/a
992.552062	0	decision_risky_solo	    5
1002.568187	0	outcome_self_pos_solo	    0
1009.112177	0	options_solo	  -30
1014.968177	0	decision_safe_solo	  -30
1023.984004	0	outcome_safe_solo	  -30
1026.50303	0	happiness_rating	   34
