onset	duration	trial_type	stim_file	response_logged	response	response_time
20.00916606519604	746.8982184361084	Movie	Iteration.mp4			
801.9820443123463	182.0156039968133	FreeResp				
1011.1649434839492	15.124639283807484	the_man_FreeResp	IterationCh.txt			
990.0229116866248	15.12464656768134	the_woman_FreeResp	IterationCh.txt			
1041.340892205655	11.381977433280554	Question1	Iteration.txt	1.0	B	6.33796707703732
1052.7230249174172	11.366388997412288	Question2	Iteration.txt	1.0	A	6.321794608607888
1064.0896069369046	11.157370926812291	Question3	Iteration.txt	1.0	C	4.101336255669594
1075.2471311556874	11.87539084488526	Question4	Iteration.txt	1.0	C	5.826531429833267
1102.264812374604	10.033045510819647	the_man_Rating	IterationCh.txt	1.0	6	3.2668852925417013
1112.2986071289051	10.023854945437051	the_woman_Rating	IterationCh.txt	1.0	6	3.149603361147456
1122.3234208940994	10.024106569355354	the_man_ID	IterationCh.txt	1.0	1	2.908307232835796
1132.3495745568653	10.022908706858288	the_woman_ID	IterationCh.txt	1.0	5	1.4082658473635092
1187.6911746204132	10.322831564233638	happy_Rating	Iteration.txt	1.0	3	2.749710963515099
1208.0408200292732	10.03136989386985	surprised_Rating	Iteration.txt	1.0	4	4.124718081846368
1198.016091352736	10.02277561102528	angry_Rating	Iteration.txt	1.0	4	3.516250604239758
1177.649650706211	10.03933942085132	tense_Rating	Iteration.txt	1.0	5	2.0331160317873582
1157.5985488581357	10.01570895052282	sad_Rating	Iteration.txt	1.0	5	3.866484680736903
1167.6162982803653	10.031061985588169	frustrated_Rating	Iteration.txt	1.0	6	2.257811599876732
1218.0731768850237	20.123904608073644	Arousal_Rating	Iteration.txt	1.0	4	4.699851012090221
1238.1980936173932	20.07393076363951	Valence_Rating	Iteration.txt	1.0	4	3.8414802111219615
1258.273179864802	10.023791708343197	Engagement_Rating	Iteration.txt	1.0	4	2.874872035929002
