onset	duration	trial_type	stim_file	response_logged	response	response_time
20.002923473191917	447.3400906508905	Movie	Lemonade.mp4			
502.4177338613081	181.8327895827824	FreeResp				
690.2756841854425	15.12454691133462	the_machine_FreeResp	LemonadeCh.txt			
720.4420503380243	12.041466967726592	Question1	Lemonade.txt	1.0	A	3.97708930663066
732.4836765572545	11.407523225585464	Question2	Lemonade.txt	1.0	A	5.356387606880162
743.8914083658601	11.508255914784968	Question3	Lemonade.txt	1.0	C	3.4415378197445534
755.3998619379126	11.416312185872812	Question4	Lemonade.txt	1.0	A	3.3500645614112727
781.9676090425928	10.023960892343894	the_machine_Rating	LemonadeCh.txt	1.0	6	4.41641548415646
791.9936044471106	10.014532939589117	the_machine_ID	LemonadeCh.txt	1.0	1	4.749776849290356
867.3433342824574	10.03134671796579	happy_Rating	Lemonade.txt	1.0	4	2.266344301053323
857.3183553062845	10.023053059529047	surprised_Rating	Lemonade.txt	1.0	5	3.5248409140622243
847.3008535350091	10.015413954504766	angry_Rating	Lemonade.txt	1.0	1	2.466542289359495
827.2518090439262	10.014609751058742	tense_Rating	Lemonade.txt	1.0	2	3.408017203095369
817.2342913805624	10.015486461983528	sad_Rating	Lemonade.txt	1.0	1	2.9578798032016493
837.2684645640547	10.031120587489568	frustrated_Rating	Lemonade.txt	1.0	3	5.924861110164784
877.377048914379	20.122456114797387	Arousal_Rating	Lemonade.txt	1.0	4	12.3245343301096
897.5004496123292	20.0739562571398	Valence_Rating	Lemonade.txt	1.0	4	6.016601884562988
917.5764969970916	10.014585250872187	Engagement_Rating	Lemonade.txt	1.0	4	3.1747697310056537
