onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.342	0.5	1	3	3.0	307	1	Prac	1	1.0	1	40316	14.0	n/a	33974	3	n/a	6.342	0.5	6.0	52.9	58.9	7.1
6.955	0.5	1	2	1.0	284	0	Prac	1	1.0	2	40929	7.0	n/a	33974	3	n/a	6.955	0.5	6.0	52.9	58.9	7.1
7.569	0.5	1	2	2.0	370	1	Prac	1	1.0	3	41543	1.0	n/a	33974	3	n/a	7.569	0.5	6.0	52.9	58.9	7.1
8.199	0.5	1	2	2.0	377	1	Prac	1	1.0	4	42173	11.0	n/a	33974	3	n/a	8.199	0.5	6.0	52.9	58.9	7.1
8.812	0.5	1	3	3.0	306	1	Prac	1	1.0	5	42786	4.0	n/a	33974	3	n/a	8.812	0.5	6.0	52.9	58.9	7.1
9.442	0.5	1	1	1.0	292	1	P	1	1.0	6	43416	n/a	14.0	33974	3	n/a	9.442	0.5	6.0	52.9	58.9	7.1
10.056	0.5	1	2	2.0	292	1	R	1	1.0	7	44030	8.0	n/a	33974	3	n/a	10.056	0.5	6.0	52.9	58.9	7.1
10.669	0.5	1	2	2.0	296	1	P	1	1.0	8	44643	n/a	1.0	33974	3	PatternHigh	10.669	0.5	6.0	52.9	58.9	7.1
11.299	0.5	1	2	2.0	286	1	R	1	1.0	9	45273	11.0	n/a	33974	3	RandomLow	11.299	0.5	6.0	52.9	58.9	7.1
11.913	0.5	1	3	3.0	279	1	P	1	1.0	10	45887	n/a	5.0	33974	3	PatternHigh	11.913	0.5	6.0	52.9	58.9	7.1
12.543	0.5	1	4	4.0	315	1	R	1	1.0	11	46517	15.0	n/a	33974	3	RandomLow	12.543	0.5	6.0	52.9	58.9	7.1
13.156	0.5	1	4	4.0	294	1	P	1	1.0	12	47130	n/a	8.0	33974	3	PatternHigh	13.156	0.5	6.0	52.9	58.9	7.1
13.769	0.5	1	4	4.0	247	1	R	1	1.0	13	47743	1.0	n/a	33974	3	RandomLow	13.769	0.5	6.0	52.9	58.9	7.1
