onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.327	0.5	1	3	3.0	357	1	Prac	1	1.0	1	42835	6.0	n/a	36508	2	n/a	6.327	0.5	6.0	52.9	58.9	7.1
6.941	0.5	1	1	1.0	278	1	Prac	1	1.0	2	43449	0.0	n/a	36508	2	n/a	6.941	0.5	6.0	52.9	58.9	7.1
7.571	0.5	1	2	2.0	309	1	Prac	1	1.0	3	44079	10.0	n/a	36508	2	n/a	7.571	0.5	6.0	52.9	58.9	7.1
8.184	0.5	1	4	3.0	316	0	Prac	1	1.0	4	44692	3.0	n/a	36508	2	n/a	8.184	0.5	6.0	52.9	58.9	7.1
8.814	0.5	1	3	3.0	329	1	Prac	1	1.0	5	45322	13.0	n/a	36508	2	n/a	8.814	0.5	6.0	52.9	58.9	7.1
9.427	0.5	1	1	1.0	242	1	P	1	1.0	6	45935	n/a	6.0	36508	2	n/a	9.427	0.5	6.0	52.9	58.9	7.1
10.041	0.5	1	1	1.0	363	1	R	1	1.0	7	46549	0.0	n/a	36508	2	n/a	10.041	0.5	6.0	52.9	58.9	7.1
10.671	0.5	1	2	2.0	321	1	P	1	1.0	8	47179	n/a	10.0	36508	2	PatternHigh	10.671	0.5	6.0	52.9	58.9	7.1
11.284	0.5	1	1	1.0	318	1	R	1	1.0	9	47792	3.0	n/a	36508	2	RandomLow	11.284	0.5	6.0	52.9	58.9	7.1
11.914	0.5	1	3	3.0	262	1	P	1	1.0	10	48422	n/a	13.0	36508	2	PatternHigh	11.914	0.5	6.0	52.9	58.9	7.1
12.528	0.5	1	1	1.0	397	1	R	1	1.0	11	49036	7.0	n/a	36508	2	RandomLow	12.528	0.5	6.0	52.9	58.9	7.1
13.141	0.5	1	4	4.0	292	1	P	1	1.0	12	49649	n/a	0.0	36508	2	PatternHigh	13.141	0.5	6.0	52.9	58.9	7.1
13.771	0.5	1	3	2.0	265	0	R	1	1.0	13	50279	10.0	n/a	36508	2	RandomLow	13.771	0.5	6.0	52.9	58.9	7.1
14.385	0.5	1	1	1.0	285	1	P	1	1.0	14	50893	n/a	4.0	36508	2	PatternHigh	14.385	0.5	6.0	52.9	58.9	7.1
