onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
6.331	0.5	1	1	1.0	365	1	Prac	1	n/a	1	81108	11.0	n/a	74777	1	n/a	6.331	0.5	6.0	52.9	58.9	7.1
6.944	0.5	1	3	3.0	311	1	Prac	1	n/a	2	81721	4.0	n/a	74777	1	n/a	6.944	0.5	6.0	52.9	58.9	7.1
7.574	0.5	1	3	3.0	310	1	Prac	1	n/a	3	82351	14.0	n/a	74777	1	n/a	7.574	0.5	6.0	52.9	58.9	7.1
8.188	0.5	1	1	1.0	381	1	Prac	1	n/a	4	82965	8.0	n/a	74777	1	n/a	8.188	0.5	6.0	52.9	58.9	7.1
8.801	0.5	1	2	2.0	327	1	Prac	1	n/a	5	83578	1.0	n/a	74777	1	n/a	8.801	0.5	6.0	52.9	58.9	7.1
9.431	0.5	1	1	1.0	322	1	Prac	1	n/a	6	84208	11.0	n/a	74777	1	n/a	9.431	0.5	6.0	52.9	58.9	7.1
10.044	0.5	1	1	1.0	348	1	Prac	1	n/a	7	84821	4.0	n/a	74777	1	n/a	10.044	0.5	6.0	52.9	58.9	7.1
10.674	0.5	1	2	2.0	329	1	Prac	1	n/a	8	85451	14.0	n/a	74777	1	n/a	10.674	0.5	6.0	52.9	58.9	7.1
11.288	0.5	1	1	1.0	297	1	Prac	1	n/a	9	86065	8.0	n/a	74777	1	n/a	11.288	0.5	6.0	52.9	58.9	7.1
11.901	0.5	1	2	2.0	300	1	Prac	1	n/a	10	86678	1.0	n/a	74777	1	n/a	11.901	0.5	6.0	52.9	58.9	7.1
12.531	0.5	1	1	1.0	278	1	Prac	1	n/a	11	87308	11.0	n/a	74777	1	n/a	12.531	0.5	6.0	52.9	58.9	7.1
13.145	0.5	1	1	1.0	320	1	Prac	1	n/a	12	87922	5.0	n/a	74777	1	n/a	13.145	0.5	6.0	52.9	58.9	7.1
13.775	0.5	1	4	1.0	172	0	Prac	1	n/a	13	88552	15.0	n/a	74777	1	n/a	13.775	0.5	6.0	52.9	58.9	7.1
14.388	0.5	1	3	n/a	0	0	Prac	1	n/a	14	89165	8.0	n/a	74777	1	n/a	14.388	0.5	6.0	52.9	58.9	7.1
15.002	0.5	1	4	n/a	0	0	Prac	1	n/a	15	89779	2.0	n/a	74777	1	n/a	15.002	0.5	6.0	52.9	58.9	7.1
15.632	0.5	1	4	4.0	416	1	Prac	1	n/a	16	90409	12.0	n/a	74777	1	n/a	15.632	0.5	6.0	52.9	58.9	7.1
16.245	0.5	1	3	3.0	376	1	Prac	1	n/a	17	91022	5.0	n/a	74777	1	n/a	16.245	0.5	6.0	52.9	58.9	7.1
16.875	0.5	1	2	2.0	320	1	Prac	1	n/a	18	91652	15.0	n/a	74777	1	n/a	16.875	0.5	6.0	52.9	58.9	7.1
17.488	0.5	1	4	4.0	340	1	Prac	1	n/a	19	92265	8.0	n/a	74777	1	n/a	17.488	0.5	6.0	52.9	58.9	7.1
18.102	0.5	1	3	3.0	327	1	Prac	1	n/a	20	92879	2.0	n/a	74777	1	n/a	18.102	0.5	6.0	52.9	58.9	7.1
18.732	0.5	1	3	3.0	298	1	Prac	1	n/a	21	93509	12.0	n/a	74777	1	n/a	18.732	0.5	6.0	52.9	58.9	7.1
19.345	0.5	1	3	3.0	314	1	Prac	1	n/a	22	94122	5.0	n/a	74777	1	n/a	19.345	0.5	6.0	52.9	58.9	7.1
19.975	0.5	1	3	3.0	323	1	Prac	1	n/a	23	94752	15.0	n/a	74777	1	n/a	19.975	0.5	6.0	52.9	58.9	7.1
20.589	0.5	1	1	1.0	331	1	Prac	1	n/a	24	95366	9.0	n/a	74777	1	n/a	20.589	0.5	6.0	52.9	58.9	7.1
21.202	0.5	1	2	2.0	309	1	Prac	1	n/a	25	95979	2.0	n/a	74777	1	n/a	21.202	0.5	6.0	52.9	58.9	7.1
21.832	0.5	1	1	1.0	360	1	Prac	1	n/a	26	96609	12.0	n/a	74777	1	n/a	21.832	0.5	6.0	52.9	58.9	7.1
22.446	0.5	1	4	4.0	437	1	Prac	1	n/a	27	97223	6.0	n/a	74777	1	n/a	22.446	0.5	6.0	52.9	58.9	7.1
23.076	0.5	1	3	3.0	332	1	Prac	1	n/a	28	97853	16.0	n/a	74777	1	n/a	23.076	0.5	6.0	52.9	58.9	7.1
23.689	0.5	1	1	1.0	355	1	Prac	1	n/a	29	98466	9.0	n/a	74777	1	n/a	23.689	0.5	6.0	52.9	58.9	7.1
24.303	0.5	1	3	3.0	367	1	Prac	1	n/a	30	99080	3.0	n/a	74777	1	n/a	24.303	0.5	6.0	52.9	58.9	7.1
24.933	0.5	1	3	3.0	303	1	Prac	1	n/a	31	99710	13.0	n/a	74777	1	n/a	24.933	0.5	6.0	52.9	58.9	7.1
25.546	0.5	1	2	2.0	375	1	Prac	1	n/a	32	100323	6.0	n/a	74777	1	n/a	25.546	0.5	6.0	52.9	58.9	7.1
