bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-24053_ses-1_rec-norm_T1w	0.506106976744186	1.7608611077845264	0.5618	20094.2244	3.8860866666666674	3.9738	4.04114	3.64332	0.2766651657552607	0.37889985095889966	0.3444349832858397	0.5218276381492615	0.2515903413295746	0.0	0.00030606306074647797	6.381914032025754	6.2918341091278345	6.399591923693565	176	256	256	1.8466600620877553	4.730202720278402	5.450738259054479	9.77535199479728	25.445865374121272	46.265209771129584	46.35867484137429	67.36494937887201	1.0	1.0	1.0	2545.5515	0.0	3.0789	0.0	3786273.0	0.0	12.0	9.3459	-0.9186	153.2264	379.9181	363.0	491069.8794862204	90.0	697.0	196.5709	-0.4321	84.9171	665.5687	660.0	672532.4586483319	436.0	936.0	139.5288	-0.4725	67.4211	930.8923	961.0	611358.6626320683	726.0	1044.0	98.3084	0.20975698396257722	0.5381997171058063	0.546116676885489	0.709318244712232
sub-24630_ses-1_rec-norm_T1w	0.6016704797047971	1.6772594640287626	0.603	2711.3945	4.005986666666667	4.05486	4.0692	3.8939	0.26646571701032484	0.3809789934367835	0.3525552895528916	0.6233158707618713	0.3180515170097351	0.0	0.0002211832405106869	7.133025675003041	7.040594354577027	7.144677890825981	176	256	256	1.9733881622626628	5.329854186499938	5.594857159935789	9.48132913104477	44.63022824767301	74.0154775394577	74.19959564278969	103.95308114123836	1.0	1.0	1.0	611.9841	5.9304	10.6297	4.0	2655376.0	0.0	42.0	21.2968	-0.781	146.2848	409.0306	404.0	423883.27061968506	87.0	732.0	204.7238	-0.6736	87.08	675.0584	670.0	606046.5248110022	473.0	909.0	125.7069	-0.545	75.9727	920.1986	941.0	560831.2051796116	725.0	1051.0	99.2476	0.22162436103361108	0.5487145609644293	0.5628171151773438	0.8090123211874442
sub-24663_ses-1_rec-norm_T1w	0.464044262295082	1.9250018765906192	0.4807	23177.6069	3.7519000000000005	3.8479	3.86141	3.54639	0.27886575978607403	0.38086158358503486	0.340272656628891	0.4200529456138611	0.15630055963993073	0.0	0.0002953497693297954	7.870877035117596	7.791232753901041	7.890344219709544	176	256	256	1.8073978134535071	5.263886597441841	5.699177823533744	10.026249059705883	32.73692463143946	59.77653917508697	59.957406162000986	87.35875467947656	1.0	1.0	1.0	4679.9563	0.0	2.6172	0.0	4677485.0	0.0	11.0	7.2444	-0.8609	157.9699	376.1471	362.0	403155.67130874406	71.0	698.0	200.2877	-0.3995	79.8681	667.3061	661.0	550610.8298262433	461.0	907.0	125.5725	-0.3605	61.6654	935.391	966.0	491931.4992864927	731.0	1045.0	96.347	0.20682074801451153	0.5302744884019456	0.5463343166089099	0.8833465225792041
sub-24683_ses-1_rec-norm_T1w	0.4520467948717949	2.2515184294562185	0.5236	16294.6118	3.8045066666666667	3.92963	3.90656	3.57733	0.2770862288459796	0.38469454611320747	0.33821922504081287	0.41338060796260834	0.14974834173917762	0.0	0.00022430788712802315	7.268157005786165	7.2182662050439195	7.324559983609267	176	256	256	1.9313438094752924	5.6686299185622016	6.972342881684692	13.317054917016582	33.88873826278752	57.1979973217099	58.37349501102825	84.03374944858733	1.0	1.0	1.0	4088.5908	0.0	3.1703	0.0	3495350.0	0.0	13.0	7.6168	-0.8293	151.084	402.0562	394.0	432867.986148446	87.0	723.0	204.0028	-0.5619	85.2426	670.452	665.0	600975.2059922004	478.0	875.0	117.3122	-0.3484	55.796	959.1211	977.0	528370.8087184823	810.0	1049.0	73.3645	0.2101161174030769	0.528709664233527	0.53974260987789	0.8833489078425367
sub-24684_ses-1_rec-norm_T1w	0.45860616883116884	2.316574948429452	0.5787	22013.9441	3.7664433333333336	3.86773	3.90802	3.52358	0.26506449313962654	0.3900413804822582	0.3448941263781152	0.44383952021598816	0.18426359891891475	0.0	0.000661574326436378	6.146017793431239	6.1036622769887225	6.217527625585031	176	256	256	2.124536933176628	5.952011396260809	7.462964037325061	14.312343782537747	14.515330535730694	22.37501412074616	23.188853697634286	32.67621643642601	1.0	1.0	1.0	1193.4319	0.0	3.3019	0.0	3549247.0	0.0	11.0	19.5882	-0.7538	145.2409	434.8535	434.0	487525.1705766135	109.0	752.0	204.2796	-0.6609	85.5259	674.2906	669.0	717391.4102911697	491.0	865.0	112.3989	-0.3357	55.7248	962.9392	977.0	634353.4201874037	826.0	1049.0	68.2627	0.23414808557652303	0.5349217091264405	0.5364187262296419	0.7151129323243315
sub-24696_ses-1_rec-norm_T1w	0.5265270370370371	1.8376614008085508	0.5065	16189.4481	3.85845	3.96077	3.91387	3.70071	0.2734780813144486	0.37932894551220686	0.3471929731733446	0.417873278260231	0.1521532878279686	0.0	0.0001542362704920383	7.135605827594334	7.05707798125925	7.1475271020129645	176	256	256	1.7504110328075515	5.629497832085096	6.4886027360111775	12.085899343140884	45.890683640944395	86.77965789323001	84.40384593361709	120.54119626667683	1.0	1.0	1.0	11.2593	0.0	3.4246	0.0	3987760.0	0.0	14.0	5.2393	-0.9667	171.7484	384.9248	367.0	435982.5861631235	75.0	728.0	209.6648	-0.5227	82.6169	699.9179	694.0	604731.5158715975	498.0	936.0	123.2791	-0.4022	59.5454	945.2801	964.0	553499.8988373458	783.0	1044.0	79.7623	0.2011829059751579	0.5333220466338658	0.5514971114041826	0.8464334960396166
sub-24697_ses-1_rec-norm_T1w	0.5118102389078498	1.7631074146319403	0.5309	15933.4931	3.9245533333333333	4.00247	4.11948	3.65171	0.2783718210347313	0.3781732462709122	0.3434549326943564	0.4853973090648651	0.1984742790460587	0.0	0.00035041026965788614	7.014235509080582	6.919299978054607	7.009529820946151	176	256	256	1.6442241129229143	5.067907414443669	5.339841908488844	9.30739419809995	41.85146535626535	85.24821558722358	83.35953407371007	122.97892127764126	1.0	1.0	1.0	13.1145	0.0	3.0149	0.0	3433979.0	0.0	13.0	5.0875	-0.9778	171.1982	350.5364	325.0	451482.0705109093	75.0	683.0	197.6614	-0.4284	81.2017	669.5169	662.0	613346.7087421939	459.0	927.0	130.6258	-0.4912	68.7587	923.1654	955.0	557038.2216261982	708.0	1041.0	102.6065	0.203612839845457	0.5386313573468199	0.5560389564503095	0.8350602204261516
sub-24699_ses-1_rec-norm_T1w	0.5161396491228071	1.739905724315385	0.5743	24259.4287	3.707333333333333	3.83733	3.77688	3.50779	0.2726411681764224	0.38051590468503566	0.346842927138542	0.48472854495048523	0.20890265703201294	0.0	0.000898515103602558	6.145556845791962	6.055160857336609	6.159930217737099	176	256	256	1.8901887593576723	5.163838982432823	5.70060502638393	10.047787337361298	9.252092814687288	16.048088825475627	16.04808882547563	22.84408483626397	1.0	1.0	1.0	773.7852	0.0	4.357	0.0	3531272.0	0.0	14.0	27.4741	-0.8176	158.0089	403.6389	388.0	502187.5829019288	96.0	726.0	205.2703	-0.4101	81.0915	681.3246	673.0	700885.9436292717	471.0	937.0	130.3293	-0.4165	66.0083	930.7334	958.0	638862.4740399607	732.0	1042.0	95.3443	0.217507059338174	0.5321763247803024	0.5482281373793676	0.7652862309954322
sub-24702_ses-1_rec-norm_T1w	0.4665812080536913	2.250020950801947	0.5172	26478.2252	4.017763333333334	4.0593	4.13358	3.86041	0.2722246628230808	0.3884938254715721	0.3392815117053471	0.4070720970630646	0.1510289371013641	0.0	4.325463678966756e-05	7.311582399441001	7.260221394597489	7.350711450555259	176	256	256	1.6616841626336918	6.151466056636036	7.0610486810899395	13.36999582400009	57.42156795122183	105.9490343447816	105.27287457724003	152.44802143571667	1.0	1.0	1.0	8.2477	0.0	2.8138	0.0	4206171.0	0.0	11.0	4.1986	-1.1053	178.663	376.2854	368.0	423659.1596348019	47.0	730.0	221.4618	-0.6123	84.8331	683.3311	679.0	604607.1135353458	504.0	875.0	110.3801	-0.2874	54.2081	959.621	977.0	528018.7277599062	809.0	1048.0	73.074	0.18705024733642184	0.528111836971175	0.5320600402043608	0.8824356234681697
sub-60295_ses-1_rec-norm_T1w	0.5208564459930314	1.7502466395752196	0.535	19028.9092	3.842636666666667	3.91738	3.9524	3.65813	0.2776773442430899	0.37848543956193176	0.34383721619497837	0.46701592206954956	0.18324938416481018	0.0	0.00031273056796717925	7.288404018617601	7.192749137590936	7.284649316292149	176	256	256	1.7860547894665726	5.261986042654269	5.442231295963677	9.27865305577019	22.057406706825766	42.041040133522614	41.391676783179214	60.07658350918926	1.0	1.0	1.0	4299.086	0.0	3.1905	0.0	3379747.0	0.0	13.0	10.4252	-0.9117	160.4958	367.5978	351.0	433496.2638083866	77.0	694.0	196.5223	-0.4682	79.9124	674.8678	669.0	590872.9226837357	467.0	921.0	127.1382	-0.5384	69.5734	923.4307	956.0	536781.814105487	709.0	1042.0	103.0321	0.20117743430418097	0.5462509843009014	0.560177528101893	0.8414174265026048
