bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	efc_shell04	efc_shell05	efc_shell06	efc_shell07	efc_shell08	efc_shell09	efc_shell10	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fber_shell04	fber_shell05	fber_shell06	fber_shell07	fber_shell08	fber_shell09	fber_shell10	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	snr_cc_shell3_best	snr_cc_shell3_worst	snr_cc_shell4_best	snr_cc_shell4_worst	snr_cc_shell5_best	snr_cc_shell5_worst	snr_cc_shell6_best	snr_cc_shell6_worst	snr_cc_shell7_best	snr_cc_shell7_worst	snr_cc_shell8_best	snr_cc_shell8_worst	snr_cc_shell9_best	snr_cc_shell9_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-24053_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[1034.0, 1596.0, 1796.0, 2087.0, 2682.0, 3481.0, 3790.0, 4313.0, 4936.0]	0.1893	0.0645	0.0351	0.0007	0.4461	0.4652	0.4687	0.4731	0.4775	0.4836	0.4857	0.4849	0.4891	0.4935	0.0	0.0	23598.293	4464.5327	2343.342	1861.9796	1395.6853	847.5358	535.3965	460.809	381.4924	308.1175	9.0586	102	98.07692307692308	0.9622	1074.8866	271.0031	11.5553	5.35	5.37	5.37	2.92	1.55	1.33	1.31	2.18	0.84	1.55	0.83	1.39	0.82	1.1	0.71	1.47	1.47	1.03	0.98	72.53	453.67	452.83	419.53	121.4521	31.1346	281.1766	41.0	1199316.0	13.0	1402.0	788.569	18.9256	2321.7551	7041.9921	6499.0	354348.0	2817.0	12963.0	3427.2093	18.292	1329.8942	5714.7429	5499.0	90592.0	3714.0	8415.0	1810.9411
sub-24053_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[1034.0, 1596.0, 1796.0, 2087.0, 2682.0, 3481.0, 3790.0, 4313.0, 4936.0]	0.7873	0.2981	0.2766	0.0104											0.0	0.0	4.7301	13.3355	8.1083	14.6659	21.0531	9.8969	6.8574	10.4171	7.5104	4.2311	161.0224	103	99.03846153846153	0.0721	0.0	88.6783	182.5737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.903	3184.6296	28041.7204	2364.0	1384428.0	134.0	65367.0	31280.4878	-0.531	1632.345	16634.3126	1531.0	169236.0	124.0	65401.0	27281.0082	-0.5194	1627.8972	16588.2412	1529.0	168842.0	124.0	65401.0	27254.5101
sub-24630_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2238.0, 2723.0, 3549.0, 4313.0, 4793.0, 4994.0]	0.1696	0.0411	0.0293	0.0015	0.4394	0.4536	0.4649	0.4697	0.4746	0.482	0.488	0.4968	0.4971	0.4969	0.0	0.0	16828.3047	3534.7639	1627.9326	1240.4454	979.9858	666.3112	415.3708	291.0412	259.8167	251.5137	5.1751	102	98.07692307692308	0.7928	941.4524	260.9527	10.895	5.1	5.11	5.11	2.83	1.55	1.69	0.9	1.64	0.91	1.98	1.88	1.47	0.88	1.22	0.79	1.19	1.19	1.2	1.13	65.45	384.65	409.06	341.55	69.3359	31.1346	283.745	40.0	1235423.0	14.0	1328.0	776.491	27.3448	1795.4313	5844.0419	5461.0	318241.0	2462.0	10058.0	2755.8536	83.3414	1098.6082	4903.997	4622.0	96962.0	2143.0	7786.0	2413.5189
sub-24630_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2238.0, 2723.0, 3549.0, 4313.0, 4793.0, 4994.0]	0.7378	0.3093	0.288	0.0625											0.0	0.0	1.9254	20.0677	8.6842	14.2937	4.3144	7.1124	4.3075	3.6585	2.4242	3.2689	162.4891	103	99.03846153846153	0.0924	0.0	81.9077	371.2415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1367.33	13825.48	12265.0	11277.91	-1.6799	2091.9517	24262.6194	1732.0	1406431.0	123.0	65376.0	30610.6931	6.8955	901.4221	6462.4402	971.0	147233.0	95.0	65402.0	17892.5041	6.9345	898.4569	6443.165	968.0	146634.0	95.0	65403.0	17867.3578
sub-24663_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2238.0, 2723.0, 3549.0, 4313.0, 4793.0, 4994.0]	0.3227	0.0935	0.0841	0.0007	0.4131	0.4376	0.4496	0.4545	0.4588	0.4675	0.4715	0.4801	0.4842	0.483	0.0	0.0	19297.2891	3815.1248	1755.6903	1352.8689	1091.2059	721.7264	458.5384	319.8379	277.1936	271.9526	12.3746	103	99.03846153846153	0.5965	1060.8019	261.2297	11.5553	4.83	4.83	4.83	2.76	1.43	1.47	0.95	1.56	0.88	1.76	1.54	1.41	0.86	1.07	0.78	0.93	0.9	0.87	0.88	74.79	474.71	473.87	449.16	334.4144	31.1346	275.048	41.0	1261906.0	15.0	1339.0	865.232	21.0726	1942.2089	6501.8147	5982.0	291758.0	2310.0	12062.0	3247.62	14.2638	1134.1907	5218.7939	5153.0	78856.0	2861.0	7497.0	1768.5868
sub-24663_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2238.0, 2723.0, 3549.0, 4313.0, 4793.0, 4994.0]	0.8652	0.3613	0.334	0.0343											0.0	0.0	34.3798	12.3635	9.6422	9.4632	7.3639	6.0747	4.9915	4.88	3.6331	3.4086	143.3211	103	99.03846153846153	0.0133	0.0	58.3989	297.7965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	824.84	6775.55	7916.87	6597.58	-1.8475	2025.2346	26743.6392	1555.0	1398747.0	97.0	65414.0	31396.7353	-0.9398	1297.2769	18322.7788	1124.0	154917.0	70.0	65465.0	28604.9199	-0.9336	1294.3117	18289.2051	1123.0	154561.0	70.0	65464.0	28588.4495
sub-24683_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2193.0, 2539.0, 2793.0, 3549.0, 4313.0, 4936.0]	0.2019	0.0487	0.0267	0.0024	0.4253	0.446	0.4603	0.466	0.4705	0.4773	0.4823	0.4864	0.4931	0.495	0.0	0.0	17518.7598	3390.3938	1544.7767	1183.6099	980.774	716.8301	589.1113	393.3737	284.6875	246.8298	6.0442	102	98.07692307692308	0.8544	972.5871	257.2934	11.2251	4.75	4.76	4.76	2.6	1.46	1.53	0.84	1.48	0.83	1.69	1.79	1.3	0.81	1.07	0.82	1.15	0.73	0.98	1.05	59.47	265.13	257.55	287.48	95.6332	32.6172	246.4435	43.0	1241981.0	14.0	1230.0	666.0292	27.3938	1995.5826	6290.5109	5877.0	311683.0	2605.0	11008.0	2938.5017	61.9937	1316.5508	5385.4054	5048.0	101861.0	2650.0	9084.0	2615.5468
sub-24683_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2193.0, 2539.0, 2793.0, 3549.0, 4313.0, 4936.0]	0.7497	0.3347	0.3162	0.0215											0.0	0.0	13.3955	8.2174	6.4057	6.6914	4.7633	6.3107	5.5229	2.7765	4.3377	2.546	131.335	103	99.03846153846153	0.1555	0.0	57.8119	467.4943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3339.3	19184.48	16840.39	16571.15	-1.7447	1986.687	25084.397	1600.0	1438842.0	107.0	65398.0	30941.749	-0.3154	744.2663	15353.106	654.0	114822.0	50.0	65479.0	27148.6275	-0.3097	742.7837	15332.2295	654.0	114621.0	50.0	65479.0	27135.668
sub-24684_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2238.0, 2723.0, 3549.0, 4313.0, 4793.0, 4994.0]	0.2254	0.0383	0.0178	0.0013	0.4734	0.486	0.4988	0.5047	0.5092	0.5179	0.5239	0.53	0.531	0.5295	0.0	0.0	12520.6055	2503.5613	1155.783	886.2614	706.4474	467.0559	295.9042	210.9276	189.9837	183.9391	5.4949	102	98.07692307692308	0.6936	748.7141	274.2083	12.2156	7.35	7.35	7.35	3.66	2.1	2.22	1.13	2.16	1.07	2.61	2.38	1.87	1.1	1.5	1.0	1.49	1.35	1.43	1.28	77.57	408.22	427.57	365.98	152.2327	53.3737	339.2086	56.0	1186662.0	15.0	1525.0	870.7577	23.183	2023.752	6819.8927	6440.0	367002.0	2914.0	11690.0	3001.8321	23.0048	1183.1166	5740.1523	5490.0	98002.0	3658.0	8381.0	1908.0343
sub-24684_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2238.0, 2723.0, 3549.0, 4313.0, 4793.0, 4994.0]	0.9033	0.3178	0.2836	0.0421											0.0	0.0	25.9823	4.8789	3.7604	4.9221	3.1761	3.4985	3.1053	2.3837	2.7701	2.3841	132.0692	103	99.03846153846153	0.1681	0.0	37.4853	229.675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.7455	1992.6174	25078.9114	1591.0	1504892.0	106.0	65399.0	30934.734	0.7225	1196.46	12777.5459	1316.0	48772.0	121.0	65399.0	24656.4061	0.759	1187.5644	12697.1392	1314.0	48414.0	123.0	65398.0	24589.2274
