onset	duration	partner (1=human,2=computer)	trial type	event type
5.077396	0	2	7	1
18.110162	0	2	7	2
18.960322	0	2	7	3
20.343595	0	2	7	4
21.548102	0	2	7	5
22.560212	0	2	7	6
23.076840	0	2	3	1
27.343106	0	2	3	2
28.113292	0	2	3	3
29.343295	0	2	3	4
30.543020	0	2	3	5
31.559812	0	2	3	6
32.076417	0	2	6	1
41.592507	0	2	6	2
42.142643	0	2	6	3
43.542735	0	2	6	4
44.575809	0	2	6	5
45.592553	0	2	6	6
46.109156	0	2	12	1
64.625084	0	2	12	2
65.205298	0	2	12	3
66.008489	0	2	12	4
67.641505	0	2	12	5
68.658246	0	2	12	6
69.174862	0	2	4	1
72.191208	0	2	4	2
72.791372	0	2	4	3
73.858123	0	2	4	4
75.224499	0	2	4	5
76.241014	0	2	4	6
76.757845	0	2	10	1
80.274400	0	2	10	2
81.374634	0	2	10	3
82.857775	0	2	10	4
83.807521	0	2	10	5
84.824261	0	2	10	6
85.340850	0	2	8	1
90.607323	0	2	8	2
91.257562	0	2	8	3
92.224051	0	2	8	4
93.690419	0	2	8	5
94.707166	0	2	8	6
95.223749	0	2	16	1
102.240113	0	2	16	2
102.740323	0	2	16	3
104.423493	0	2	16	4
105.173258	0	2	16	5
106.189992	0	2	16	6
106.706617	0	2	15	1
125.222504	0	2	15	2
125.772674	0	2	15	3
126.889135	0	2	15	4
128.205537	0	2	15	5
129.222131	0	2	15	6
129.738898	0	2	2	1
134.005482	0	2	2	2
134.775685	0	2	2	3
135.955538	0	2	2	4
137.205261	0	2	2	5
138.221773	0	2	2	6
138.738468	0	2	5	1
145.754971	0	2	5	2
146.335205	0	2	5	3
147.154900	0	2	5	4
148.771333	0	2	5	5
149.788164	0	2	5	6
150.304778	0	2	11	1
163.320920	0	2	11	2
164.171184	0	2	11	3
165.304263	0	2	11	4
166.603979	0	2	11	5
167.620535	0	2	11	6
168.137297	0	2	9	1
173.403832	0	2	9	2
173.904037	0	2	9	3
174.903734	0	2	9	4
176.336839	0	2	9	5
177.353637	0	2	9	6
177.870284	0	2	13	1
180.886843	0	2	13	2
181.987097	0	2	13	3
183.120199	0	2	13	4
184.419916	0	2	13	5
185.436668	0	2	13	6
185.953242	0	2	1	1
195.469557	0	2	1	2
196.069804	0	2	1	3
197.886179	0	2	1	4
198.502621	0	2	1	5
199.519394	0	2	1	6
200.036017	0	2	14	1
203.552556	0	2	14	2
204.202790	0	2	14	3
205.752462	0	2	14	4
206.635559	0	2	14	5
207.652374	0	2	14	6
214.218761	0	1	3	1
217.235316	0	1	3	2
218.085674	0	1	3	3
219.718585	0	1	3	4
220.518346	0	1	3	5
221.535134	0	1	3	6
222.051769	0	1	5	1
229.068117	0	1	5	2
229.718395	0	1	5	3
230.634871	0	1	5	4
232.151235	0	1	5	5
233.167764	0	1	5	6
233.684565	0	1	7	1
243.200873	0	1	7	2
243.801124	0	1	7	3
245.034083	0	1	7	4
246.233872	0	1	7	5
247.250683	0	1	7	6
247.767353	0	1	10	1
253.033754	0	1	10	2
253.803968	0	1	10	3
254.650549	0	1	10	4
256.233570	0	1	10	5
257.250306	0	1	10	6
257.766693	0	1	6	1
276.282812	0	1	6	2
276.833061	0	1	6	3
278.216014	0	1	6	4
279.265805	0	1	6	5
280.282648	0	1	6	6
280.799270	0	1	1	1
284.315694	0	1	1	2
285.415880	0	1	1	3
286.149156	0	1	1	4
287.848837	0	1	1	5
288.865648	0	1	1	6
289.382217	0	1	2	1
302.398385	0	1	2	2
302.898613	0	1	2	3
303.965092	0	1	2	4
305.331469	0	1	2	5
306.348199	0	1	2	6
306.864860	0	1	13	1
311.131349	0	1	13	2
311.711630	0	1	13	3
312.948048	0	1	13	4
314.147773	0	1	13	5
315.164534	0	1	13	6
315.681136	0	1	4	1
318.697468	0	1	4	2
319.297637	0	1	4	3
320.497691	0	1	4	4
321.730748	0	1	4	5
322.747295	0	1	4	6
323.264154	0	1	11	1
326.780682	0	1	11	2
327.880961	0	1	11	3
329.014030	0	1	11	4
330.313748	0	1	11	5
331.330511	0	1	11	6
331.847123	0	1	14	1
336.113621	0	1	14	2
336.883849	0	1	14	3
338.313597	0	1	14	4
339.313336	0	1	14	5
340.330065	0	1	14	6
340.846727	0	1	12	1
346.113172	0	1	12	2
346.693425	0	1	12	3
347.629927	0	1	12	4
349.129623	0	1	12	5
350.146334	0	1	12	6
350.662991	0	1	8	1
363.678950	0	1	8	2
364.329146	0	1	8	3
365.695810	0	1	8	4
366.762214	0	1	8	5
367.778938	0	1	8	6
368.295579	0	1	16	1
375.311921	0	1	16	2
376.162182	0	1	16	3
377.661933	0	1	16	4
378.595018	0	1	16	5
379.611778	0	1	16	6
380.128376	0	1	15	1
389.644472	0	1	15	2
390.144627	0	1	15	3
391.211406	0	1	15	4
392.577783	0	1	15	5
393.594421	0	1	15	6
394.111132	0	1	9	1
412.626832	0	1	9	2
413.177034	0	1	9	3
414.243635	0	1	9	4
415.610047	0	1	9	5
416.626891	0	1	9	6
