onset	duration	partner (1=human,2=computer)	trial type	event type
5.077788	0	1	7	1
10.360862	0	1	7	2
11.131057	0	1	7	3
11.860980	0	1	7	4
13.715388	0	1	7	5
14.727609	0	1	7	6
15.243990	0	1	4	1
24.760496	0	1	4	2
25.360721	0	1	4	3
26.610602	0	1	4	4
27.793745	0	1	4	5
28.810329	0	1	4	6
29.326928	0	1	6	1
33.593438	0	1	6	2
34.093637	0	1	6	3
35.926904	0	1	6	4
36.526728	0	1	6	5
37.543276	0	1	6	6
38.059879	0	1	8	1
56.575823	0	1	8	2
57.126030	0	1	8	3
59.075937	0	1	8	4
59.559100	0	1	8	5
60.575417	0	1	8	6
61.092262	0	1	1	1
64.608800	0	1	1	2
65.709042	0	1	1	3
66.442261	0	1	1	4
68.142048	0	1	1	5
69.158607	0	1	1	6
69.675240	0	1	10	1
82.691354	0	1	10	2
83.341581	0	1	10	3
84.758164	0	1	10	4
85.774642	0	1	10	5
86.791213	0	1	10	6
87.307749	0	1	3	1
94.323996	0	1	3	2
95.174147	0	1	3	3
96.424290	0	1	3	4
97.607434	0	1	3	5
98.624034	0	1	3	6
99.140665	0	1	9	1
102.157251	0	1	9	2
102.737492	0	1	9	3
103.390472	0	1	9	4
105.173591	0	1	9	5
106.190384	0	1	9	6
106.706999	0	1	11	1
110.973278	0	1	11	2
112.073464	0	1	11	3
113.190250	0	1	11	4
114.506721	0	1	11	5
115.523349	0	1	11	6
116.039961	0	1	16	1
119.556490	0	1	16	2
120.326724	0	1	16	3
121.956597	0	1	16	4
122.756411	0	1	16	5
123.772981	0	1	16	6
124.289612	0	1	2	1
133.805898	0	1	2	2
134.656142	0	1	2	3
135.905790	0	1	2	4
137.088933	0	1	2	5
138.105710	0	1	2	6
138.622330	0	1	12	1
157.138244	0	1	12	2
157.718522	0	1	12	3
158.721698	0	1	12	4
160.154837	0	1	12	5
161.171379	0	1	12	6
161.688029	0	1	14	1
166.954277	0	1	14	2
167.554467	0	1	14	3
168.404633	0	1	14	4
169.987766	0	1	14	5
171.004119	0	1	14	6
171.520951	0	1	5	1
174.537507	0	1	5	2
175.037718	0	1	5	3
176.270752	0	1	5	4
177.470560	0	1	5	5
178.487364	0	1	5	6
179.003964	0	1	15	1
186.020336	0	1	15	2
186.570575	0	1	15	3
187.520491	0	1	15	4
189.003623	0	1	15	5
190.020097	0	1	15	6
190.536787	0	1	13	1
203.552755	0	1	13	2
204.202932	0	1	13	3
205.269660	0	1	13	4
206.636130	0	1	13	5
207.652789	0	1	13	6
214.219188	0	2	1	1
217.235699	0	2	1	2
218.086058	0	2	1	3
219.019423	0	2	1	4
220.518758	0	2	1	5
221.535557	0	2	1	6
222.052158	0	2	11	1
227.318618	0	2	11	2
228.418889	0	2	11	3
229.602029	0	2	11	4
230.851838	0	2	11	5
231.868447	0	2	11	6
232.385051	0	2	2	1
250.900957	0	2	2	2
251.671205	0	2	2	3
252.701071	0	2	2	4
254.100876	0	2	2	5
255.117472	0	2	2	6
255.634079	0	2	10	1
259.150638	0	2	10	2
259.650883	0	2	10	3
260.567405	0	2	10	4
262.083877	0	2	10	5
263.100235	0	2	10	6
263.617009	0	2	16	1
267.883575	0	2	16	2
268.483837	0	2	16	3
269.983477	0	2	16	4
270.916623	0	2	16	5
271.933372	0	2	16	6
272.450033	0	2	6	1
279.466421	0	2	6	2
280.046663	0	2	6	3
280.699886	0	2	6	4
282.483016	0	2	6	5
283.499359	0	2	6	6
284.016162	0	2	3	1
297.032360	0	2	3	2
297.582614	0	2	3	3
298.448967	0	2	3	4
300.015435	0	2	3	5
301.032176	0	2	3	6
301.548810	0	2	15	1
311.065118	0	2	15	2
311.715360	0	2	15	3
312.681687	0	2	15	4
314.148153	0	2	15	5
315.164918	0	2	15	6
315.681528	0	2	7	1
322.697947	0	2	7	2
323.298198	0	2	7	3
324.414715	0	2	7	4
325.731190	0	2	7	5
326.747781	0	2	7	6
327.264394	0	2	8	1
336.780670	0	2	8	2
337.280892	0	2	8	3
338.880755	0	2	8	4
339.713903	0	2	8	5
340.730509	0	2	8	6
341.246915	0	2	13	1
354.263272	0	2	13	2
354.813522	0	2	13	3
355.996723	0	2	13	4
357.246532	0	2	13	5
358.263126	0	2	13	6
358.779704	0	2	5	1
363.046241	0	2	5	2
364.146521	0	2	5	3
365.013004	0	2	5	4
366.579472	0	2	5	5
367.596037	0	2	5	6
368.112664	0	2	14	1
371.129027	0	2	14	2
371.979218	0	2	14	3
373.645995	0	2	14	4
374.412471	0	2	14	5
375.429045	0	2	14	6
375.945658	0	2	12	1
379.462186	0	2	12	2
380.042416	0	2	12	3
380.795689	0	2	12	4
382.478826	0	2	12	5
383.495340	0	2	12	6
384.011998	0	2	4	1
402.527913	0	2	4	2
403.298177	0	2	4	3
404.211354	0	2	4	4
405.727823	0	2	4	5
406.744389	0	2	4	6
407.261018	0	2	9	1
412.527259	0	2	9	2
413.177413	0	2	9	3
414.344214	0	2	9	4
415.610686	0	2	9	5
416.627303	0	2	9	6
