onset	duration	partner (1=human,2=computer)	trial type	event type
5.078010	0	1	8	1
12.127942	0	1	8	2
12.728175	0	1	8	3
13.811174	0	1	8	4
15.299033	0	1	8	5
16.311020	0	1	8	6
16.827681	0	1	6	1
22.094187	0	1	6	2
22.644446	0	1	6	3
23.860933	0	1	6	4
25.077352	0	1	6	5
26.094010	0	1	6	6
26.610635	0	1	9	1
39.626730	0	1	9	2
40.396947	0	1	9	3
41.243521	0	1	9	4
42.826584	0	1	9	5
43.843218	0	1	9	6
44.359666	0	1	12	1
48.626372	0	1	12	2
49.206588	0	1	12	3
50.060278	0	1	12	4
51.642880	0	1	12	5
52.659545	0	1	12	6
53.176184	0	1	10	1
71.692018	0	1	10	2
72.192199	0	1	10	3
73.292152	0	1	10	4
74.625232	0	1	10	5
75.641915	0	1	10	6
76.158364	0	1	14	1
79.175101	0	1	14	2
79.825348	0	1	14	3
81.675138	0	1	14	4
82.258264	0	1	14	5
83.274705	0	1	14	6
83.791548	0	1	7	1
87.308087	0	1	7	2
88.408333	0	1	7	3
89.524816	0	1	7	4
90.841232	0	1	7	5
91.857899	0	1	7	6
92.374534	0	1	11	1
101.890845	0	1	11	2
102.741087	0	1	11	3
103.924202	0	1	11	4
105.173955	0	1	11	5
106.190401	0	1	11	6
106.707131	0	1	16	1
113.723512	0	1	16	2
114.373693	0	1	16	3
115.273724	0	1	16	4
116.806792	0	1	16	5
117.823468	0	1	16	6
118.339874	0	1	2	1
121.856596	0	1	2	2
122.356780	0	1	2	3
123.606704	0	1	2	4
124.789788	0	1	2	5
125.806461	0	1	2	6
126.323032	0	1	3	1
129.339648	0	1	3	2
130.189899	0	1	3	3
131.089733	0	1	3	4
132.622802	0	1	3	5
133.639246	0	1	3	6
134.155993	0	1	13	1
138.422599	0	1	13	2
139.192811	0	1	13	3
140.089339	0	1	13	4
141.622405	0	1	13	5
142.638880	0	1	13	6
143.155713	0	1	5	1
152.671995	0	1	5	2
153.272213	0	1	5	3
155.704970	0	1	5	5
156.721833	0	1	5	6
157.238444	0	1	4	1
175.754355	0	1	4	2
176.854619	0	1	4	3
179.287499	0	1	4	5
180.304096	0	1	4	6
180.820816	0	1	1	1
193.836931	0	1	1	2
194.417199	0	1	1	3
196.853417	0	1	1	5
197.870093	0	1	1	6
198.386715	0	1	15	1
203.653181	0	1	15	2
204.203433	0	1	15	3
206.636333	0	1	15	5
207.653038	0	1	15	6
214.236063	0	2	7	1
217.252597	0	2	7	2
217.802857	0	2	7	3
220.235682	0	2	7	5
221.252436	0	2	7	6
221.769065	0	2	9	1
228.785461	0	2	9	2
229.385681	0	2	9	3
231.818605	0	2	9	5
232.835305	0	2	9	6
233.351905	0	2	2	1
238.618347	0	2	2	2
239.718604	0	2	2	3
242.151506	0	2	2	5
243.167954	0	2	2	6
243.684820	0	2	15	1
247.201343	0	2	15	2
247.971562	0	2	15	3
250.401144	0	2	15	5
251.417584	0	2	15	6
251.934479	0	2	14	1
261.450745	0	2	14	2
262.030962	0	2	14	3
264.467223	0	2	14	5
265.483881	0	2	14	6
266.000525	0	2	6	1
270.267062	0	2	6	2
271.117325	0	2	6	3
273.550185	0	2	6	5
274.566845	0	2	6	6
275.083378	0	2	3	1
293.599356	0	2	3	2
294.249596	0	2	3	3
296.682686	0	2	3	5
297.699229	0	2	3	6
298.215618	0	2	8	1
311.231949	0	2	8	2
311.732220	0	2	8	3
314.165110	0	2	8	5
315.181839	0	2	8	6
315.698423	0	2	16	1
319.964736	0	2	16	2
320.734900	0	2	16	3
323.164740	0	2	16	5
324.181424	0	2	16	6
324.698045	0	2	10	1
343.213750	0	2	10	2
344.313935	0	2	10	3
346.747022	0	2	10	5
347.763783	0	2	10	6
348.280383	0	2	11	1
357.796652	0	2	11	2
358.646921	0	2	11	3
361.079749	0	2	11	5
362.096495	0	2	11	6
362.613129	0	2	1	1
375.629260	0	2	1	2
376.279498	0	2	1	3
378.712435	0	2	1	5
379.729105	0	2	1	6
380.245698	0	2	4	1
383.262059	0	2	4	2
383.762237	0	2	4	3
386.195385	0	2	4	5
387.212116	0	2	4	6
387.728711	0	2	5	1
391.245258	0	2	5	2
391.845516	0	2	5	3
394.278393	0	2	5	5
395.294861	0	2	5	6
395.811595	0	2	12	1
401.078173	0	2	12	2
401.628416	0	2	12	3
404.061323	0	2	12	5
405.078004	0	2	12	6
405.594633	0	2	13	1
412.610973	0	2	13	2
413.191185	0	2	13	3
415.627465	0	2	13	5
416.644185	0	2	13	6
