onset	duration	partner (1=human,2=computer)	trial type	event type
5.078320	0	1	4	1
12.111356	0	1	4	2
12.661562	0	1	4	3
13.828125	0	1	4	4
15.265909	0	1	4	5
16.278085	0	1	4	6
16.794709	0	1	6	1
19.811033	0	1	6	2
20.411250	0	1	6	3
21.794669	0	1	6	4
22.844437	0	1	6	5
23.860876	0	1	6	6
24.377593	0	1	12	1
37.393836	0	1	12	2
38.244072	0	1	12	3
38.877062	0	1	12	4
40.676837	0	1	12	5
41.693659	0	1	12	6
42.210292	0	1	15	1
51.726570	0	1	15	2
52.306794	0	1	15	3
54.059966	0	1	15	4
54.743092	0	1	15	5
55.759729	0	1	15	6
56.276355	0	1	9	1
59.792894	0	1	9	2
60.563149	0	1	9	3
61.593008	0	1	9	4
62.992726	0	1	9	5
64.009388	0	1	9	6
64.526034	0	1	8	1
68.792500	0	1	8	2
69.292645	0	1	8	3
70.259094	0	1	8	4
71.725532	0	1	8	5
72.742366	0	1	8	6
73.258976	0	1	11	1
78.525410	0	1	11	2
79.625652	0	1	11	3
80.775535	0	1	11	4
82.058626	0	1	11	5
83.075195	0	1	11	6
83.591869	0	1	13	1
102.107781	0	1	13	2
102.758029	0	1	13	3
103.791193	0	1	13	4
105.190943	0	1	13	5
106.207396	0	1	13	6
106.724146	0	1	16	1
111.990703	0	1	16	2
112.570919	0	1	16	3
113.774068	0	1	16	4
115.007165	0	1	16	5
116.023856	0	1	16	6
116.540480	0	1	7	1
129.556651	0	1	7	2
130.406908	0	1	7	3
131.540004	0	1	7	4
132.839758	0	1	7	5
133.856432	0	1	7	6
134.373082	0	1	2	1
152.888746	0	1	2	2
153.488934	0	1	2	3
154.572383	0	1	2	4
155.922134	0	1	2	5
156.938594	0	1	2	6
157.455427	0	1	5	1
164.471811	0	1	5	2
164.972034	0	1	5	3
165.838542	0	1	5	4
167.404946	0	1	5	5
168.421492	0	1	5	6
168.938050	0	1	3	1
173.204753	0	1	3	2
173.754993	0	1	3	3
174.888175	0	1	3	4
176.187928	0	1	3	5
177.204605	0	1	3	6
177.721235	0	1	14	1
181.237567	0	1	14	2
182.007767	0	1	14	3
183.737794	0	1	14	4
184.437584	0	1	14	5
185.454251	0	1	14	6
185.970894	0	1	10	1
188.987450	0	1	10	2
190.087710	0	1	10	3
191.404175	0	1	10	4
192.520599	0	1	10	5
193.537044	0	1	10	6
194.053844	0	1	1	1
203.570186	0	1	1	2
204.220407	0	1	1	3
205.386899	0	1	1	4
206.653370	0	1	1	5
207.670015	0	1	1	6
214.253009	0	2	3	1
219.519489	0	2	3	2
220.019818	0	2	3	3
221.702899	0	2	3	4
222.452668	0	2	3	5
223.469321	0	2	3	6
223.985736	0	2	4	1
227.002537	0	2	4	2
227.852761	0	2	4	3
228.902570	0	2	4	4
230.285642	0	2	4	5
231.302324	0	2	4	6
231.818924	0	2	15	1
238.835119	0	2	15	2
239.435295	0	2	15	3
240.218771	0	2	15	4
241.868504	0	2	15	5
242.884965	0	2	15	6
243.401729	0	2	12	1
261.917713	0	2	12	2
262.567981	0	2	12	3
263.184481	0	2	12	4
265.000871	0	2	12	5
266.017535	0	2	12	6
266.534173	0	2	8	1
276.050434	0	2	8	2
276.600684	0	2	8	3
278.000493	0	2	8	4
279.033598	0	2	8	5
280.050262	0	2	8	6
280.566853	0	2	13	1
284.083457	0	2	13	2
285.183735	0	2	13	3
286.450119	0	2	13	4
287.616549	0	2	13	5
288.632992	0	2	13	6
289.149814	0	2	7	1
293.416365	0	2	7	2
293.996630	0	2	7	3
294.883125	0	2	7	4
296.432865	0	2	7	5
297.449505	0	2	7	6
297.965971	0	2	6	1
310.982069	0	2	6	2
311.752261	0	2	6	3
312.799022	0	2	6	4
314.182105	0	2	6	5
315.198779	0	2	6	6
315.715410	0	2	11	1
319.981884	0	2	11	2
320.532074	0	2	11	3
321.548666	0	2	11	4
322.965082	0	2	11	5
323.981748	0	2	11	6
324.498351	0	2	16	1
327.514705	0	2	16	2
328.364863	0	2	16	3
329.214826	0	2	16	4
330.797923	0	2	16	5
331.814744	0	2	16	6
332.331364	0	2	10	1
341.847659	0	2	10	2
342.347907	0	2	10	3
343.247569	0	2	10	4
344.780646	0	2	10	5
345.797508	0	2	10	6
346.314118	0	2	14	1
349.830676	0	2	14	2
350.410956	0	2	14	3
352.230692	0	2	14	4
352.847153	0	2	14	5
353.863816	0	2	14	6
354.380474	0	2	5	1
367.396581	0	2	5	2
368.496858	0	2	5	3
369.513292	0	2	5	4
370.929709	0	2	5	5
371.946415	0	2	5	6
372.463005	0	2	9	1
379.479377	0	2	9	2
380.129635	0	2	9	3
381.346142	0	2	9	4
382.562565	0	2	9	5
383.579255	0	2	9	6
384.095861	0	2	2	1
402.611767	0	2	2	2
403.212027	0	2	2	3
404.244999	0	2	2	4
405.644900	0	2	2	5
406.661613	0	2	2	6
407.178208	0	2	1	1
412.444646	0	2	1	2
413.214927	0	2	1	3
413.961432	0	2	1	4
415.644615	0	2	1	5
416.661155	0	2	1	6
