onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	4.5823	4	call box	44	1	call box	4.5823	target	1
5.5823	2.1826	1	nail salon	84	2	nail salon	2.1826	target	1
7.7649	1.7775	3	car	64	1	car	1.7775	target	1
9.5423	1.5524	2	restaurant	24	1	restaurant	1.5524	target	1
11.0947	4.2976	3	car	54	1	call box	4.2976	other	0
15.3924	4.9051	4	call box	74	1	car	4.9051	other	0
20.2975	3.15	1	nail salon	64	1	restaurant	3.15	other	0
23.4475	2.5988	2	restaurant	14	1	restaurant	2.5988	target	1
26.0463	5.4564	1	nail salon	54	1	nail salon	5.4564	target	1
31.5028	4.5114	2	restaurant	4	1	restaurant	4.5114	target	1
36.0141	1.6876	3	car	84	2	car	1.6876	target	1
37.7018	2.5087	4	call box	64	1	call box	2.5087	target	1
40.2105	4.1737	2	restaurant	44	1	restaurant	4.1737	target	1
44.3842	2.4301	1	nail salon	14	1	nail salon	2.4301	target	1
46.8143	5.5689	3	car	14	1	call box	5.5689	other	0
52.3831	5.3777	4	call box	24	1	car	5.3777	other	0
57.7608	1.7662	4	call box	94	2	call box	1.7662	target	1
59.527	1.2937	1	nail salon	94	2	nail salon	1.2937	target	1
60.8207	3.9038	2	restaurant	34	1	restaurant	3.9038	target	1
64.7245	1.2036	3	car	94	2	car	1.2036	target	1
65.9282	3.6001	3	car	34	1	car	3.6001	target	1
69.5283	3.05	1	nail salon	74	1	nail salon	3.05	target	1
72.5783	1.2489	2	restaurant	84	2	restaurant	1.2489	target	1
73.8272	3.78	4	call box	4	1	call box	3.78	target	1
77.6072	1.4738	3	car	4	1	car	1.4738	target	1
79.081	2.2163	2	restaurant	54	1	nail salon	2.2163	other	0
81.2973	2.5989	1	nail salon	24	1	restaurant	2.5989	other	0
83.8962	4.1738	4	call box	54	1	call box	4.1738	target	1
88.07	2.3175	3	car	24	1	car	2.3175	target	1
90.3874	3.9038	4	call box	34	1	call box	3.9038	target	1
94.2913	1.6763	2	restaurant	74	1	nail salon	1.6763	other	0
95.9676	2.1038	1	nail salon	4	1	nail salon	2.1038	target	1
98.0714	1.7214	2	restaurant	64	1	restaurant	1.7214	target	1
99.7928	3.1613	3	car	44	1	car	3.1613	target	1
102.9541	5.5691	1	nail salon	44	1	nail salon	5.5691	target	1
108.5232	1.4062	4	call box	84	2	call box	1.4062	target	1
109.9294	1.3838	2	restaurant	94	2	restaurant	1.3838	target	1
111.3132	2.0251	3	car	74	1	car	2.0251	target	1
113.3383	2.5875	4	call box	14	1	car	2.5875	other	0
115.9257	1.8226	1	nail salon	34	1	nail salon	1.8226	target	1
