onset	duration	condition
15.0	4	scramble
19.0	4	scramble
23.0	4	scramble
27.0	4	body
31.0	4	word
35.0	4	number
39.0	4	face-child
43.0	4	number
47.0	4	body
51.0	4	limb
55.0	4	guitar
59.0	4	place
63.0	4	house
67.0	4	scramble
71.0	4	face-child
75.0	4	car
79.0	4	face-adult
83.0	4	scramble
87.0	4	word
91.0	4	place
95.0	4	car
99.0	4	number
103.0	4	word
107.0	4	scramble
111.0	4	scramble
115.0	4	limb
119.0	4	body
123.0	4	face-adult
127.0	4	place
131.0	4	scramble
135.0	4	face-adult
139.0	4	number
143.0	4	limb
147.0	4	guitar
151.0	4	car
155.0	4	body
159.0	4	scramble
163.0	4	scramble
167.0	4	place
171.0	4	word
175.0	4	guitar
179.0	4	face-adult
183.0	4	limb
187.0	4	place
191.0	4	face-adult
195.0	4	guitar
199.0	4	number
203.0	4	scramble
207.0	4	word
211.0	4	house
215.0	4	body
219.0	4	face-child
223.0	4	face-adult
227.0	4	body
231.0	4	word
235.0	4	car
239.0	4	guitar
243.0	4	scramble
247.0	4	limb
251.0	4	house
255.0	4	car
259.0	4	scramble
263.0	4	place
267.0	4	house
271.0	4	number
275.0	4	face-child
279.0	4	face-child
283.0	4	house
287.0	4	limb
291.0	4	scramble
295.0	4	car
299.0	4	house
303.0	4	face-child
307.0	4	scramble
311.0	4	guitar
315.0	4	scramble
319.0	4	scramble
323.0	4	scramble
