onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
101.702	1.5	b_minus	n/a	0.0	n/a	-2.0954755412311745	1.09468186620315	face	body	house
172.983	1.5	b_minus	n/a	1.0	n/a	0.5439335578629233	1.0152727671090522	face	body	house
212.021	1.5	b_minus	n/a	0.0	n/a	-2.265379917895188	0.9509862428671632	face	body	house
226.035	1.5	b_minus	n/a	0.0	n/a	-1.0258961343297404	0.44711845930171584	face	body	house
277.69	1.5	b_minus	n/a	1.0	n/a	0.18819678300664602	1.5566965819653291	face	body	house
288.704	1.5	b_minus	n/a	0.0	n/a	-1.9463223859329335	0.7136310085049091	face	body	house
298.72	1.5	b_minus	n/a	0.0	n/a	-0.8855108202663484	0.3426821561823241	face	body	house
317.741	1.5	b_minus	n/a	0.0	n/a	-0.4187537313730511	0.17946466116038665	face	body	house
342.7680000000001	1.5	b_minus	n/a	0.0	n/a	-0.21338061226000016	0.10764896335073418	face	body	house
348.776	1.5	b_minus	n/a	1.0	n/a	1.876983560149742	0.07605005631448727	face	body	house
15.004	1.5	b_plus	n/a	0.0	n/a	-1.052016018671175	0.05122234364315007	face	body	house
26.021	1.5	b_plus	n/a	1.0	n/a	2.0679839813288257	-0.50877765635685	face	body	house
58.055	1.5	b_plus	n/a	1.0	n/a	-0.30641601867117496	0.9920223436431505	face	body	house
92.087	1.5	b_plus	n/a	1.0	732.0	0.9457045573288256	-0.6444822323568503	face	body	house
107.709	1.5	b_plus	n/a	1.0	633.0	0.9725948448424256	-0.8405014798704502	face	body	house
128.333	1.5	b_plus	n/a	1.0	606.0	-0.1749693222928067	0.2326459448647822	face	body	house
186.995	1.5	b_plus	n/a	0.0	n/a	-1.3596829973663525	-0.6153837467176722	face	body	house
196.003	1.5	b_plus	n/a	1.0	n/a	2.1049040187722468	-0.9743778441849112	face	body	house
250.663	1.5	b_plus	n/a	1.0	526.0	2.325269601743844	-1.82828254294111	face	body	house
357.788	1.5	b_plus	n/a	0.0	n/a	-0.0004091289002074033	-1.7813610232422834	face	body	house
68.067	1.5	c_minus	n/a	1.0	n/a	0.25806398132882546	0.74114234364315	face	body	house
80.08	1.5	c_minus	n/a	0.0	n/a	-2.089225618671174	0.5284319436431502	face	body	house
141.947	1.5	c_minus	n/a	0.0	n/a	-1.8579274253306768	1.1707337503026525	face	body	house
204.014	1.5	c_minus	n/a	0.0	n/a	-1.7515978943379913	1.4487882193099668	face	body	house
220.028	1.5	c_minus	n/a	0.0	n/a	0.15193380640884369	-0.2856145214368681	face	body	house
234.042	1.5	c_minus	n/a	0.0	n/a	-0.07648999768077681	0.017226025052752315	face	body	house
264.677	1.5	c_minus	n/a	1.0	n/a	-0.05075973208119745	2.024239126109173	face	body	house
294.712	1.5	c_minus	n/a	0.0	n/a	-2.052166773061972	0.9200532484185876	face	body	house
334.76	1.5	c_minus	n/a	0.0	n/a	-1.1394325351871173	0.6408581263283343	face	body	house
368.80300000000005	1.5	c_minus	n/a	1.0	280.0	2.6500940771793937	-0.8699112750929519	face	body	house
20.012999999999998	1.5	c_plus	n/a	0.0	n/a	-1.052016018671175	0.05122234364315007	face	body	house
37.034	1.5	c_plus	n/a	0.0	n/a	-0.4920160186711745	0.05122234364315007	face	body	house
46.041	1.5	c_plus	n/a	1.0	n/a	1.7543839813288251	0.05122234364315007	face	body	house
120.322	1.5	c_plus	n/a	1.0	n/a	1.7099925573288253	-0.91597023235685	face	body	house
146.957	1.5	c_plus	n/a	1.0	556.0	1.7345781424981466	-1.385652777526171	face	body	house
161.97	1.5	c_plus	n/a	1.0	452.0	0.7340854122433268	-0.5810027096713514	face	body	house
241.049	1.5	c_plus	n/a	1.0	690.0	1.1451279875051903	-1.078216056389215	face	body	house
305.728	1.5	c_plus	n/a	1.0	578.0	1.5941082460148852	-1.5651114543395501	face	body	house
322.748	1.5	c_plus	n/a	1.0	600.0	0.6722786577906917	-0.6599645274692378	face	body	house
361.796	1.5	c_plus	n/a	0.0	n/a	-1.1243731117790257	-0.8706531288952286	face	body	house
33.525999999999996	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
50.54600000000001	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
62.56	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
74.572	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
98.193	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
112.815	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
123.827	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
134.439	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
155.46200000000005	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
167.476	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
178.488	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
200.507	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
246.154	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
255.168	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
270.182	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
283.195	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
311.233	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
327.254	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
353.279	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
377.309	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
