onset	duration	condition
15.0	4	scramble
19.0	4	scramble
23.0	4	scramble
27.0	4	scramble
31.0	4	place
35.0	4	house
39.0	4	body
43.0	4	scramble
47.0	4	scramble
51.0	4	limb
55.0	4	place
59.0	4	word
63.0	4	place
67.0	4	face-child
71.0	4	face-child
75.0	4	car
79.0	4	limb
83.0	4	limb
87.0	4	number
91.0	4	car
95.0	4	word
99.0	4	body
103.0	4	face-child
107.0	4	scramble
111.0	4	word
115.0	4	face-adult
119.0	4	scramble
123.0	4	number
127.0	4	face-adult
131.0	4	number
135.0	4	number
139.0	4	house
143.0	4	scramble
147.0	4	scramble
151.0	4	house
155.0	4	house
159.0	4	face-child
163.0	4	face-adult
167.0	4	guitar
171.0	4	limb
175.0	4	body
179.0	4	scramble
183.0	4	car
187.0	4	guitar
191.0	4	scramble
195.0	4	face-child
199.0	4	number
203.0	4	scramble
207.0	4	guitar
211.0	4	face-child
215.0	4	body
219.0	4	place
223.0	4	body
227.0	4	word
231.0	4	word
235.0	4	body
239.0	4	car
243.0	4	scramble
247.0	4	limb
251.0	4	car
255.0	4	guitar
259.0	4	place
263.0	4	guitar
267.0	4	number
271.0	4	scramble
275.0	4	face-adult
279.0	4	limb
283.0	4	face-adult
287.0	4	house
291.0	4	word
295.0	4	car
299.0	4	place
303.0	4	guitar
307.0	4	face-adult
311.0	4	house
315.0	4	scramble
319.0	4	scramble
323.0	4	scramble
