onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
15.003	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
36.527	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
51.037	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
69.547	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
97.679	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
114.189	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
129.699	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
145.216	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
186.757	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
205.272	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
218.789	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
275.347	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
291.865	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
306.38	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
323.497	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
339.612	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
372.136	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
385.646	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
438.205	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
471.736	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
23.514	1.5	b_minus	n/a	1.0	n/a	1.0390102027692152	-0.041863476531088996	body	house	face
83.664	1.5	b_minus	n/a	0.0	n/a	-2.047873637230785	0.485020363468911	body	house	face
89.67200000000003	1.5	b_minus	n/a	0.0	n/a	-0.8792186868307849	0.18996541306891104	body	house	face
234.306	1.5	b_minus	n/a	0.0	n/a	-1.385192302165282	1.0803230284034082	body	house	face
287.858	1.5	b_minus	n/a	0.0	n/a	-0.5876388994019636	0.4518985856400897	body	house	face
358.125	1.5	b_minus	n/a	1.0	n/a	0.4792990211866435	1.4593774074514827	body	house	face
411.173	1.5	b_minus	n/a	0.0	n/a	-1.840620823000156	0.6920406182942822	body	house	face
418.18	1.5	b_minus	n/a	0.0	n/a	-0.7880274485693084	0.2810543251920744	body	house	face
423.186	1.5	b_minus	n/a	0.0	n/a	-0.3248863638197352	0.10022035622710293	body	house	face
454.719	1.5	b_minus	n/a	1.0	n/a	1.878895713470077	0.02065340988251553	body	house	face
74.051	1.5	b_plus	n/a	1.0	768.0	0.979874202769215	0.017272523468911075	body	house	face
133.202	1.5	b_plus	n/a	0.0	n/a	-0.13223355070278486	-1.4306197230590891	body	house	face
151.72	1.5	b_plus	n/a	1.0	n/a	2.0595594531858548	-0.7488127269477292	body	house	face
223.293	1.5	b_plus	n/a	1.0	n/a	0.011457908521891248	0.5636728177162348	body	house	face
297.369	1.5	b_plus	n/a	0.0	n/a	0.6036424381640525	-2.3521827519259264	body	house	face
312.884	1.5	b_plus	n/a	1.0	653.0	1.9712543345218347	-0.7422099058837086	body	house	face
328.001	1.5	b_plus	n/a	1.0	684.0	-0.19285909304109924	0.7320408083352252	body	house	face
347.115	1.5	b_plus	n/a	1.0	548.0	0.06683451826645284	0.16880760315631316	body	house	face
391.15	1.5	b_plus	n/a	1.0	512.0	0.17000682039964354	-0.06792212028027599	body	house	face
476.24	1.5	b_plus	n/a	0.0	n/a	-1.4438011338792789	-0.5128794313748488	body	house	face
18.506999999999998	1.5	c_minus	n/a	0.0	n/a	-0.9609897972307848	-0.041863476531088996	body	house	face
45.03100000000001	1.5	c_minus	n/a	0.0	n/a	0.1590102027692152	-0.6018634765310891	body	house	face
60.541	1.5	c_minus	n/a	0.0	n/a	0.02461020276921514	-0.22106347653108904	body	house	face
104.183	1.5	c_minus	n/a	0.0	n/a	-0.4861456372307849	0.3981083634689111	body	house	face
119.693	1.5	c_minus	n/a	0.0	n/a	0.10202890356921517	-0.14236313733108907	body	house	face
192.261	1.5	c_minus	n/a	1.0	n/a	-0.3970969721550404	2.3777520759931665	body	house	face
208.776	1.5	c_minus	n/a	1.0	n/a	0.09134306376012573	0.7785473486220003	body	house	face
282.851	1.5	c_minus	n/a	0.0	n/a	-2.483934547420035	0.865088495561521	body	house	face
375.64	1.5	c_minus	n/a	0.0	n/a	-0.641163500451958	-0.07272659567243743	body	house	face
441.708	1.5	c_minus	n/a	1.0	n/a	0.3180680474309888	1.366222476967628	body	house	face
138.209	1.5	c_plus	n/a	0.0	n/a	-0.20132899927878486	-0.8015242744830892	body	house	face
162.732	1.5	c_plus	n/a	1.0	n/a	1.9332609538680952	-0.3761142276299689	body	house	face
174.745	1.5	c_plus	n/a	1.0	n/a	0.8724805332527222	-0.18893380701459628	body	house	face
238.311	1.5	c_plus	n/a	1.0	n/a	0.6206507639846314	-0.3214880377465055	body	house	face
250.323	1.5	c_plus	n/a	1.0	n/a	0.2949320497039983	-0.1648982834658722	body	house	face
261.335	1.5	c_plus	n/a	1.0	n/a	0.15161581542051966	-0.09599879158239354	body	house	face
301.375	1.5	c_plus	n/a	0.0	n/a	-0.4985942675582307	-1.4785320752596431	body	house	face
402.162	1.5	c_plus	n/a	1.0	476.0	2.183361509628996	-1.0548949337755096	body	house	face
429.193	1.5	c_plus	n/a	1.0	440.0	0.9825247777875188	-0.4875973177186342	body	house	face
466.73	1.5	c_plus	n/a	0.0	n/a	-1.7021157772333246	-0.08171397364301546	body	house	face
28.019	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
78.157	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
159.225	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
168.237	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
181.25099999999995	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
197.766	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
214.283	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
230.798	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
246.817	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
257.829	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
266.84	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
318.99	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
332.105	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
