onset	duration	Event Type
988.405	0	Response
988.581	0	Response
989.269	0	Response
990.45	6.0068	Picture
1003.77	6.5074	Picture
1017.28	2.0022	Picture
1027.98	9.0101	Picture
1041.99	2.0022	Picture
1047.67	0	Response
1047.9	0	Response
1048.07	0	Response
1048.22	0	Response
1048.66	0	Response
1048.83	0	Response
1049.44	0	Response
1052.99	6.0068	Picture
1064	9.0102	Picture
1078.02	2.0023	Picture
1085.27	0	Response
1085.51	0	Response
1086.38	0	Response
1089.51	6.0068	Picture
1104.23	8.5096	Picture
1118.75	2.0023	Picture
1127.14	0	Response
1127.36	0	Response
1127.55	0	Response
1127.68	0	Response
1128.08	0	Response
1128.25	0	Response
1128.98	0	Response
1135.43	6.0068	Picture
1150.45	5.0057	Picture
1164.46	2.0022	Picture
1170.77	0	Response
1170.91	0	Response
1171.21	0	Response
1171.45	0	Response
1172.4	0	Response
1178.46	6.0068	Picture
1190.78	6.7075	Picture
1205.49	2.0022	Picture
1217.69	5.2058	Picture
1231.91	2.0023	Picture
1237.39	0	Response
1237.59	0	Response
1237.83	0	Response
1238.02	0	Response
1240.18	0	Response
1244.3	6.0068	Picture
1257.32	8.009	Picture
1274.34	2.0022	Picture
1283.31	0	Response
1283.54	0	Response
1283.74	0	Response
1283.94	0	Response
1284.08	0	Response
1284.25	0	Response
1284.41	0	Response
1284.55	0	Response
1285.21	0	Response
1289.32	6.0067	Picture
1300.83	9.0102	Picture
1314.85	2.0023	Picture
1322.93	0	Response
1324.08	0	Response
1324.26	0	Response
1324.45	0	Response
1324.53	0	Response
1324.68	0	Response
1324.78	0	Response
1324.92	0	Response
1325.4	0	Response
1325.61	0	Response
1326.47	0	Response
1327.85	6.0068	Picture
1341.26	6.207	Picture
1355.48	2.019	Picture
1359.23	0	Response
1360.12	0	Response
1360.4	0	Response
1360.59	0	Response
1360.87	0	Response
1361.05	0	Response
1361.89	0	Response
1365.97	6.0068	Picture
1379.99	5.0056	Picture
1390	2.0022	Picture
1402.47	0	Response
1404.42	0	Response
1404.6	0	Response
1404.77	0	Response
1404.86	0	Response
1405	0	Response
1405.13	0	Response
1405.21	0	Response
1405.32	0	Response
1405.44	0	Response
1405.52	0	Response
1405.69	0	Response
1405.8	0	Response
1405.96	0	Response
1406.49	0	Response
1410.01	6.0068	Picture
1421.82	7.0079	Picture
1433.83	2.0022	Picture
1447.59	0	Response
1448.98	0	Response
1449.11	0	Response
1449.28	0	Response
1449.38	0	Response
1449.75	0	Response
1450.39	0	Response
1450.57	0	Response
1451.07	0	Response
1451.25	0	Response
1451.82	0	Response
1452.62	6.0068	Picture
1463.73	5.7065	Picture
1478.45	2.0023	Picture
1482.34	0	Response
1483.2	0	Response
1483.58	0	Response
1483.74	0	Response
1484.12	0	Response
1484.26	0	Response
1484.95	0	Response
1485.09	0	Response
1485.74	0	Response
