onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
2.0555567741394	8.0	CS-	CS-	1.0	noshock	view	F	5	0.0497183799743652	10.0623664855957
24.0868217945099	8.0	CS+1i	CS+	1.0	noshock	imagine	J	6	20.0750827789307	32.0937447547913
46.1183884143829	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	42.1065967082977	54.1253974437714
66.1442849636078	8.0	CS+1	CS+	1.0	noshock	view	J	3	64.1383783817291	74.1514146327972
88.17636156082149	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	84.1644899845123	96.18353986740108
110.208641767502	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	106.19672584533701	118.215902805328
130.235146522522	8.0	CS+2	CS+	2.0	noshock	view	H	4	128.229186534882	138.24248957633998
150.261837720871	8.0	CS+1	CS+	1.0	noshock	view	J	3	148.25582742691003	158.26921749115
170.288667440414	8.0	CS+2	CS+	2.0	noshock	view	H	4	168.282650470734	178.296106815338
190.315616369247	8.0	CS-	CS-	1.0	noshock	view	F	5	188.309604406357	198.32311964035
212.34874939918498	8.0	CS+1i	CS+	1.0	noshock	imagine	J	6	208.33667159080503	220.35629200935398
234.382019519806	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	230.36991333961498	242.38960862159698
