onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
4.06202578544617	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	0.0497217178344727	12.070054769516
26.0965416431427	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	22.0842237472534	34.1045603752136
48.1310584545135	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	44.118752717971795	56.13908648490911
70.165554523468	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	66.1532666683197	78.1735877990723
92.2000856399536	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	88.18778944015499	100.208129882812
114.23460578918501	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	110.222292423248	122.24265813827499
136.269134521484	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	132.256826639175	144.277178525925
158.303664445877	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	154.29137802123998	166.31170153617902
180.33820176124598	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	176.32591700553903	188.346245527267
202.372741699219	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	198.36043548584	210.380797624588
224.40729260444598	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	220.395001411438	232.415351629257
246.44184970855702	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	242.429534435272	254.44989466667198
