onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
2.055988073349	8.0	CS+1	CS+	1.0	noshock	view	J	3	0.0497400760650635	10.047753810882599
22.0686097145081	8.0	CS+2	CS+	2.0	noshock	view	H	4	20.062354803085302	30.060389041900603
42.081228971481295	8.0	CS+2	CS+	2.0	noshock	view	H	4	40.074994802475	50.0730173587799
64.1001255512238	8.0	CS+1i	CS+	1.0	noshock	imagine	J	6	60.0876350402832	72.091915845871
84.11277961730958	8.0	CS-	CS-	1.0	noshock	view	F	5	82.1065287590027	92.1045820713043
106.13166975975	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	102.119206905365	114.12349367141701
128.150584220886	8.0	CS+1i	CS+	1.0	noshock	imagine	J	6	124.13811707496599	136.142410755157
148.163283824921	8.0	CS-	CS-	1.0	noshock	view	F	5	146.157028198242	156.155087947845
170.182220220566	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	166.169717073441	178.174037694931
192.201155900955	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	188.188678741455	200.19297981262199
214.220113992691	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	210.207609891891	222.211927652359
234.230066776276	8.0	CS+1	CS+	1.0	noshock	view	J	3	232.224426984787	242.21946787834202
