onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
2.05584764480591	8.0	CS+2	CS+	2.0	noshock	view	H	4	0.0497379302978516	10.063721179962199
22.083816051483197	8.0	CS-	CS-	1.0	noshock	view	F	5	20.077692031860398	30.0916857719421
42.111789703369105	8.0	CS+1	CS+	1.0	noshock	view	J	3	40.1056709289551	50.11966419219971
62.1397626399994	8.0	CS-	CS-	1.0	noshock	view	F	5	60.1336517333984	70.1476566791534
82.1677916049957	8.0	CS+2s	CS+	2.0	shock	view	H	2	80.1616549491882	90.2419929504395
102.26213192939801	8.0	CS-	CS-	1.0	noshock	view	F	5	100.256000995636	110.27001476287799
122.290175676346	8.0	CS+2	CS+	2.0	noshock	view	H	4	120.28405117988599	130.29807305336
142.318221092224	8.0	CS+1	CS+	1.0	noshock	view	J	3	140.312095165253	150.32612800598102
162.34631180763202	8.0	CS+2s	CS+	2.0	shock	view	H	2	160.340169906616	170.38737797737102
182.407561063766	8.0	CS+1s	CS+	1.0	shock	view	J	1	180.40141963958698	190.44863224029498
202.468814849854	8.0	CS+1s	CS+	1.0	shock	view	J	1	200.46268987655603	210.509913682938
222.530089855194	8.0	CS-	CS-	1.0	noshock	view	F	5	220.52396893501302	230.538032054901
