onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
2.0556845664978	8.0	CS-	CS-	1.0	noshock	view	F	5	0.0497281551361084	10.062852144241301
22.0819590091705	8.0	CS-	CS-	1.0	noshock	view	F	5	20.0759961605072	30.089157819747896
42.108288764953606	8.0	CS+1	CS+	1.0	noshock	view	J	3	40.102347612381	50.11554598808289
62.1347177028656	8.0	CS+1	CS+	1.0	noshock	view	J	3	60.128748178482105	70.1419885158539
82.1612241268158	8.0	CS+2	CS+	2.0	noshock	view	H	4	80.1552469730377	90.16852402687071
102.187775850296	8.0	CS-	CS-	1.0	noshock	view	F	5	100.181791543961	110.195104837418
122.21439695358299	8.0	CS+2	CS+	2.0	noshock	view	H	4	120.20839905738801	130.22172498703
142.24107718467698	8.0	CS+2	CS+	2.0	noshock	view	H	4	140.235085725784	150.248449802399
162.267810821533	8.0	CS-	CS-	1.0	noshock	view	F	5	160.261814594269	170.275213241577
182.294613838196	8.0	CS+1	CS+	1.0	noshock	view	J	3	180.288599967957	190.302031517029
202.32146024704	8.0	CS+1	CS+	1.0	noshock	view	J	3	200.31545281410197	210.328887939453
222.34836888313302	8.0	CS+2	CS+	2.0	noshock	view	H	4	220.342346906662	230.355825901031
