onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
2.05579948425293	8.0	CS-	CS-	1.0	noshock	view	F	5	0.049724817276001	10.0634717941284
22.0833089351654	8.0	CS-	CS-	1.0	noshock	view	F	5	20.077258825302103	30.0910263061523
42.1108655929565	8.0	CS+1s	CS+	1.0	shock	view	J	1	40.1048064231873	50.1849133968353
62.2047743797302	8.0	CS+1	CS+	1.0	noshock	view	J	3	60.19870781898501	70.2125074863434
82.2324137687683	8.0	CS+2	CS+	2.0	noshock	view	H	4	80.2263150215149	90.24015259742741
102.260062456131	8.0	CS+1	CS+	1.0	noshock	view	J	3	100.253990411758	110.26780796051001
122.287759780884	8.0	CS+2s	CS+	2.0	shock	view	H	2	120.281670808792	130.345254182816
142.365205764771	8.0	CS+1s	CS+	1.0	shock	view	J	1	140.359121799469	150.42273473739598
162.44269561767598	8.0	CS+2s	CS+	2.0	shock	view	H	2	160.436588764191	170.50020980834998
182.520212650299	8.0	CS+2	CS+	2.0	noshock	view	H	4	180.514113664627	190.52799677848802
202.548014640808	8.0	CS-	CS-	1.0	noshock	view	F	5	200.54189682006802	210.555824756622
222.57584166526797	8.0	CS-	CS-	1.0	noshock	view	F	5	220.569745540619	230.58366250991799
