onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
2.05573964118958	8.0	CS+2	CS+	2.0	noshock	view	H	4	0.0497477054595947	10.0632300376892
22.082756757736203	8.0	CS-	CS-	1.0	noshock	view	F	5	20.076736450195302	30.0903108119965
42.1099669933319	8.0	CS+1	CS+	1.0	noshock	view	J	3	40.1039214134216	50.117551565170295
62.137307405471795	8.0	CS+1	CS+	1.0	noshock	view	J	3	60.131252765655496	70.1449718475342
82.16480064392091	8.0	CS-	CS-	1.0	noshock	view	F	5	80.1587533950806	90.17253184318541
104.19855642318701	8.0	CS+1i	CS+	1.0	noshock	imagine	J	6	100.186376571655	112.206323623657
126.232423782349	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	122.220243453979	134.240273475647
148.266465902328	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	144.254233598709	156.274357557297
170.30062818527202	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	166.288382530212	178.30855059623698
190.328768730164	8.0	CS+2	CS+	2.0	noshock	view	H	4	188.32263278961202	198.336725950241
212.363149881363	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	208.350858688354	220.371163606644
234.39763593673698	8.0	CS+1i	CS+	1.0	noshock	imagine	J	6	230.385318040848	242.4056828022
