onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
2.05584597587585	8.0	CS-	CS-	1.0	noshock	view	F	5	0.0497446060180664	10.0636923313141
22.100349187851	8.0	CS+1s	CS+	1.0	shock	view	J	1	20.094257593154897	30.174540042877197
42.194649934768705	8.0	CS+2s	CS+	2.0	shock	view	H	2	40.1885468959808	50.235705375671394
62.2558448314667	8.0	CS+1	CS+	1.0	noshock	view	J	3	60.2497444152832	70.2637770175934
82.2839424610138	8.0	CS+2	CS+	2.0	noshock	view	H	4	80.27779555320741	90.2918691635132
102.31206202507	8.0	CS-	CS-	1.0	noshock	view	F	5	100.305932998657	110.320004940033
122.340215206146	8.0	CS+1	CS+	1.0	noshock	view	J	3	120.33408808708201	130.34818124771098
142.368408918381	8.0	CS-	CS-	1.0	noshock	view	F	5	140.362294435501	150.3763859272
162.396643877029	8.0	CS+2s	CS+	2.0	shock	view	H	2	160.39051699638398	170.437786102295
182.458083868027	8.0	CS+2	CS+	2.0	noshock	view	H	4	180.451923131943	190.46608448028599
202.486376285553	8.0	CS+1s	CS+	1.0	shock	view	J	1	200.48023486137402	210.52753877639802
222.547842979431	8.0	CS-	CS-	1.0	noshock	view	F	5	220.541702985764	230.555875062943
