onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
4.06202697753906	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	0.0497355461120605	12.0699918270111
26.0964238643646	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	22.0841290950775	34.1044054031372
48.13083410263061	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	44.11853694915771	56.138818025588996
70.1652419567108	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	66.1529488563538	78.173232793808
92.1996688842773	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	88.18736386299129	100.207673788071
114.234097003937	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	110.2218105793	122.24208784103399
136.268532752991	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	132.256235361099	144.276556015015
158.302999973297	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	154.290707111359	166.310987949371
180.337458133698	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	176.325143814087	188.34544515609699
202.371906042099	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	198.35961174964902	210.379921913147
224.406392812729	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	220.39407801628101	232.41438150405898
246.440855026245	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	242.42854809761002	254.44886732101398
