onset	duration	trial_type	cs-type	cs-number	shock	percept	letter	trial-code	TrialOn	ItiOn
2.0559508800506596	8.0	CS+2	CS+	2.0	noshock	view	H	4	0.04974365234375	10.064144849777199
24.090932130813602	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	20.0785574913025	32.082584857940695
46.10940599441529	8.0	CS-i	CS-	1.0	noshock	imagine	F	8	42.097019195556605	54.101076126098604
68.1279406547546	8.0	CS+1i	CS+	1.0	noshock	imagine	J	6	64.1155157089233	76.11960816383359
90.14649796485901	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	86.1340878009796	98.13818669319151
112.165091753006	8.0	CS+1i	CS+	1.0	noshock	imagine	J	6	108.152673959732	120.15679526328998
132.17750787735	8.0	CS+2	CS+	2.0	noshock	view	H	4	130.171290159225	140.16923069953899
152.189972639084	8.0	CS+1	CS+	1.0	noshock	view	J	3	150.183738470078	160.198265075684
172.219017982483	8.0	CS-	CS-	1.0	noshock	view	F	5	170.21280169487	180.227326154709
192.24808788299597	8.0	CS-	CS-	1.0	noshock	view	F	5	190.241852998734	200.23982286453202
214.26683378219602	8.0	CS+2i	CS+	2.0	noshock	imagine	H	7	210.254373788834	222.25858139991797
234.27937579155	8.0	CS+1	CS+	1.0	noshock	view	J	3	232.273130655289	242.27112507820098
