onset	duration	task-type
12.0814 	3	cbh 
30.2191 	3	cpl
44.3553 	3	rsl
62.4917 	3	rph
80.6606 	3	ssl
92.8265 	3	csh
104.9921	3	rpl
119.1603	3	spl
133.3075	3	sbh
151.4378	3	sph2
163.5714	3	cbl2
175.7400	3	cph
191.9081	3	csl
208.0748	3	rbh2
220.2402	3	ssh2
234.4087	3	csh2
250.5576	3	rph2
262.6806	3	rbl
274.8174	3	cph2
284.9851	3	sph
299.1557	3	rpl2
311.3256	3	ssh
325.4885	3	rsh2
337.6538	3	cbh2
349.8077	3	spl2
359.9541	3	rsh
376.0785	3	sbh2
392.2176	3	rsl2
402.3881	3	cpl2
412.5527	3	rbl2
430.7191	3	ssl2
444.8859	3	rbh
455.0534	3	cbl
469.1781	3	sbl
481.3127	3	sbl2
495.4467	3	csl2
