onset	duration	task-type
12.1066 	3	csl2 
26.2711 	3	csh2
36.4330 	3	sbh
50.5860 	3	rsh2
60.7373 	3	ssl
72.8774 	3	rpl2
83.0139 	3	rsh
95.1485 	3	sbh2
105.3169	3	sph
117.4851	3	cph
127.6513	3	rsl2
145.8201	3	spl2
157.9659	3	cpl
176.1076	3	spl
186.2430	3	cbl
196.3758	3	sbl2
208.5290	3	cph2
218.6986	3	rsl
230.8644	3	rbh2
249.0311	3	sbl
265.1978	3	rbl
279.3547	3	rph
291.4901	3	rbl2
301.6218	3	ssl2
313.7598	3	csh
325.9310	3	rpl
336.0976	3	ssh
348.2637	3	rph2
364.4301	3	cbl2
374.5976	3	csl
384.7487	3	rbh
394.8987	3	cbh
407.0371	3	cpl2
417.1702	3	cbh2
427.3435	3	sph2
439.5125	3	ssh2	
