onset	duration	task-type
12.1011 	3	cbl
26.2689 	3	cbh2
36.4356 	3	cbh
50.6024 	3	sbh
60.7564 	3	rph2
72.9061 	3	cph2
83.0514 	3	ssh2
95.1815 	3	sph2
105.3489	3	cbl2
117.5132	3	csh
127.6846	3	rbl
145.8534	3	rsh2
158.0241	3	cpl2
176.1838	3	rsl
186.3265	3	spl
196.4581	3	sbl
208.5975	3	csl
218.7653	3	rbh2
230.9346	3	rpl2
249.0995	3	cph
265.2654	3	sph
279.4300	3	ssl
291.5696	3	rsl2
301.7049	3	ssh
313.8432	3	rbh
325.9945	3	rbl2
336.1642	3	sbh2
348.3307	3	spl2
364.4995	3	csl2
374.6622	3	rph
384.8343	3	csh2
394.9786	3	cpl
407.1327	3	sbl2
417.2722	3	ssl2
427.4042	3	rpl
439.5444	3	rsh
