onset	duration	task-type
 12.1314	6	cookie_l
 26.2392	6	cmi1
 36.4182	6	kmi1
 54.6206	6	pipe_m
 66.7393	6	lli1
 82.3536	6	llj1
 94.5374	6	ami1
106.7430	6	socks_s
118.8476	6	kmj1
133.0174	6	cmj1
145.2321	6	pipe_s
161.3525	6	cli1
173.5351	6	keys_l
183.6537	6	lmi1
197.8372	6	amj1
214.0509	6	socks_m
224.1448	6	lsi1
238.3028	6	csi1
254.5130	6	cookie_s
270.6337	6	csj1
282.8211	6	asi1
293.0515	6	socks_l
311.1677	6	lsj1
323.3820	6	pipe_l
339.4806	6	ali1
351.6451	6	ksi1
367.8301	6	klj1
382.0292	6	keys_m
392.1479	6	lmj1
408.3636	6	keys_s
422.4836	6	ksj1
434.6669	6	clj1
452.8553	6	cookie_m
464.9605	6	kli1
475.1381	6	alj1
485.3286	6	asj1
