onset	duration	task-type
12.1048 	3	cbh
22.2371 	3	rbl
34.3630 	3	sbl_cs
48.4994 	3	cpl
60.6467 	3	sbh
78.8029 	3	spl_cs
92.9695 	3	rsh_cs
105.1407	3	rph_cs
115.3008	3	rbl_cs
131.4539	3	cph_cs
141.6029	3	csl
155.7286	3	spl
167.8640	3	ssl_cs
178.0364	3	cbl_cs
190.2004	3	cpl_cs
208.3667	3	rbh
224.5369	3	cbl
240.7009	3	csh
254.8337	3	rsh
268.9639	3	rsl
281.1111	3	sbh_cs
293.2795	3	sph_cs
303.4468	3	sbl
313.6243	3	ssh_cs
329.7981	3	ssh
345.9611	3	csl_cs
362.0992	3	rpl
374.2305	3	rbh_cs
386.3632	3	sph
396.5275	3	cph
406.6967	3	cbh_cs
422.8684	3	rpl_cs
437.0310	3	csh_cs
449.1951	3	rph
467.3637	3	rsl_cs
479.4962	3	ssl

