onset	duration	task-type
 12.1449	6	socks_s
 28.2637	6	cmi1
 42.5773	6	cookie_l
 54.6799	6	lsi1
 66.8654	6	clj1
 85.0224	6	alj1
 97.2088	6	kmi1
107.4248	6	pipe_m
123.5618	6	csj1
135.7460	6	cmj1
147.9466	6	pipe_s
164.0449	6	kmj1
178.2109	6	kli1
188.4014	6	keys_s
204.5113	6	ali1
214.7217	6	pipe_l
228.8426	6	lmi1
241.0570	6	cookie_s
255.1757	6	lsj1
273.3421	6	csi1
287.5474	6	socks_m
301.6527	6	ksj1
313.8216	6	llj1
324.0363	6	keys_m
340.1604	6	ami1
350.3398	6	cli1
360.5235	6	keys_l
376.6419	6	klj1
388.8441	6	cookie_m
404.9547	6	asi1
417.1346	6	ksi1
433.3204	6	amj1
445.5196	6	socks_l
457.6397	6	asj1
475.8163	6	lmj1
485.9880	6	lli1
