onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.012	2	0.0	0.772	post	cost
4.012	3.0090000000000003	5	1.0	0.431	n/a	/BLUEbox.bmp
7.021	4.412999999999999	6	1.0	0.766	task-Rhyming/perceptual_o.bmp	task-Rhyming/perceptual_p.bmp
11.434	4.0120000000000005	3	1.0	0.613	rum	numb
15.446	3.8110000000000017	5	1.0	0.504	n/a	/BLUEbox.bmp
19.257	4.011999999999997	6	0.0	0.641	task-Rhyming/perceptual_c.bmp	task-Rhyming/perceptual_u.bmp
23.269	4.0120000000000005	1	1.0	0.492	fought	sought
27.281	4.0120000000000005	1	1.0	0.713	scheme	theme
31.293	4.0120000000000005	6	1.0	0.453	task-Rhyming/perceptual_m.bmp	task-Rhyming/perceptual_n.bmp
35.305	4.413000000000004	1	1.0	0.703	stool	fool
39.718	3.4109999999999943	5	1.0	0.516	n/a	/BLUEbox.bmp
43.129	4.413000000000004	1	1.0	0.503	soak	oak
47.542	4.412999999999997	2	0.0	0.689	threat	wheat
51.955	4.0120000000000005	1	1.0	0.667	thread	spread
55.967	4.413000000000004	3	1.0	0.684	pile	trial
60.38	4.814999999999991	4	0.0	0.673	swap	watch
65.195	3.811000000000007	5	1.0	0.623	n/a	/BLUEbox.bmp
69.006	3.4099999999999966	5	1.0	0.504	n/a	/BLUEbox.bmp
72.416	4.412999999999997	4	0.0	0.586	tough	dull
76.829	4.815000000000012	6	0.0	0.66	task-Rhyming/perceptual_w.bmp	task-Rhyming/perceptual_e.bmp
81.644	4.813999999999993	1	1.0	0.604	sweep	creep
86.458	4.814999999999998	6	0.0	0.565	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_t.bmp
91.273	3.410000000000011	5	1.0	0.442	n/a	/BLUEbox.bmp
94.683	3.4099999999999966	3	1.0	0.415	stroke	soak
98.093	4.412999999999997	4	0.0	0.592	trial	fall
102.506	4.813999999999993	6	1.0	0.712	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_l.bmp
107.32	3.0090000000000003	5	1.0	0.454	n/a	/BLUEbox.bmp
110.329	3.4110000000000014	5	1.0	0.401	n/a	/BLUEbox.bmp
113.74	3.410000000000011	5	1.0	0.478	n/a	/BLUEbox.bmp
