onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.011	easy	1.0	0.483	task-Num/dot3_36-59.bmp	task-Num/dot3_12-35.bmp
4.011	4.813999999999999	medium	1.0	0.352	task-Num/dot3_18-24.bmp	task-Num/dot3_36-72.bmp
8.825	4.0120000000000005	easy	1.0	0.325	task-Num/dot3_36-55.bmp	task-Num/dot3_12-31.bmp
12.837	4.0120000000000005	hard	1.0	0.36	task-Num/dot3_24-22.bmp	task-Num/dot3_36-94.bmp
16.849	3.812000000000001	control	1.0	0.53	n/a	BLUEbox.bmp
20.661	3.0090000000000003	control	1.0	0.458	n/a	BLUEbox.bmp
23.67	4.814	easy	1.0	0.384	task-Num/dot3_36-57.bmp	task-Num/dot3_12-33.bmp
28.484	4.814	hard	1.0	0.635	task-Num/dot3_36-107.bmp	task-Num/dot3_24-35.bmp
33.298	4.0120000000000005	medium	1.0	0.438	task-Num/dot3_18-22.bmp	task-Num/dot3_36-70.bmp
37.31	4.0120000000000005	medium	1.0	0.333	task-Num/dot3_18-21.bmp	task-Num/dot3_36-69.bmp
41.322	4.814999999999998	hard	1.0	0.304	task-Num/dot3_36-106.bmp	task-Num/dot3_24-34.bmp
46.137	4.814	medium	1.0	0.36	task-Num/dot3_18-19.bmp	task-Num/dot3_36-67.bmp
50.951	4.0120000000000005	medium	1.0	0.358	task-Num/dot3_36-84.bmp	task-Num/dot3_18-36.bmp
54.963	3.4099999999999966	control	1.0	0.508	n/a	BLUEbox.bmp
58.373	4.0120000000000005	hard	1.0	0.342	task-Num/dot3_36-105.bmp	task-Num/dot3_24-33.bmp
62.385	4.012000000000008	easy	1.0	0.939	task-Num/dot3_12-22.bmp	task-Num/dot3_36-46.bmp
66.397	4.814999999999998	easy	1.0	0.347	task-Num/dot3_12-23.bmp	task-Num/dot3_36-47.bmp
71.212	3.810999999999993	control	1.0	0.505	n/a	BLUEbox.bmp
75.023	4.413000000000011	medium	1.0	0.316	task-Num/dot3_18-20.bmp	task-Num/dot3_36-68.bmp
79.436	4.814999999999998	easy	1.0	0.45	task-Num/dot3_36-60.bmp	task-Num/dot3_12-36.bmp
84.251	4.0120000000000005	easy	1.0	0.11	task-Num/dot3_12-21.bmp	task-Num/dot3_36-45.bmp
88.263	4.0120000000000005	hard	0.0	0.547	task-Num/dot3_24-24.bmp	task-Num/dot3_36-96.bmp
92.275	4.0120000000000005	hard	1.0	0.578	task-Num/dot3_24-23.bmp	task-Num/dot3_36-95.bmp
96.287	3.0090000000000003	control	1.0	0.609	n/a	BLUEbox.bmp
99.296	4.412999999999997	hard	1.0	0.439	task-Num/dot3_36-104.bmp	task-Num/dot3_24-32.bmp
103.709	4.813999999999993	medium	1.0	0.447	task-Num/dot3_36-80.bmp	task-Num/dot3_18-32.bmp
108.523	3.0090000000000003	control	1.0	0.533	n/a	BLUEbox.bmp
111.532	4.412999999999997	easy	1.0	0.278	task-Num/dot3_12-20.bmp	task-Num/dot3_36-44.bmp
115.945	4.0120000000000005	medium	0.0	0.569	task-Num/dot3_36-79.bmp	task-Num/dot3_18-31.bmp
119.957	4.815000000000012	easy	1.0	0.291	task-Num/dot3_12-19.bmp	task-Num/dot3_36-43.bmp
124.772	4.412999999999997	medium	1.0	0.623	task-Num/dot3_18-23.bmp	task-Num/dot3_36-71.bmp
129.185	4.813999999999993	medium	1.0	0.158	task-Num/dot3_36-82.bmp	task-Num/dot3_18-34.bmp
133.999	3.812000000000012	control	1.0	0.604	n/a	BLUEbox.bmp
137.811	4.813999999999993	hard	1.0	0.426	task-Num/dot3_36-108.bmp	task-Num/dot3_24-36.bmp
142.625	4.413000000000011	hard	1.0	0.604	task-Num/dot3_24-20.bmp	task-Num/dot3_36-92.bmp
147.038	4.4129999999999825	easy	1.0	1.02	task-Num/dot3_36-58.bmp	task-Num/dot3_12-34.bmp
151.451	4.414000000000016	easy	1.0	0.409	task-Num/dot3_12-24.bmp	task-Num/dot3_36-48.bmp
155.865	3.4099999999999966	control	1.0	0.658	n/a	BLUEbox.bmp
159.275	4.4129999999999825	hard	1.0	0.537	task-Num/dot3_24-21.bmp	task-Num/dot3_36-93.bmp
163.688	4.814000000000021	easy	1.0	0.392	task-Num/dot3_36-56.bmp	task-Num/dot3_12-32.bmp
168.502	3.4110000000000014	control	1.0	0.614	n/a	BLUEbox.bmp
171.913	4.4129999999999825	medium	1.0	0.445	task-Num/dot3_36-81.bmp	task-Num/dot3_18-33.bmp
176.326	3.4099999999999966	control	1.0	0.497	n/a	BLUEbox.bmp
179.736	3.4099999999999966	control	1.0	0.425	n/a	BLUEbox.bmp
183.146	3.812000000000012	control	1.0	0.38	n/a	BLUEbox.bmp
186.958	4.413000000000011	hard	1.0	0.469	task-Num/dot3_24-19.bmp	task-Num/dot3_36-91.bmp
191.371	4.813999999999993	hard	1.0	0.502	task-Num/dot3_36-103.bmp	task-Num/dot3_24-31.bmp
196.185	4.4	medium	1.0	0.518	task-Num/dot3_36-83.bmp	task-Num/dot3_18-35.bmp
