onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.014	1.806	no_response	n/a	1.0	n/a	v	BL
5.82	1.805	no_response	n/a	1.0	n/a	c	BR
7.625	2.006	2-back	1.0	1.0	0.59	g	BL
9.631	2.006	2-back	0.0	1.0	0.49	p	TR
11.637	2.006	2-back	0.0	1.0	0.7	n	TL
13.643	2.006	2-back	1.0	1.0	0.755	x	TR
15.649	2.006	2-back	0.0	1.0	0.575	p	BL
17.655	2.006	2-back	0.0	1.0	0.696	c	TL
19.661	2.006	2-back	0.0	0.0	0.946	l	TL
21.667	2.006	2-back	0.0	1.0	0.812	v	TR
23.673	2.006	2-back	1.0	1.0	0.696	x	TL
25.679	2.006	2-back	1.0	0.0	0.711	g	TR
27.685	2.006	2-back	0.0	1.0	0.998	t	BR
29.691	2.006	2-back	0.0	1.0	0.771	z	BL
31.697	2.006	2-back	1.0	1.0	0.599	n	BR
33.703	2.006	2-back	0.0	1.0	0.646	f	TR
35.709	2.006	2-back	0.0	1.0	0.822	x	TL
37.715	2.006	2-back	0.0	1.0	0.747	n	BL
39.721	2.006	2-back	1.0	1.0	0.921	t	TL
41.727	2.006	2-back	0.0	1.0	0.685	l	BR
43.733	2.006	2-back	0.0	1.0	0.642	r	BL
45.739	2.006	2-back	1.0	1.0	0.54	f	BR
47.745	2.006	2-back	0.0	1.0	0.633	s	BR
49.751	2.006	2-back	0.0	1.0	0.677	v	TL
51.757	2.006	2-back	0.0	1.0	0.833	n	TR
53.763	2.006	2-back	1.0	1.0	0.908	p	TL
55.769	2.006	2-back	0.0	1.0	0.687	s	BL
57.775	2.006	2-back	0.0	1.0	0.612	g	BR
59.781	2.006	2-back	1.0	1.0	0.608	f	BL
61.787	2.006	2-back	0.0	1.0	0.534	r	TR
63.793	2.006	2-back	0.0	1.0	0.62	s	TL
65.799	2.006	2-back	0.0	1.0	0.641	z	BL
67.805	2.006	2-back	1.0	1.0	0.765	c	TL
69.811	2.006	2-back	0.0	1.0	0.6	r	BR
71.817	2.006	2-back	0.0	1.0	0.769	v	TR
73.823	2.006	2-back	1.0	1.0	0.741	l	BR
75.829	2.006	2-back	1.0	0.0	0.881	c	TR
77.835	2.006	2-back	0.0	1.0	0.656	s	BL
79.841	2.006	2-back	0.0	1.0	1.108	t	TL
81.847	2.006	2-back	0.0	1.0	0.594	r	TR
83.853	2.006	2-back	0.0	0.0	0.884	z	BL
85.859	2.006	2-back	1.0	1.0	0.983	l	TR
87.865	2.006	2-back	0.0	1.0	0.756	x	TL
89.871	2.006	2-back	0.0	1.0	0.784	f	BR
91.877	2.006	2-back	0.0	1.0	1.02	p	TR
93.883	2.006	2-back	1.0	0.0	0.851	g	BR
95.889	2.006	2-back	0.0	1.0	0.503	t	BL
97.895	6.021	2-back	1.0	1.0	0.614	z	BR
103.916	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.939	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.962	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
109.984	2.023	baseline	1.0	1.0	0.431	redcross.bmp	n/a
112.007	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.03	2.023	baseline	1.0	1.0	0.284	redcross.bmp	n/a
116.053	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.075	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.098	2.023	baseline	1.0	1.0	0.257	redcross.bmp	n/a
122.121	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.143	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.166	2.023	baseline	1.0	1.0	0.318	redcross.bmp	n/a
128.189	2.023	baseline	1.0	1.0	0.451	redcross.bmp	n/a
130.212	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.234	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
134.257	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
136.28	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
138.302	2.023	baseline	1.0	1.0	0.347	redcross.bmp	n/a
140.325	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
142.348	2.022	baseline	1.0	1.0	0.372	redcross.bmp	n/a
144.37	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
146.393	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
148.416	2.023	baseline	1.0	1.0	0.354	redcross.bmp	n/a
150.439	6.031	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
156.47	1.805	no_response	n/a	1.0	n/a	TR	n/a
158.275	2.006	1-back	0.0	1.0	0.571	x	TR
160.281	2.006	1-back	0.0	1.0	0.513	l	BL
162.287	2.006	1-back	1.0	1.0	0.734	s	BL
164.293	2.006	1-back	0.0	1.0	0.457	g	TL
166.299	2.006	1-back	0.0	1.0	0.568	r	BR
168.305	2.006	1-back	0.0	1.0	0.47	s	TL
170.311	2.006	1-back	0.0	1.0	0.546	z	BL
