onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
2.009	1.805	no_response	n/a	1.0	n/a	v	TR
3.814	2.023	1-back	0.0	1.0	0.486	p	TL
5.837	2.022	1-back	0.0	1.0	0.706	z	BL
7.859	2.023	1-back	1.0	1.0	0.507	c	BL
9.882	2.023	1-back	0.0	1.0	0.497	t	TR
11.905	2.022	1-back	0.0	1.0	0.468	l	TL
13.927	2.023	1-back	1.0	1.0	0.45	c	TL
15.95	2.023	1-back	0.0	1.0	0.685	v	BL
17.973	2.023	1-back	0.0	1.0	0.522	n	BR
19.996	2.022	1-back	1.0	1.0	0.403	l	BR
22.018	2.023	1-back	0.0	1.0	0.428	v	TL
24.041	2.023	1-back	0.0	1.0	0.441	c	BR
26.064	2.022	1-back	0.0	1.0	0.537	r	TR
28.086	2.023	1-back	1.0	1.0	0.547	t	TR
30.109	2.023	1-back	0.0	1.0	0.406	n	BL
32.132	2.023	1-back	1.0	1.0	0.999	s	BL
34.155	2.022	1-back	0.0	1.0	0.385	v	TR
36.177	2.023	1-back	0.0	1.0	0.403	p	TL
38.2	2.023	1-back	1.0	1.0	0.362	c	TL
40.223	2.022	1-back	0.0	1.0	0.349	g	TR
42.245	2.023	1-back	1.0	0.0	0.311	z	TR
44.268	2.023	1-back	0.0	1.0	0.469	x	BR
46.291	2.023	1-back	0.0	1.0	0.566	g	BL
48.314	2.022	1-back	0.0	1.0	0.657	l	TL
50.336	2.023	1-back	0.0	1.0	0.495	r	BL
52.359	2.023	1-back	1.0	1.0	0.514	x	BL
54.382	2.022	1-back	0.0	1.0	0.467	f	BR
56.404	2.023	1-back	0.0	1.0	0.514	z	TR
58.427	2.023	1-back	1.0	1.0	0.435	r	TR
60.45	2.022	1-back	0.0	1.0	0.395	f	BL
62.472	2.023	1-back	1.0	1.0	0.623	n	BL
64.495	2.023	1-back	0.0	1.0	0.308	x	TR
66.518	2.023	1-back	1.0	1.0	0.462	t	TR
68.541	2.022	1-back	0.0	1.0	0.439	p	BR
70.563	2.023	1-back	1.0	1.0	0.475	x	BR
72.586	2.023	1-back	0.0	1.0	0.438	t	TL
74.609	2.022	1-back	1.0	1.0	0.421	s	TL
76.631	2.023	1-back	0.0	1.0	0.47	f	BL
78.654	2.023	1-back	0.0	1.0	0.548	l	BR
80.677	2.023	1-back	1.0	1.0	0.5	g	BR
82.7	2.022	1-back	0.0	1.0	0.454	n	TL
84.722	2.023	1-back	0.0	1.0	0.458	s	TR
86.745	2.023	1-back	0.0	1.0	0.486	p	BR
88.768	2.022	1-back	0.0	1.0	0.51	r	TL
90.79	2.023	1-back	1.0	1.0	0.523	s	TL
92.813	2.023	1-back	0.0	1.0	0.536	g	BR
94.836	2.023	1-back	1.0	1.0	0.668	z	BR
