onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.014	1.806	no_response	n/a	1.0	n/a	c	TR
5.82	1.805	no_response	n/a	1.0	n/a	g	BL
7.625	2.023	2-back	1.0	1.0	1.021	c	BL
9.648	2.022	2-back	0.0	1.0	0.736	p	TR
11.67	2.023	2-back	0.0	1.0	0.582	v	TL
13.693	2.023	2-back	1.0	1.0	0.551	p	TL
15.716	2.023	2-back	0.0	1.0	0.538	s	BL
17.739	2.022	2-back	0.0	1.0	0.649	x	TR
19.761	2.023	2-back	1.0	1.0	0.612	s	TR
21.784	2.023	2-back	1.0	1.0	1.011	x	TL
23.807	2.022	2-back	0.0	1.0	0.584	n	BR
25.829	2.023	2-back	0.0	1.0	0.666	f	BL
27.852	2.023	2-back	1.0	1.0	0.768	n	TL
29.875	2.023	2-back	0.0	1.0	0.663	t	TL
31.898	2.022	2-back	0.0	1.0	0.611	l	TR
33.92	2.023	2-back	0.0	1.0	0.676	r	BR
35.943	2.023	2-back	1.0	1.0	0.669	l	TL
37.966	2.022	2-back	0.0	1.0	0.579	z	TL
39.988	2.023	2-back	0.0	1.0	0.581	v	BL
42.011	2.023	2-back	0.0	1.0	0.624	t	BR
44.034	2.023	2-back	0.0	1.0	0.531	g	TL
46.057	2.022	2-back	1.0	1.0	0.656	t	BL
48.079	2.023	2-back	0.0	1.0	0.534	f	BR
50.102	2.023	2-back	0.0	1.0	0.574	r	BR
52.125	2.022	2-back	1.0	1.0	0.701	f	TR
54.147	2.023	2-back	0.0	1.0	0.462	z	BL
56.17	2.023	2-back	0.0	1.0	0.601	c	BR
58.193	2.022	2-back	0.0	1.0	0.783	g	TR
60.215	2.023	2-back	1.0	1.0	0.559	c	BL
62.238	2.023	2-back	0.0	1.0	0.458	p	BR
64.261	2.023	2-back	0.0	1.0	0.486	v	BR
66.284	2.022	2-back	1.0	1.0	0.703	p	TR
68.306	2.023	2-back	0.0	1.0	0.557	s	TL
70.329	2.023	2-back	0.0	1.0	0.604	t	BR
72.352	2.022	2-back	1.0	0.0	0.753	s	TR
74.374	2.023	2-back	0.0	1.0	0.609	r	TL
76.397	2.023	2-back	0.0	1.0	0.629	z	BL
78.42	2.023	2-back	1.0	1.0	0.651	r	TR
80.443	2.022	2-back	1.0	0.0	0.531	z	BR
82.465	2.023	2-back	0.0	1.0	0.494	n	TL
84.488	2.023	2-back	0.0	1.0	0.56	g	TR
86.511	2.022	2-back	1.0	1.0	0.75	n	BL
88.533	2.023	2-back	0.0	1.0	0.709	x	BR
90.556	2.023	2-back	0.0	1.0	0.627	v	TR
92.579	2.023	2-back	1.0	1.0	0.588	x	BL
94.602	2.022	2-back	0.0	1.0	0.438	l	BL
96.624	2.023	2-back	0.0	1.0	0.506	f	TL
98.647	6.038	2-back	1.0	1.0	0.634	l	BR
104.685	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.708	2.023	baseline	1.0	1.0	0.344	redcross.bmp	n/a
108.731	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.753	2.023	baseline	1.0	1.0	0.375	redcross.bmp	n/a
112.776	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.799	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.821	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.844	2.023	baseline	1.0	1.0	0.349	redcross.bmp	n/a
120.867	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.89	2.022	baseline	1.0	1.0	0.389	redcross.bmp	n/a
124.912	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.935	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
128.958	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
130.98	2.023	baseline	1.0	1.0	0.298	redcross.bmp	n/a
133.003	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
135.026	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
137.049	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
139.071	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
141.094	2.023	baseline	1.0	1.0	0.415	redcross.bmp	n/a
143.117	2.022	baseline	1.0	1.0	0.371	redcross.bmp	n/a
145.139	2.023	baseline	1.0	1.0	0.576	redcross.bmp	n/a
147.162	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
149.185	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
151.208	6.031	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
