onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.014	1.805	no_response	n/a	1.0	n/a	c	BL
5.819	1.806	no_response	n/a	1.0	n/a	l	TR
7.625	2.006	2-back	1.0	1.0	0.367	v	BL
9.631	2.006	2-back	1.0	1.0	0.396	p	TR
11.637	2.006	2-back	0.0	1.0	0.409	r	TL
13.643	2.006	2-back	0.0	1.0	0.531	t	BR
15.649	2.006	2-back	1.0	1.0	0.914	n	TL
17.655	2.006	2-back	0.0	1.0	1.014	s	TR
19.661	2.006	2-back	0.0	1.0	0.579	f	BL
21.667	2.006	2-back	1.0	1.0	0.597	x	TR
23.673	2.006	2-back	0.0	1.0	0.729	v	BR
25.679	2.006	2-back	0.0	1.0	0.786	p	TL
27.685	2.006	2-back	1.0	1.0	0.724	f	BR
29.691	2.006	2-back	1.0	1.0	0.733	n	TL
31.697	2.006	2-back	0.0	1.0	0.733	x	TR
33.703	2.006	2-back	1.0	1.0	0.804	t	TL
35.709	2.006	2-back	0.0	1.0	0.634	s	BL
37.715	2.006	2-back	0.0	1.0	0.774	l	TR
39.721	2.006	2-back	1.0	0.0	n/a	f	BL
41.727	2.006	2-back	1.0	1.0	0.704	c	TR
43.733	2.006	2-back	0.0	1.0	0.703	r	TL
45.739	2.006	2-back	1.0	1.0	0.658	g	TR
47.745	2.006	2-back	0.0	1.0	0.534	s	BL
49.751	2.006	2-back	0.0	1.0	0.667	r	BR
51.757	2.006	2-back	1.0	1.0	0.692	v	BL
53.763	2.006	2-back	0.0	1.0	0.674	p	BL
55.769	2.006	2-back	0.0	1.0	0.832	t	TL
57.775	2.006	2-back	1.0	1.0	0.81	x	BL
59.781	2.006	2-back	0.0	1.0	0.802	z	BR
61.787	2.006	2-back	0.0	1.0	0.856	t	TR
63.793	2.006	2-back	0.0	1.0	0.641	g	TL
65.799	2.006	2-back	1.0	0.0	0.967	c	TR
67.805	2.006	2-back	0.0	1.0	0.799	p	BL
69.811	2.006	2-back	0.0	1.0	0.758	s	BR
71.817	2.006	2-back	0.0	1.0	0.992	v	TL
73.823	2.006	2-back	1.0	0.0	0.905	n	BR
75.829	2.006	2-back	0.0	1.0	0.673	c	BL
77.835	2.006	2-back	0.0	1.0	0.651	l	TL
79.841	2.006	2-back	0.0	1.0	0.325	x	BR
81.847	2.006	2-back	1.0	1.0	0.515	z	TL
83.853	2.006	2-back	0.0	1.0	0.609	g	TR
85.859	2.006	2-back	0.0	1.0	0.776	f	BR
87.865	2.006	2-back	0.0	0.0	0.94	z	TL
89.871	2.006	2-back	1.0	1.0	1.021	l	BR
91.877	2.006	2-back	0.0	1.0	0.574	r	TR
93.883	2.006	2-back	1.0	0.0	0.675	z	BR
95.889	2.006	2-back	0.0	1.0	0.737	n	BL
97.895	6.021	2-back	1.0	0.0	1.135	g	BR
103.916	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.939	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.962	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
109.984	2.023	baseline	1.0	1.0	0.384	redcross.bmp	n/a
112.007	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.03	2.022	baseline	1.0	1.0	0.29	redcross.bmp	n/a
116.052	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.075	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.098	2.023	baseline	1.0	1.0	0.284	redcross.bmp	n/a
122.121	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.143	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.166	2.023	baseline	1.0	1.0	0.335	redcross.bmp	n/a
128.189	2.022	baseline	1.0	1.0	0.332	redcross.bmp	n/a
130.211	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.234	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
134.257	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
136.279	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
138.302	2.023	baseline	1.0	1.0	0.427	redcross.bmp	n/a
140.325	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
142.348	2.022	baseline	1.0	1.0	0.297	redcross.bmp	n/a
144.37	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
146.393	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
148.432	2.023	baseline	1.0	1.0	0.538	redcross.bmp	n/a
150.455	6.031	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
156.486	1.806	no_response	n/a	1.0	n/a	p	TR
158.292	2.006	1-back	0.0	1.0	0.514	f	BL
160.298	2.006	1-back	1.0	1.0	0.624	n	BL
162.304	2.006	1-back	0.0	1.0	0.545	x	TR
164.31	2.006	1-back	0.0	1.0	0.533	c	TL
166.316	2.006	1-back	1.0	1.0	0.425	p	TL
168.322	2.006	1-back	0.0	1.0	0.443	n	BL
170.328	2.006	1-back	0.0	1.0	0.466	c	TR
172.334	2.006	1-back	1.0	1.0	0.533	g	TR
174.34	2.006	1-back	0.0	1.0	0.482	n	TL
176.346	2.006	1-back	0.0	1.0	0.463	s	BR
178.352	2.006	1-back	0.0	1.0	0.443	x	BL
180.358	2.006	1-back	0.0	1.0	0.41	t	TL
182.364	2.006	1-back	1.0	0.0	0.399	g	TL
184.37	2.006	1-back	0.0	1.0	0.469	p	BR
186.376	2.006	1-back	0.0	1.0	0.641	c	TL
188.382	2.006	1-back	1.0	1.0	0.567	r	TL
190.388	2.006	1-back	0.0	1.0	0.437	t	BL
192.394	2.006	1-back	1.0	1.0	0.521	v	BL
194.4	2.006	1-back	0.0	1.0	0.451	g	BR
196.406	2.006	1-back	0.0	1.0	0.466	p	TL
198.412	2.006	1-back	0.0	1.0	0.504	x	BR
200.418	2.005	1-back	1.0	1.0	0.395	z	BR
202.423	2.006	1-back	0.0	1.0	0.348	l	TR
204.429	2.006	1-back	1.0	1.0	0.554	v	TR
206.435	2.006	1-back	0.0	1.0	0.489	n	BR
208.441	2.006	1-back	0.0	1.0	0.473	r	BL
210.447	2.006	1-back	1.0	1.0	0.459	s	BL
212.453	2.006	1-back	0.0	1.0	0.453	z	TR
214.459	2.006	1-back	0.0	1.0	0.48	l	TL
216.465	2.006	1-back	0.0	1.0	0.414	g	BR
218.471	2.006	1-back	1.0	1.0	0.557	f	BR
220.477	2.006	1-back	0.0	1.0	0.497	t	TR
222.483	2.006	1-back	0.0	1.0	0.421	z	TL
224.489	2.006	1-back	1.0	1.0	0.491	l	TL
226.495	2.006	1-back	0.0	1.0	0.456	f	BL
228.501	2.006	1-back	0.0	1.0	0.466	t	TR
230.507	2.006	1-back	1.0	1.0	0.445	r	TR
232.513	2.006	1-back	0.0	1.0	0.443	l	BR
234.519	2.006	1-back	1.0	1.0	0.526	z	BR
236.525	2.006	1-back	0.0	1.0	0.377	r	TR
238.531	2.006	1-back	1.0	1.0	0.401	v	TR
240.537	2.006	1-back	0.0	1.0	0.445	s	BL
242.543	2.006	1-back	1.0	1.0	0.504	f	BL
244.549	2.006	1-back	0.0	1.0	0.392	v	TL
246.555	2.006	1-back	0.0	1.0	0.381	x	BR
248.561	2.006	1-back	1.0	1.0	0.476	c	BR
250.567	6.022	1-back	0.0	1.0	0.421	s	BL
256.589	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
258.612	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
260.634	2.023	baseline	1.0	1.0	0.286	redcross.bmp	n/a
262.657	2.023	baseline	1.0	1.0	0.281	redcross.bmp	n/a
264.68	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
266.702	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
268.725	2.023	baseline	1.0	1.0	0.304	redcross.bmp	n/a
270.748	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
272.771	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
274.793	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
276.816	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
278.839	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
280.861	2.023	baseline	1.0	1.0	0.326	redcross.bmp	n/a
282.884	2.023	baseline	1.0	1.0	0.35	redcross.bmp	n/a
284.907	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
286.93	2.022	baseline	1.0	1.0	0.3	redcross.bmp	n/a
288.952	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
290.975	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
292.998	2.022	baseline	1.0	1.0	0.324	redcross.bmp	n/a
